N	2gram	Vinokur_St_3	VrazhdaK
1	в году	5	18
2	не только	12	9
3	в этом	24	8
4	и что	3	8
5	и в	25	8
6	года в	2	7
7	но и	9	7
8	что в	19	7
9	то что	12	7
10	в котором	5	6
11	все же	4	6
12	как и	4	6
13	в начале	4	6
14	но в	5	6
15	и с	4	6
16	то же	5	5
17	не было	4	5
18	г а	3	5
19	и не	10	5
20	у него	9	5
21	об этом	5	5
22	между тем	6	5
23	в то	7	5
24	же время	3	5
25	в россии	6	5
26	во многом	2	4
27	уже в	3	4
28	как бы	6	4
29	все это	8	4
30	это не	7	4
31	что он	19	4
32	х годов	2	4
33	в своих	8	4
34	может быть	19	4
35	несмотря на	3	4
36	о том	8	4
37	в ней	4	4
38	в виду	2	4
39	речь идет	2	3
40	с его	3	3
41	связи с	3	3
42	что у	2	3
43	и во	2	3
44	в связи	3	3
45	в конце	6	3
46	т е	8	3
47	к этому	3	3
48	на то	5	3
49	и у	2	3
50	он был	3	3
51	в том	20	3
52	и его	3	3
53	том что	15	3
54	тем что	19	3
55	в его	12	3
56	в русской	6	3
57	но он	3	3
58	в чем	4	3
59	он не	5	3
60	место в	6	2
61	а с	2	2
62	в своей	4	2
63	и это	5	2
64	не менее	2	2
65	никогда не	2	2
66	вместе с	2	2
67	в них	5	2
68	как раз	3	2
69	и далее	3	2
70	не может	7	2
71	по мнению	3	2
72	а в	6	2
73	таким образом	10	2
74	он писал	2	2
75	начиная с	2	2
76	это в	4	2
77	эти годы	2	2
78	но это	4	2
79	о которой	2	2
80	в в	3	2
81	уже не	3	2
82	этот человек	2	2
83	с которым	3	2
84	не мог	2	2
85	с точки	4	2
86	на основе	2	2
87	тем более	3	2
88	в этой	14	2
89	что я	3	2
90	но как	2	2
91	точки зрения	7	2
92	в свою	2	2
93	и ее	2	2
94	отношение к	4	2
95	для него	3	2
96	еще не	2	2
97	во время	3	2
98	в это	2	2
99	на это	2	2
100	при помощи	2	2
101	ответ на	5	2
102	одна из	2	2
103	в эту	4	2
104	а также	4	2
