N	2gram	Bakhtin_Pr_2	Problema
1	то есть	4	46
2	в его	10	43
3	и не	29	42
4	и в	43	38
5	не может	18	27
6	может быть	23	26
7	как бы	22	22
8	по отношению	5	21
9	в художественном	3	20
10	отношению к	5	19
11	и с	5	17
12	и его	8	16
13	в нем	12	15
14	в этом	13	15
15	и т	13	14
16	прежде всего	10	13
17	только в	4	13
18	т п	9	13
19	художественного творчества	2	12
20	за пределы	3	12
21	в единстве	3	12
22	но не	5	12
23	ни в	2	11
24	во всех	4	11
25	и для	3	11
26	к нему	5	10
27	отношение к	2	10
28	в их	3	10
29	таким образом	5	10
30	не входит	2	10
31	художественном творчестве	3	10
32	в поэзии	2	9
33	но и	14	9
34	его в	3	9
35	не только	11	9
36	в том	6	8
37	и как	2	8
38	и др	2	8
39	точки зрения	13	8
40	произведения как	2	8
41	было бы	5	8
42	то что	7	8
43	входит в	2	8
44	слова в	12	7
45	что в	4	7
46	с другой	4	7
47	не в	11	7
48	в самом	7	7
49	между тем	3	7
50	как и	14	7
51	еще не	9	7
52	совершенно не	4	7
53	в своей	4	7
54	как мы	10	7
55	в пределах	16	6
56	и наконец	6	6
57	а в	5	6
58	не есть	2	6
59	все же	3	6
60	самом деле	5	6
61	с точки	8	6
62	мы можем	2	6
63	и этим	3	6
64	там где	4	6
65	отношения к	2	6
66	ничего не	3	6
67	то же	8	5
68	в своем	4	5
69	это не	3	5
70	дело и	2	5
71	при этом	6	5
72	никогда не	9	5
73	все эти	5	5
74	должно быть	4	5
75	рядом с	5	5
76	далеко не	4	5
77	с ним	3	5
78	себя как	3	5
79	в них	4	5
80	не нужно	2	5
81	конечно не	2	5
82	и о	2	5
83	в большинстве	9	5
84	так и	3	5
85	не на	4	5
86	в отличие	4	5
87	большинстве случаев	8	5
88	а не	7	5
89	могут быть	3	5
90	отличие от	4	5
91	должна быть	3	4
92	не менее	3	4
93	материал в	2	4
94	не должна	3	4
95	лишь как	2	4
96	должны быть	2	4
97	не входят	2	4
98	в виду	3	4
99	другой стороны	3	4
100	в форме	2	4
101	и только	3	4
102	с ними	2	4
103	сказать что	2	4
104	в то	7	4
105	о том	5	4
106	в произведении	4	4
107	но в	10	4
108	но конечно	2	4
109	как в	2	4
110	в романе	3	4
111	мы здесь	2	4
112	что не	2	4
113	между ними	4	4
114	хотя бы	2	4
115	можно было	3	4
116	более того	4	4
117	в себе	5	4
118	здесь не	6	4
119	мы будем	3	3
120	себя и	3	3
121	на материале	2	3
122	слова но	2	3
123	тем не	2	3
124	да и	5	3
125	но это	4	3
126	же время	5	3
127	кроме того	3	3
128	например в	2	3
129	хотя и	5	3
130	в целом	2	3
131	все это	5	3
132	и даже	3	3
133	и на	10	3
134	также и	3	3
135	или как	4	3
136	а как	4	3
137	ни было	2	3
138	если бы	3	3
139	и все	6	3
140	но здесь	5	3
141	этом смысле	2	3
142	на фоне	5	3
143	и к	3	3
144	как его	4	3
145	том что	2	3
146	к миру	2	3
147	мы увидим	5	3
148	со всеми	3	3
149	может стать	4	3
150	он не	9	3
151	на почве	2	3
152	на него	3	3
153	приводит к	6	3
154	в слове	5	3
155	в таком	2	3
156	значение для	2	3
157	не знает	3	3
158	слова и	12	3
159	и это	4	3
160	а лишь	2	2
161	я не	4	2
162	не могут	4	2
163	в этих	6	2
164	в каждом	11	2
165	была бы	2	2
166	для понимания	2	2
167	переходим к	3	2
168	на то	5	2
169	оглядки на	2	2
170	или иной	3	2
171	от них	2	2
172	но зато	3	2
173	узком смысле	2	2
174	с самим	8	2
175	и пр	2	2
176	ивана карамазова	2	2
177	что это	2	2
178	той или	3	2
179	в котором	6	2
180	здесь нет	3	2
181	является как	2	2
182	отличается от	2	2
183	особенно в	2	2
184	в самой	4	2
185	здесь мы	2	2
186	лишь в	8	2
187	и что	5	2
188	того что	2	2
189	слова с	7	2
190	и здесь	3	2
191	в своих	2	2
192	самим собою	5	2
193	к себе	7	2
194	во всем	3	2
195	в него	7	2
196	слово в	8	2
197	с его	4	2
198	автор как	2	2
199	раз и	2	2
200	вовсе не	5	2
201	что он	13	2
202	у нас	2	2
203	по существу	3	2
204	и при	2	2
205	одна из	2	2
206	здесь в	3	2
207	она не	3	2
208	том же	4	2
209	что и	3	2
210	композиционные формы	2	2
211	себя в	3	2
212	момент его	2	2
213	не во	2	2
214	бы не	2	2
215	нами в	2	2
216	человека в	4	2
217	в себя	3	2
218	слово и	9	2
219	и эта	2	2
220	со словами	2	2
221	и он	5	2
222	или в	8	2
223	тем что	3	2
224	в виде	3	2
225	и ее	3	2
226	в другом	7	2
227	дело в	2	2
