N	2gram	Vinokur_Ku_2	FransuaR
1	и в	23	29
2	таким образом	5	20
3	и не	16	16
4	и все	2	13
5	в этой	6	13
6	как и	2	12
7	но в	11	12
8	так и	4	11
9	и на	6	11
10	в этом	18	11
11	то же	6	10
12	как мы	3	10
13	в то	4	10
14	не только	20	10
15	вовсе не	9	9
16	в конце	4	9
17	но и	7	9
18	все эти	12	9
19	и с	7	9
20	же время	3	8
21	прежде всего	8	8
22	в его	5	8
23	и его	3	8
24	как бы	4	8
25	в них	4	7
26	мы видели	2	7
27	еще и	2	7
28	так же	4	7
29	в том	19	7
30	так как	15	7
31	в сущности	9	6
32	своего рода	4	6
33	в атмосфере	2	6
34	что это	7	5
35	у него	3	5
36	все они	2	5
37	это не	6	5
38	это и	3	5
39	того же	3	5
40	до конца	3	5
41	и о	4	5
42	в нем	4	5
43	в своей	2	5
44	и до	2	5
45	большинстве случаев	2	5
46	и по	3	5
47	рядом с	2	5
48	сказать что	4	5
49	он и	2	5
50	перед нами	4	4
51	только для	2	4
52	в нашем	7	4
53	что он	5	4
54	но это	3	4
55	связанные с	2	4
56	еще не	5	4
57	и есть	2	4
58	конце концов	3	4
59	один из	5	4
60	то что	9	4
61	конечно не	2	4
62	все это	5	4
63	на самом	2	4
64	с помощью	7	4
65	с другой	8	4
66	также и	5	4
67	в результате	4	4
68	тем что	3	4
69	точки зрения	14	4
70	в узком	4	3
71	всех этих	3	3
72	в частности	2	3
73	в качестве	8	3
74	в своем	2	3
75	превращается в	2	3
76	и здесь	5	3
77	что у	2	3
78	все же	7	3
79	свою речь	4	3
80	том что	11	3
81	слов и	2	3
82	тот же	5	3
83	того что	3	3
84	той же	2	3
85	по преимуществу	2	3
86	он не	3	3
87	к нему	2	3
88	здесь не	3	3
89	другой стороны	7	3
90	за счет	2	3
91	при этом	2	3
92	в году	2	3
93	и вот	5	3
94	образом в	2	3
95	того чтобы	11	3
96	для того	9	3
97	и даже	2	3
98	что значит	2	3
99	роль в	2	3
100	с ними	2	3
101	конечно и	2	3
102	в ней	3	3
103	же и	2	3
104	там где	5	3
105	уже в	3	2
106	связи с	3	2
107	к этому	4	2
108	но здесь	2	2
109	это в	2	2
110	его к	2	2
111	к тому	4	2
112	подобного рода	5	2
113	но только	4	2
114	ни в	4	2
115	да и	6	2
116	соответствии с	2	2
117	что я	4	2
118	что они	2	2
119	есть в	3	2
120	так называемые	2	2
121	именно в	3	2
122	на этом	3	2
123	но не	6	2
124	в которые	3	2
125	не может	9	2
126	может быть	15	2
127	между прочим	2	2
128	но оно	2	2
129	хотя и	4	2
130	никогда не	2	2
131	уже не	8	2
132	а также	3	2
133	в виду	3	2
134	дает нам	2	2
135	со стороны	4	2
136	и для	2	2
137	на этой	4	2
138	как в	3	2
139	в их	2	2
140	как раз	3	2
141	не на	2	2
142	узком смысле	2	2
143	в особенности	4	2
144	с одной	2	2
145	в той	2	2
146	всякого рода	2	2
147	и у	2	2
148	с точки	8	2
149	бы на	2	2
150	или в	4	2
151	в своих	2	2
152	и то	5	2
153	даже и	2	2
154	как будто	2	2
155	только в	5	2
156	и это	3	2
157	это конечно	2	2
