N	2gram	Tiupa_Hudo_1	Istorich
1	и в	19	26
2	мы имеем	6	14
3	никогда не	2	13
4	потому что	3	13
5	что в	6	12
6	таким образом	3	12
7	в том	18	12
8	и на	2	12
9	в этом	11	12
10	может быть	14	11
11	с другой	7	10
12	том что	8	10
13	и не	15	10
14	не только	16	10
15	что он	3	9
16	еще не	3	9
17	но и	10	9
18	а именно	2	9
19	в нем	5	8
20	другой стороны	5	8
21	все эти	2	8
22	и это	2	8
23	с ним	2	8
24	превращается в	2	7
25	уже не	4	7
26	с одной	2	7
27	одной стороны	2	7
28	например в	3	7
29	и его	12	7
30	о том	2	7
31	но в	7	7
32	то что	4	6
33	ее в	2	6
34	как в	2	6
35	так в	4	6
36	не может	7	6
37	в русской	3	6
38	как и	2	5
39	в его	9	5
40	не будет	2	5
41	так и	11	5
42	то же	10	5
43	и что	3	5
44	как это	5	5
45	в то	6	5
46	только в	5	5
47	его в	2	5
48	это не	2	4
49	из этих	3	4
50	имеем в	3	4
51	прежде всего	4	4
52	с его	6	4
53	как бы	9	4
54	и тем	2	4
55	что и	2	4
56	и по	2	4
57	а также	5	4
58	но как	2	4
59	и ее	3	3
60	и другие	2	3
61	если бы	3	3
62	в частности	13	3
63	могут быть	4	3
64	в них	2	3
65	в одном	2	3
66	не в	7	3
67	в качестве	24	3
68	один из	2	3
69	в своей	5	3
70	из этого	2	3
71	что она	2	3
72	со стороны	2	3
73	а в	12	3
74	при этом	13	3
75	или в	2	3
76	в данном	4	3
77	и то	4	3
78	их в	3	3
79	сказать что	4	3
80	в себе	9	3
81	далеко не	2	3
82	о чем	2	2
83	и как	3	2
84	однако в	4	2
85	в этих	3	2
86	в своем	2	2
87	но он	3	2
88	того же	2	2
89	отличается от	2	2
90	связей с	2	2
91	вовсе не	2	2
92	можно сказать	5	2
93	к тому	4	2
94	сводится к	7	2
95	по отношению	9	2
96	и некоторые	2	2
97	одна из	2	2
98	но не	11	2
99	так же	2	2
100	никто не	2	2
101	и др	2	2
102	даже в	3	2
103	не могло	2	2
104	отношению к	9	2
105	своего рода	5	2
106	ни в	5	2
107	образом и	2	2
108	в форме	4	2
109	тогда как	13	2
110	он не	4	2
111	а с	2	2
112	могло быть	2	2
113	в одно	2	2
114	тем самым	4	2
115	а не	9	2
116	того что	4	2
117	и больше	2	2
118	представляет собой	10	2
119	в этой	2	2
120	здесь не	2	2
121	мира и	2	2
122	не вполне	2	2
