N	2gram	Tiupa_Lite_1	Problema
1	то есть	6	46
2	в его	7	43
3	и не	12	42
4	и в	8	38
5	эстетического объекта	6	37
6	эстетический объект	3	37
7	не может	5	27
8	может быть	13	26
9	как бы	7	22
10	по отношению	3	21
11	в художественном	4	20
12	отнюдь не	2	19
13	отношению к	2	19
14	и его	4	16
15	в нем	2	15
16	в этом	12	15
17	прежде всего	11	13
18	только в	8	13
19	художественного творчества	3	12
20	за пределы	2	12
21	в искусстве	2	12
22	но не	4	12
23	в области	3	11
24	в их	3	10
25	таким образом	3	10
26	но и	17	9
27	его в	3	9
28	не только	24	9
29	в том	16	8
30	и др	3	8
31	точки зрения	6	8
32	было бы	2	8
33	для нее	2	8
34	то что	10	8
35	художественное произведение	2	8
36	что в	3	7
37	с другой	3	7
38	не в	8	7
39	в самом	3	7
40	объекта и	2	7
41	между тем	2	7
42	как и	6	7
43	еще не	4	7
44	в своей	4	7
45	в пределах	3	6
46	не к	2	6
47	а в	3	6
48	произведение в	2	6
49	не есть	2	6
50	все же	4	6
51	самом деле	2	6
52	с точки	2	6
53	то же	5	5
54	все они	2	5
55	в своем	11	5
56	это не	4	5
57	при этом	19	5
58	никогда не	4	5
59	все эти	2	5
60	в основе	3	5
61	далеко не	3	5
62	так и	4	5
63	и прежде	3	5
64	не на	2	5
65	в отличие	5	5
66	а не	16	5
67	могут быть	2	5
68	отличие от	5	5
69	должна быть	2	4
70	не менее	7	4
71	в конечном	5	4
72	в виду	3	4
73	данном случае	4	4
74	и только	2	4
75	объект и	2	4
76	в то	5	4
77	о том	2	4
78	но в	3	4
79	перестает быть	4	4
80	конечном счете	4	4
81	относится к	2	4
82	как в	5	4
83	тем самым	5	4
84	что не	2	4
85	хотя бы	2	4
86	можно было	2	4
87	в данном	5	4
88	в себе	7	4
89	направленной на	2	4
90	с миром	4	4
91	тем не	2	3
92	да и	3	3
93	же время	5	3
94	одной стороны	2	3
95	несмотря на	3	3
96	например в	3	3
97	с действительностью	2	3
98	искусства и	5	3
99	не является	2	3
100	и тем	4	3
101	в целом	8	3
102	с одной	2	3
103	и даже	3	3
104	также и	3	3
105	а как	2	3
106	том что	14	3
107	мы в	2	3
108	на почве	2	3
109	приводит к	3	3
110	в мире	2	3
111	в слове	2	3
112	на этом	2	2
113	я не	7	2
114	и есть	3	2
115	в частности	15	2
116	искусства как	2	2
117	в равной	2	2
118	столь же	4	2
119	для понимания	2	2
120	эстетической деятельности	4	2
121	или иной	2	2
122	а только	2	2
123	в нашей	2	2
124	по поводу	2	2
125	в культуре	3	2
126	в связи	4	2
127	не было	3	2
128	этом отношении	2	2
129	лишь в	4	2
130	того что	6	2
131	от эстетического	3	2
132	в своих	4	2
133	мир в	4	2
134	нуждается в	3	2
135	самим собою	2	2
136	к себе	3	2
137	в россии	2	2
138	как это	8	2
139	с его	5	2
140	раз и	2	2
141	что он	5	2
142	связи с	6	2
143	одна из	3	2
144	том же	3	2
145	так называемый	2	2
146	должен быть	2	2
147	себя в	6	2
148	не остается	2	2
149	бы не	3	2
150	в лирике	3	2
151	в себя	2	2
152	художественного впечатления	2	2
153	тем что	2	2
154	в другом	2	2
155	дело в	3	2
