N	2gram	Voloshinov_1	Mirosoze
1	может быть	13	30
2	не только	5	29
3	и в	15	28
4	не может	13	28
5	но и	4	25
6	а не	2	25
7	он не	4	24
8	в этом	13	20
9	не было	4	18
10	у него	3	17
11	не в	4	16
12	это –	9	16
13	потому что	4	16
14	в ней	5	15
15	в своей	9	15
16	и есть	2	14
17	никогда не	7	14
18	человека и	6	14
19	он был	3	14
20	до конца	5	14
21	в нем	4	13
22	человека в	3	13
23	он –	2	12
24	для него	5	11
25	в самом	6	11
26	и не	16	11
27	что в	6	10
28	в своем	2	10
29	прежде всего	11	10
30	и все	4	10
31	человек не	2	10
32	что он	8	10
33	было бы	6	10
34	и потому	8	10
35	в его	9	9
36	и его	15	9
37	но не	5	8
38	в человеке	5	8
39	в глубине	2	8
40	того что	2	7
41	но в	9	7
42	к нему	7	7
43	в себе	4	7
44	он сам	4	6
45	в том	4	6
46	в этой	5	6
47	все это	5	6
48	и на	3	6
49	вместе с	4	6
50	только в	6	6
51	не могут	3	5
52	это не	2	5
53	– не	7	5
54	если он	5	5
55	у нас	3	5
56	как и	6	5
57	то что	10	5
58	в этих	2	4
59	не знает	3	4
60	смысле слова	2	4
61	отношение к	7	4
62	отношения к	2	4
63	и по	5	4
64	а в	6	4
65	увидим что	4	4
66	точки зрения	13	4
67	один из	4	4
68	она не	2	4
69	за пределы	2	4
70	к ней	2	4
71	что и	2	4
72	уже не	5	4
73	себя и	3	3
74	о себе	2	3
75	и вот	6	3
76	к тому	4	3
77	– к	3	3
78	но если	2	3
79	в него	2	3
80	влечет к	2	3
81	этот процесс	4	3
82	должно быть	2	3
83	мир в	2	3
84	с этим	6	3
85	его в	8	3
86	так как	9	3
87	в мир	3	3
88	и с	7	3
89	на этом	5	3
90	с его	8	3
91	для них	3	3
92	одно из	3	3
93	он должен	2	3
94	в жизни	5	3
95	– говорит	2	3
96	в ее	4	3
97	том что	5	3
98	учение о	2	3
99	есть и	2	3
100	ничего не	2	3
101	социальной среды	3	3
102	мы увидим	4	3
103	конечно не	3	3
104	себя в	2	3
105	бы и	2	3
106	– все	4	3
107	– один	4	3
108	будто бы	2	3
109	хотя бы	7	3
110	все его	2	3
111	человека –	3	2
112	с их	3	2
113	высшей степени	2	2
114	человека к	2	2
115	в свою	2	2
116	одним из	3	2
117	у самого	2	2
118	жизни и	5	2
119	могут быть	6	2
120	тому чтобы	3	2
121	по отношению	11	2
122	все эти	9	2
123	и что	3	2
124	сказать что	6	2
125	в более	3	2
126	он и	2	2
127	самого себя	2	2
128	в истории	3	2
129	как бы	11	2
130	человека с	2	2
131	бы в	2	2
132	с ним	12	2
133	не существует	3	2
134	в основе	3	2
135	если бы	3	2
136	жизни в	3	2
137	в высшей	2	2
138	человек может	2	2
139	к этому	7	2
140	отношению к	9	2
141	в то	6	2
142	все что	9	2
143	до сих	3	2
144	века в	2	2
145	и к	7	2
146	душевной жизни	6	2
147	так называемый	4	2
148	о своих	3	2
149	в этот	4	2
150	должен быть	2	2
151	все же	5	2
152	в свой	2	2
153	сих пор	3	2
154	не остается	3	2
155	как в	3	2
156	мысли и	4	2
157	приводит к	2	2
158	в центре	3	2
159	чтобы не	2	2
160	и она	2	2
161	того чтобы	2	2
162	и у	6	2
163	и для	2	2
164	к этим	2	2
165	в каком	3	2
166	на протяжении	5	2
167	он хотел	3	2
