N	2gram	Losev_Vlad_3	Problemy
1	и в	40	35
2	как бы	3	31
3	и не	25	27
4	что он	5	24
5	в его	14	21
6	но в	4	19
7	не может	14	18
8	как и	7	18
9	в нем	3	16
10	то есть	24	16
11	то же	4	15
12	и все	4	15
13	но и	18	14
14	для него	8	14
15	может быть	8	14
16	в сущности	2	14
17	и его	10	14
18	в этом	16	14
19	к нему	3	13
20	он не	8	13
21	прежде всего	10	12
22	и с	9	12
23	и к	2	12
24	в другом	2	12
25	в то	7	11
26	не в	3	10
27	же время	2	10
28	не только	25	10
29	то что	28	10
30	в отношении	5	9
31	на самом	3	9
32	я не	3	8
33	так и	6	8
34	потому что	11	8
35	мы уже	5	8
36	все же	4	8
37	как мы	8	8
38	и для	3	8
39	так же	8	7
40	а в	7	7
41	и наконец	2	7
42	точки зрения	13	7
43	с его	2	7
44	вовсе не	13	7
45	еще не	4	7
46	себе и	2	7
47	для себя	5	7
48	что же	9	7
49	в виде	13	7
50	таким образом	11	7
51	он сам	2	6
52	что в	17	6
53	к тому	7	6
54	но это	6	6
55	и что	8	6
56	в самом	4	6
57	и на	6	6
58	в одном	5	6
59	но не	4	6
60	только в	13	6
61	в конце	12	5
62	в том	18	5
63	да и	6	5
64	так что	14	5
65	в глаза	4	5
66	и даже	6	5
67	даже в	4	5
68	на него	2	5
69	к своему	2	5
70	и то	9	5
71	в себе	9	5
72	и это	6	5
73	но на	2	4
74	никогда не	11	4
75	с другой	5	4
76	в мире	2	4
77	но все	3	4
78	все и	2	4
79	до конца	4	4
80	не о	2	4
81	же и	2	4
82	всяком случае	3	4
83	и так	2	4
84	нему и	2	4
85	той или	2	4
86	но как	2	4
87	его в	2	4
88	так как	7	4
89	бы в	2	4
90	у него	24	4
91	как раз	10	4
92	по себе	6	4
93	во всем	6	4
94	еще в	5	4
95	в своей	9	4
96	только на	5	4
97	а не	8	4
98	и у	3	4
99	во всяком	3	4
100	тем что	5	4
101	что это	9	4
102	в чем	3	4
103	же не	2	4
104	уже в	3	3
105	то ни	3	3
106	и от	6	3
107	такой же	4	3
108	тому же	5	3
109	совсем не	5	3
110	в виду	3	3
111	бы то	3	3
112	в целом	2	3
113	из них	2	3
114	другой стороны	2	3
115	его второй	2	3
116	все эти	5	3
117	но только	2	3
118	не мог	6	3
119	того что	7	3
120	должно быть	5	3
121	это не	3	3
122	сказать что	12	3
123	даже и	12	3
124	в начале	2	3
125	мы должны	4	3
126	или как	4	3
127	этого не	3	3
128	в котором	4	3
129	с тем	7	3
130	не как	2	3
131	с этим	2	3
132	раз и	8	3
133	этом смысле	3	3
134	том что	18	3
135	одно и	2	3
136	было бы	4	3
137	за пределы	3	3
138	он уже	2	3
139	конце концов	5	3
140	что и	7	3
141	только что	2	3
142	а с	4	3
143	так вот	2	3
144	сводится к	3	3
145	уже не	9	3
146	только с	2	3
147	ничего не	5	3
148	не менее	9	2
149	в сторону	2	2
150	в тонах	2	2
151	в этих	2	2
152	тому что	4	2
153	с этой	2	2
154	что все	7	2
155	вопрос о	4	2
156	что на	2	2
157	мы знаем	3	2
158	ни в	10	2
159	что его	2	2
160	в дальнейшем	4	2
161	обращает на	2	2
162	но что	2	2
163	при этом	3	2
164	хотя и	7	2
165	оно должно	4	2
166	мог бы	4	2
167	время как	2	2
168	мы видели	3	2
169	в своем	8	2
170	живое и	2	2
171	не просто	10	2
172	и тут	3	2
173	и по	2	2
174	есть только	9	2
175	но для	3	2
176	в ней	5	2
177	по своей	2	2
178	что даже	2	2
179	ни на	2	2
180	о том	11	2
181	и ни	2	2
182	нет ни	2	2
183	в этот	2	2
184	в жизни	2	2
185	не хочет	2	2
186	быть в	2	2
187	то в	6	2
188	здесь в	4	2
189	почему же	6	2
190	одной из	2	2
191	к правде	3	2
192	вполне понятно	3	2
193	друг друга	2	2
194	как можно	2	2
195	с таким	2	2
196	и этот	2	2
197	но уже	2	2
198	вместе с	7	2
199	быть и	2	2
200	бы и	4	2
201	говорит о	4	2
202	в отличие	3	2
203	жизнь и	3	2
204	и как	7	2
205	хотя бы	6	2
206	с точки	6	2
207	в которой	2	2
208	можно было	5	2
209	сам по	2	2
210	всей своей	2	2
211	и вообще	3	2
212	из этого	2	2
213	еще до	2	2
214	отличие от	3	2
215	это было	3	2
