N	2gram	Bakhtin_Fr_5	slovoVRo
1	в романе	11	46
2	и в	45	39
3	может быть	2	37
4	и его	13	33
5	то есть	25	26
6	не только	14	24
7	и не	15	22
8	но и	10	21
9	не может	5	20
10	в нем	10	19
11	все это	7	16
12	в этом	14	16
13	так и	6	15
14	а не	4	14
15	как в	3	13
16	отличие от	2	13
17	в пределах	2	13
18	во всех	13	12
19	в отличие	2	12
20	в истории	2	11
21	вовсе не	8	10
22	не в	7	9
23	языков и	2	9
24	и с	10	9
25	прежде всего	10	8
26	словом и	3	8
27	слова и	2	8
28	таким образом	8	8
29	точки зрения	4	8
30	с его	7	7
31	при этом	2	7
32	для него	3	7
33	в его	13	7
34	как бы	12	7
35	и даже	4	7
36	как мы	8	7
37	с ним	5	7
38	в них	6	6
39	и к	5	6
40	все же	2	6
41	как и	10	6
42	в своем	11	6
43	но не	4	6
44	в большинстве	2	6
45	в сущности	4	6
46	жизни и	8	6
47	там где	3	6
48	в значительной	2	6
49	все эти	5	6
50	но в	14	6
51	не могут	2	5
52	это не	3	5
53	и для	3	5
54	и все	7	5
55	и слова	2	5
56	со словом	2	5
57	том что	7	5
58	только в	4	5
59	в том	10	5
60	например в	5	5
61	и их	5	5
62	один из	2	5
63	и наконец	2	5
64	конечно не	2	5
65	большинстве случаев	2	5
66	мира и	8	5
67	не менее	3	4
68	поэтому и	3	4
69	всех этих	6	4
70	борьба с	2	4
71	и др	8	4
72	себя и	2	4
73	на фоне	2	4
74	и языка	2	4
75	ни в	3	4
76	же время	9	4
77	связанные с	3	4
78	в отношении	2	4
79	его не	4	4
80	то же	11	4
81	с помощью	3	4
82	для всех	3	4
83	а в	4	4
84	языка но	2	4
85	и на	5	4
86	в основе	4	4
87	в то	11	4
88	его в	5	4
89	здесь не	6	4
90	так как	6	4
91	перед нами	4	3
92	и там	2	3
93	что в	12	3
94	одновременно и	2	3
95	точку зрения	2	3
96	хотя бы	2	3
97	не столько	2	3
98	и от	4	3
99	здесь в	4	3
100	что и	7	3
101	но это	5	3
102	между словом	2	3
103	связи с	6	3
104	на этом	5	3
105	единство и	3	3
106	у него	4	3
107	и как	5	3
108	в ней	8	3
109	к нему	2	3
110	в свете	2	3
111	этом отношении	5	3
112	лишь в	2	3
113	а также	4	3
114	с точки	2	3
115	той же	4	3
116	рядом с	2	3
117	сказать что	4	3
118	между тем	2	3
119	говорить о	2	3
120	ту же	2	3
121	в особенности	2	3
122	в чем	2	3
123	как это	4	3
124	в данном	2	2
125	не было	3	2
126	независимо от	2	2
127	и другие	3	2
128	хотя и	5	2
129	но она	3	2
130	в xvii	2	2
131	жизни в	2	2
132	на котором	2	2
133	но он	3	2
134	и образ	3	2
135	говорит и	2	2
136	конечно в	2	2
137	и здесь	4	2
138	что он	6	2
139	мировой литературе	2	2
140	с ее	5	2
141	в одно	2	2
142	несколько слов	2	2
143	и слово	2	2
144	из важнейших	2	2
145	со всеми	5	2
146	мы уже	4	2
147	в поэзии	3	2
148	дело идет	3	2
149	к ней	2	2
150	известной степени	4	2
151	даже в	2	2
152	должен быть	2	2
153	но мы	2	2
154	сих пор	3	2
155	мы видели	7	2
156	то что	2	2
157	дело в	3	2
158	его как	4	2
159	вместе с	3	2
160	подчеркнуть что	2	2
161	все они	4	2
162	на него	2	2
163	в различных	2	2
164	а именно	2	2
165	в их	4	2
166	кроме того	4	2
167	так в	2	2
168	в связи	5	2
169	и ни	3	2
170	с этим	4	2
171	именно в	3	2
172	чем не	2	2
173	это и	5	2
174	в себя	5	2
175	но эта	2	2
176	во франции	2	2
177	мы не	4	2
178	и т.п	16	2
179	того чтобы	6	2
180	для того	6	2
181	менее всего	3	2
182	одним из	5	2
183	роль в	2	2
184	на мир	7	2
185	конечно и	2	2
186	также и	7	2
187	он не	6	2
188	нуждается в	3	2
189	и связанные	2	2
190	ведь и	3	2
191	в другом	3	2
192	самого автора	2	2
193	о том	4	2
194	как он	3	2
195	зрения на	4	2
196	почти все	3	2
197	можно говорить	2	2
198	здесь как	4	2
199	это очень	2	2
200	в одном	3	2
201	оно было	2	2
202	до сих	3	2
