N	2gram	Vygotskiy__4	UchenyiS
1	и в	33	14
2	а не	6	10
3	не только	7	10
4	и не	13	8
5	прежде всего	2	8
6	то что	44	7
7	в этом	28	7
8	не может	10	7
9	в искусстве	2	6
10	может быть	22	6
11	в художественном	2	5
12	хотя бы	2	5
13	все это	13	5
14	и только	7	5
15	то же	9	5
16	но и	3	4
17	в этой	9	4
18	в их	2	4
19	конечно не	3	4
20	с другой	2	4
21	но в	2	3
22	как и	5	3
23	и то	2	3
24	все же	5	3
25	в своей	4	3
26	и формы	2	3
27	в частности	4	3
28	бы то	2	3
29	для этого	8	3
30	же время	2	3
31	другой стороны	2	3
32	это не	6	3
33	в то	3	3
34	было бы	12	3
35	у нас	4	3
36	смысле этого	3	2
37	том что	22	2
38	но не	3	2
39	в том	21	2
40	не все	2	2
41	художественной формы	4	2
42	по существу	2	2
43	мы не	5	2
44	с его	2	2
45	не в	2	2
46	всех этих	3	2
47	и для	3	2
48	бы и	2	2
49	если бы	10	2
50	литературы и	2	2
51	только в	4	2
52	и с	2	2
53	тем что	3	2
54	сих пор	3	2
55	при таком	3	2
56	материала и	2	2
57	его и	2	2
58	именно как	2	2
59	что он	20	2
60	все они	2	2
61	в себе	6	2
62	как раз	9	2
63	до сих	3	2
64	что мы	6	2
65	же самое	6	2
66	в конце	8	2
67	могли бы	2	2
68	что все	11	2
69	в самом	12	2
70	в сторону	3	2
71	по себе	9	2
72	сводится к	2	2
73	надо было	2	2
74	ничего не	2	2
75	самом деле	12	2
76	а как	2	2
77	что она	10	2
78	и является	2	2
79	что и	3	2
80	в его	10	2
81	конце концов	3	2
82	таким образом	13	2
83	это было	4	2
