N	2gram	Losev_Dial_4	slovoVRo
1	и в	15	41
2	в нем	5	30
3	и т	17	28
4	могут быть	3	19
5	во всех	2	17
6	но и	4	16
7	и не	30	16
8	точки зрения	14	16
9	не только	8	16
10	а не	18	15
11	то же	9	14
12	может быть	17	14
13	не может	11	14
14	и его	7	14
15	и на	5	14
16	в то	6	14
17	в сущности	5	13
18	в его	4	13
19	же время	6	12
20	как бы	14	12
21	в этом	11	12
22	так и	5	11
23	той или	4	9
24	таким образом	5	9
25	все эти	3	9
26	себя в	2	9
27	прежде всего	11	8
28	в особенности	4	8
29	но в	3	8
30	как в	3	8
31	с точки	9	8
32	или в	7	8
33	не в	8	7
34	и следовательно	3	7
35	с ним	3	7
36	вовсе не	6	7
37	в своей	3	7
38	все же	2	7
39	во всяком	2	7
40	в отношении	2	6
41	это не	12	6
42	при этом	2	6
43	и даже	6	6
44	в них	2	6
45	оно не	2	6
46	к своему	2	6
47	только в	7	6
48	отношении к	2	6
49	в самом	2	5
50	все это	9	5
51	т д	15	5
52	в основе	10	5
53	перед нами	6	4
54	оно и	3	4
55	кроме того	2	4
56	и часто	2	4
57	в ней	5	4
58	один из	4	4
59	с ее	10	4
60	в их	3	4
61	за пределы	3	4
62	лишь в	2	4
63	и наконец	3	4
64	и с	4	4
65	в которой	2	4
66	и все	11	4
67	с его	5	4
68	не как	4	4
69	лежит в	3	4
70	данный момент	2	4
71	как и	7	4
72	в смысле	5	4
73	еще не	4	4
74	но именно	2	4
75	и потому	3	4
76	о нем	2	4
77	быть и	3	4
78	другой стороны	2	4
79	и для	5	4
80	ничего не	17	4
81	как только	5	3
82	смысла и	3	3
83	не могут	2	3
84	никогда не	2	3
85	хотя бы	4	3
86	из этих	2	3
87	в том	11	3
88	лишь как	4	3
89	в свою	3	3
90	из них	2	3
91	в своем	5	3
92	в разных	2	3
93	именно в	5	3
94	того что	13	3
95	с ними	4	3
96	также и	4	3
97	в результате	6	3
98	не было	2	3
99	в истории	3	3
100	о том	5	3
101	так как	14	3
102	которая не	2	3
103	и во	2	3
104	с этим	3	3
105	бы ни	2	3
106	в себе	8	3
107	с этой	2	3
108	в качестве	2	3
109	и чисто	5	3
110	она не	4	3
111	и может	2	3
112	было бы	9	3
113	одной из	2	3
114	конечно не	2	3
115	в свое	2	3
116	бы и	3	3
117	в данном	3	3
118	и ее	8	3
119	свою очередь	2	2
120	время и	2	2
121	в частности	2	2
122	что все	4	2
123	на все	2	2
124	можно сказать	5	2
125	его как	2	2
126	так что	6	2
127	что они	4	2
128	на этом	3	2
129	такое понимание	2	2
130	и той	3	2
131	для того	5	2
132	хотя и	6	2
133	был бы	2	2
134	и по	2	2
135	и тем	6	2
136	уже не	9	2
137	должно быть	2	2
138	так же	4	2
139	сказать что	6	2
140	потому что	10	2
141	же и	2	2
142	того или	2	2
143	а как	2	2
144	нисколько не	2	2
145	в котором	2	2
146	в одном	4	2
147	к этому	3	2
148	у нас	3	2
149	том что	10	2
150	мы видим	4	2
151	то в	5	2
152	мы уже	3	2
153	совершенно не	3	2
154	ни о	3	2
155	как вещь	2	2
156	и о	8	2
157	в ее	2	2
158	как раз	4	2
159	если мы	5	2
160	и слово	2	2
161	не есть	40	2
162	той же	5	2
163	мы не	9	2
164	и то	3	2
165	от этого	3	2
166	в виде	3	2
167	и вообще	7	2
168	непосредственно и	2	2
169	категории и	2	2
