N	2gram	Vinokur_Ku_2	OGranits
1	и в	23	13
2	и его	3	12
3	прежде всего	8	9
4	не может	9	8
5	и не	16	8
6	может быть	15	8
7	точки зрения	14	7
8	и пр	8	7
9	в его	5	7
10	таким образом	5	6
11	не только	20	6
12	то что	9	6
13	только в	5	6
14	мы должны	2	6
15	как бы	4	6
16	все же	7	5
17	с точки	8	5
18	языка и	8	5
19	хотя бы	9	5
20	в процессе	3	5
21	то же	6	4
22	тех пор	2	4
23	в своей	2	4
24	вопроса о	6	4
25	все это	5	4
26	еще и	2	4
27	на фоне	3	4
28	лишь в	5	4
29	слов и	2	4
30	было бы	15	4
31	но в	11	4
32	что в	10	3
33	никогда не	2	3
34	но и	7	3
35	так и	4	3
36	что же	5	3
37	в их	2	3
38	вряд ли	4	3
39	не как	2	3
40	и все	2	3
41	превращается в	2	3
42	здесь мы	2	3
43	самом деле	9	3
44	языка как	2	3
45	да и	6	3
46	как и	2	3
47	не в	8	3
48	и то	5	3
49	в пределах	4	3
50	поставить вопрос	2	3
51	говорить о	4	3
52	с этим	3	3
53	и для	2	3
54	так как	15	3
55	но для	3	3
56	не менее	7	2
57	уже в	3	2
58	с этой	2	2
59	и тем	5	2
60	в нем	4	2
61	сознания и	2	2
62	который мы	2	2
63	своего рода	4	2
64	данном случае	2	2
65	а не	10	2
66	что эта	2	2
67	в отношении	2	2
68	другой стороны	7	2
69	но так	2	2
70	с другой	8	2
71	в языке	10	2
72	не на	2	2
73	в них	4	2
74	в связи	4	2
75	а в	3	2
76	речи не	3	2
77	с одной	2	2
78	все эти	12	2
79	вовсе не	9	2
80	те же	3	2
81	роль в	2	2
82	или иного	2	2
83	материалом для	2	2
84	к тому	4	2
85	как в	3	2
86	если бы	12	2
87	не имеет	4	2
88	в том	19	2
89	так же	4	2
90	том что	11	2
91	в зависимости	4	2
92	языка но	3	2
93	с ними	2	2
94	с помощью	7	2
95	в своих	2	2
96	в данном	4	2
97	зависимости от	5	2
98	что они	2	2
99	в этом	18	2
100	от этого	2	2
101	тем что	3	2
102	между тем	6	2
103	и следовательно	2	2
104	могут быть	4	2
105	при этом	2	2
106	нуждается в	2	2
107	смысле слова	2	2
108	связанные с	2	2
109	соответствии с	2	2
110	в другом	2	2
111	тот же	5	2
112	несмотря на	5	2
113	того или	2	2
114	в целях	2	2
115	слова и	5	2
116	в области	11	2
117	в самом	12	2
118	там где	5	2
119	в ней	3	2
120	а также	3	2
