N	2gram	Propp_Morf_1	UchenyiS
1	и в	13	14
2	а не	11	10
3	не только	4	10
4	и не	12	8
5	прежде всего	9	8
6	то что	8	7
7	в этом	14	7
8	не может	14	7
9	может быть	52	6
10	хотя бы	4	5
11	то же	7	5
12	но и	4	4
13	в этой	2	4
14	в россии	2	4
15	с другой	8	4
16	что такое	3	4
17	но в	2	3
18	как и	3	3
19	все же	7	3
20	в частности	2	3
21	бы то	3	3
22	то ни	3	3
23	другой стороны	4	3
24	это не	6	3
25	вряд ли	2	3
26	в то	3	3
27	было бы	3	3
28	ни было	2	3
29	у нас	2	3
30	том что	4	2
31	но не	4	2
32	в том	6	2
33	не все	6	2
34	по существу	12	2
35	мы не	8	2
36	с его	2	2
37	не в	3	2
38	и для	2	2
39	но это	6	2
40	если бы	2	2
41	это уже	3	2
42	только в	2	2
43	тем что	4	2
44	могут быть	16	2
45	его и	2	2
46	что он	4	2
47	мы получаем	2	2
48	что мы	2	2
49	в итоге	2	2
50	не могут	4	2
51	в некоторых	3	2
52	ничего не	4	2
53	самом деле	4	2
54	что она	2	2
55	что и	7	2
56	между тем	5	2
57	на первый	3	2
58	таким образом	21	2
59	это было	3	2
60	как таковой	2	2
