N	2gram	Medvedev_F_2	RusskieA
1	и в	38	29
2	т е	26	24
3	что в	7	22
4	том что	2	22
5	в том	11	22
6	как бы	4	18
7	состоит в	2	15
8	в других	7	15
9	и другие	2	14
10	может быть	23	13
11	так как	4	13
12	как и	9	11
13	в этом	27	11
14	все это	3	10
15	и с	9	10
16	не только	9	10
17	в некоторых	4	9
18	а в	6	9
19	но и	13	8
20	ее в	2	8
21	его в	3	8
22	мы видели	4	7
23	как в	4	7
24	или в	3	7
25	с тем	11	6
26	мы не	3	6
27	для того	3	6
28	вместе с	6	6
29	таким образом	20	6
30	при этом	9	6
31	того чтобы	3	6
32	и на	3	6
33	представление о	2	5
34	потому что	2	5
35	это не	2	5
36	к этому	4	5
37	должна была	2	5
38	то что	6	5
39	но не	2	5
40	для этого	2	5
41	и т	14	5
42	не может	14	5
43	или же	2	5
44	т д	5	5
45	но в	4	5
46	именно в	5	4
47	и все	3	4
48	уже не	7	4
49	по существу	7	4
50	не в	15	4
51	из них	4	4
52	к нему	3	4
53	же как	3	4
54	то и	3	4
55	то же	6	4
56	а не	6	4
57	в таком	2	4
58	их в	2	4
59	как это	2	4
60	на этом	2	3
61	тем что	8	3
62	должен был	2	3
63	в этих	2	3
64	в качестве	2	3
65	и других	2	3
66	и от	2	3
67	должно было	3	3
68	а наоборот	3	3
69	главным образом	3	3
70	на первый	2	3
71	как например	2	3
72	в ее	2	3
73	она не	2	3
74	до конца	2	3
75	того что	3	3
76	было бы	6	3
77	и о	2	3
78	в котором	2	3
79	с другими	10	3
80	не имеет	2	3
81	во всех	5	3
82	а именно	2	3
83	в отличие	2	3
84	что для	2	3
85	все эти	6	3
86	и по	2	3
87	или даже	2	3
88	как мы	7	3
89	между тем	2	3
90	в этой	6	3
91	что это	3	3
92	отличие от	2	3
93	и многие	2	2
94	связи с	13	2
95	могут быть	6	2
96	никогда не	2	2
97	по этому	2	2
98	с другой	3	2
99	не столько	4	2
100	из этих	3	2
101	ее и	2	2
102	прежде всего	15	2
103	что и	8	2
104	в целях	2	2
105	это и	5	2
106	кроме того	2	2
107	и как	3	2
108	совсем не	2	2
109	очевидно что	2	2
110	для них	3	2
111	и пр	21	2
112	совершенно не	4	2
113	что на	2	2
114	из этого	2	2
115	в виду	2	2
116	один из	2	2
117	все же	8	2
118	в своей	7	2
119	не к	2	2
120	в самый	2	2
121	в их	6	2
122	вряд ли	2	2
123	не было	6	2
124	должны были	2	2
125	на самом	3	2
126	там где	4	2
127	этот вопрос	2	2
128	тем и	2	2
129	и для	5	2
130	должно быть	2	2
131	а к	2	2
132	каждый из	3	2
133	так в	3	2
134	и то	2	2
135	с этим	5	2
136	это время	2	2
137	и ее	6	2
138	в то	5	2
139	можно будет	2	2
140	в которой	2	2
141	та же	2	2
