N	2gram	Tiupa_Lite_3	Vvedenie
1	и в	16	32
2	в том	12	31
3	в этом	14	30
4	может быть	12	26
5	том что	8	26
6	не только	14	22
7	для того	2	21
8	того чтобы	2	20
9	то что	12	16
10	потому что	3	15
11	не может	8	14
12	в самом	3	13
13	в нем	2	13
14	о том	6	13
15	со стороны	7	13
16	того что	9	12
17	и не	22	12
18	как на	3	12
19	представляет собой	2	12
20	в его	6	12
21	только в	7	12
22	как мы	2	11
23	в ее	5	11
24	в данном	4	11
25	что в	2	10
26	но в	3	9
27	и как	3	9
28	между тем	3	9
29	по себе	2	9
30	то же	9	9
31	не менее	2	8
32	с другой	6	8
33	это не	5	8
34	не в	10	8
35	именно в	5	8
36	прежде всего	3	7
37	вопрос о	2	7
38	точки зрения	7	7
39	но не	4	7
40	было бы	2	7
41	все же	2	7
42	самом деле	3	7
43	же время	7	6
44	том чтобы	2	6
45	один из	2	6
46	но и	14	6
47	о природе	2	6
48	и даже	2	6
49	в то	9	6
50	его в	2	6
51	как и	5	6
52	в качестве	5	6
53	а именно	5	6
54	и его	6	6
55	тем что	2	6
56	как бы	8	5
57	и тем	3	5
58	в целом	5	5
59	данном случае	4	5
60	другой стороны	2	5
61	одним из	4	5
62	как например	2	5
63	в г	3	5
64	вместе с	5	5
65	а не	12	5
66	что не	2	5
67	с этой	2	4
68	особого рода	5	4
69	как о	2	4
70	одной стороны	4	4
71	о чем	3	4
72	так или	2	4
73	в тексте	4	4
74	по отношению	4	4
75	этом отношении	5	4
76	еще и	2	4
77	с одной	4	4
78	а в	5	4
79	одно из	4	4
80	в первом	2	4
81	как это	3	4
82	что он	5	4
83	еще не	6	4
84	об искусстве	4	4
85	отношению к	4	4
86	в своей	7	4
87	внимание на	2	4
88	как раз	2	4
89	уже не	3	4
90	и для	4	4
91	той же	3	4
92	или иначе	2	4
93	и ее	2	4
94	в себе	6	4
95	в частности	11	3
96	в конце	2	3
97	со всей	2	3
98	бы и	3	3
99	можно сказать	2	3
100	к тому	6	3
101	в этой	8	3
102	до конца	4	3
103	при этом	15	3
104	такого рода	10	3
105	от себя	2	3
106	хотя и	4	3
107	не вполне	2	3
108	то это	2	3
109	отношение к	2	3
110	во второй	2	3
111	из них	4	3
112	и вот	2	3
113	так же	2	3
114	и на	2	3
115	в работе	2	3
116	в начале	4	3
117	если бы	2	3
118	однако в	4	3
119	не как	2	3
120	к этому	2	3
121	стороны и	2	3
122	и к	3	3
123	связи с	2	3
124	так чтобы	2	3
125	в одном	4	3
126	текста и	2	3
127	а также	4	3
128	однако не	3	3
129	что и	2	3
130	своего рода	10	3
131	но с	2	3
132	как будто	4	3
133	в области	3	3
134	то она	2	2
135	все время	3	2
136	все более	2	2
137	никогда не	4	2
138	или иной	2	2
139	соответствии с	5	2
140	и сам	2	2
141	несмотря на	2	2
142	жизни как	2	2
143	говоря уже	4	2
144	не говоря	4	2
145	и наоборот	2	2
146	во втором	2	2
147	действительности в	2	2
148	в принципе	2	2
149	должно быть	4	2
150	и с	2	2
151	он и	2	2
152	той или	2	2
153	же самое	2	2
154	а так	2	2
155	искусства и	3	2
156	так и	9	2
157	ни к	3	2
158	состоит в	6	2
159	большей части	2	2
160	не с	2	2
161	у нас	2	2
162	по существу	4	2
163	в соответствии	3	2
164	и при	2	2
165	чтобы он	2	2
166	того же	2	2
167	во всех	2	2
168	жизни и	3	2
169	ни с	2	2
170	но уже	3	2
171	с ней	2	2
172	и тогда	2	2
173	входит в	4	2
174	тогда как	17	2
175	из того	2	2
176	о которой	2	2
177	те кто	3	2
178	с точки	3	2
179	тому как	3	2
180	подобно тому	2	2
181	время в	2	2
182	еще раз	2	2
183	в другом	6	2
184	здесь не	2	2
185	в каждой	2	2
186	если это	2	2
