N	2gram	Tiupa_Narr_2	slovoVRo
1	и в	13	41
2	в нем	5	30
3	и т	2	28
4	то есть	9	26
5	т п	2	23
6	но и	15	16
7	и не	14	16
8	точки зрения	5	16
9	не только	26	16
10	а не	17	15
11	то же	4	14
12	может быть	10	14
13	не может	8	14
14	и его	3	14
15	в то	5	14
16	в его	6	13
17	же время	3	12
18	как бы	6	12
19	в этом	13	12
20	так и	9	11
21	в той	5	10
22	или иной	3	9
23	той или	3	9
24	таким образом	5	9
25	все эти	3	9
26	себя в	2	9
27	прежде всего	6	8
28	но в	6	8
29	как в	5	8
30	с точки	2	8
31	не в	8	7
32	зрения на	2	7
33	с ним	4	7
34	на фоне	2	7
35	вовсе не	2	7
36	в своей	4	7
37	все же	6	7
38	в слове	3	7
39	это не	3	6
40	при этом	14	6
41	и даже	3	6
42	а в	9	6
43	оно не	2	6
44	к своему	2	6
45	только в	11	6
46	с другой	5	5
47	со своим	2	5
48	в самом	2	5
49	и к	6	5
50	далеко не	5	5
51	так сказать	3	5
52	перед нами	4	4
53	одной стороны	5	4
54	в ней	2	4
55	один из	3	4
56	с одной	5	4
57	и все	4	4
58	с его	3	4
59	как и	4	4
60	еще не	2	4
61	о нем	3	4
62	в процессе	2	4
63	и для	3	4
64	ничего не	6	4
65	все его	4	4
66	никогда не	6	3
67	точку зрения	3	3
68	хотя бы	2	3
69	из этих	2	3
70	к тому	9	3
71	в том	14	3
72	и сам	3	3
73	в свою	2	3
74	для него	4	3
75	в него	2	3
76	данном случае	6	3
77	в своем	6	3
78	именно в	2	3
79	того что	6	3
80	в других	2	3
81	с ними	3	3
82	в результате	2	3
83	и здесь	2	3
84	от его	2	3
85	о том	5	3
86	которая не	2	3
87	у него	6	3
88	не могло	2	3
89	в себе	8	3
90	с этой	3	3
91	в качестве	14	3
92	было бы	2	3
93	он не	5	3
94	внутренней речи	3	3
95	в данном	10	3
96	же как	2	2
97	в частности	11	2
98	известном смысле	3	2
99	тому что	3	2
100	столь же	2	2
101	или даже	3	2
102	можно сказать	6	2
103	для нас	2	2
104	что они	3	2
105	такого рода	12	2
106	хотя и	5	2
107	и по	3	2
108	и тем	5	2
109	в целом	3	2
110	на том	3	2
111	как к	3	2
112	уже не	4	2
113	те же	2	2
114	так же	2	2
115	сказать что	3	2
116	потому что	2	2
117	но он	2	2
118	того или	3	2
119	между тем	3	2
120	не является	4	2
121	в сознании	2	2
122	за пределами	3	2
123	в известном	3	2
124	а как	3	2
125	в котором	5	2
126	он может	2	2
127	между собой	3	2
128	или иного	3	2
129	интерес к	2	2
130	у нас	2	2
131	том что	13	2
132	одна из	3	2
133	но не	3	2
134	по своему	2	2
135	а также	6	2
136	в ее	4	2
137	как раз	3	2
138	а с	2	2
139	на самом	2	2
140	только на	2	2
141	и у	4	2
142	той же	2	2
143	роль в	2	2
144	мы не	2	2
145	можно было	2	2
146	в виде	2	2
147	в другом	4	2
148	на протяжении	5	2
149	автора в	2	2
150	здесь не	2	2
