N	2gram	Berdyaev_M_1	Otkroven
1	о человеке	23	29
2	у него	17	22
3	человеческой природы	20	20
4	у достоевского	42	19
5	и в	28	19
6	но и	25	13
7	и не	11	13
8	в этом	20	12
9	из подполья	10	11
10	а не	25	11
11	не в	16	11
12	человека в	13	11
13	может быть	30	11
14	не только	29	11
15	человека и	14	10
16	и все	10	10
17	вопрос о	2	10
18	в нем	13	10
19	никогда не	14	9
20	к человеку	9	9
21	не было	18	9
22	в человеке	8	9
23	в самой	7	9
24	потому что	16	9
25	прежде всего	10	9
26	и он	12	8
27	он был	14	8
28	ни с	4	7
29	лишь в	6	7
30	человек не	10	7
31	достоевского он	7	7
32	но он	9	7
33	до конца	14	7
34	от него	4	7
35	ивана карамазова	7	7
36	нет ничего	7	7
37	в глубине	8	7
38	он не	24	7
39	в его	9	7
40	о великом	4	6
41	великом инквизиторе	5	6
42	все это	6	6
43	как и	5	6
44	человеческой личности	4	6
45	русского человека	2	5
46	нужно искать	2	5
47	человеке в	2	5
48	то что	5	5
49	а в	4	5
50	записок из	5	5
51	достоевского и	10	5
52	отношение к	4	5
53	в том	6	5
54	человеке и	8	5
55	для достоевского	5	5
56	для него	11	5
57	раскрывается в	5	5
58	в этой	6	5
59	в самом	11	5
60	в россии	2	5
61	в творчестве	10	5
62	все герои	2	5
63	человеку и	2	5
64	с его	3	4
65	в легенде	4	4
66	достоевского есть	19	4
67	достоевского все	4	4
68	в преступлении	2	4
69	русского духа	2	4
70	на земле	2	4
71	т е	2	4
72	он сам	6	4
73	о человеческой	3	4
74	только и	3	4
75	достоевского не	4	4
76	в самую	5	4
77	курсив мой	4	4
78	того чтобы	2	4
79	есть лишь	9	4
80	достоевский раскрыл	2	4
81	все в	6	4
82	и его	9	4
83	все эти	2	4
84	о боге	6	4
85	человек и	6	4
86	достоевский не	6	4
87	герои достоевского	4	4
88	не может	28	4
89	через человека	2	4
90	что в	10	4
91	человеке о	2	4
92	человеческой природе	3	4
93	него и	2	4
94	русский человек	2	4
95	дважды два	5	4
96	к нему	7	3
97	самой глубины	5	3
98	достоевского в	9	3
99	не могут	5	3
100	свободной любви	4	3
101	человеческого духа	26	3
102	в этих	4	3
103	только одно	3	3
104	и есть	14	3
105	самого достоевского	2	3
106	влечет к	3	3
107	творчестве его	4	3
108	мысли и	2	3
109	легенде о	2	3
110	это не	5	3
111	до самой	4	3
112	достоевского было	3	3
113	самой глубине	4	3
114	и вот	3	3
115	загадка о	4	3
116	что он	10	3
117	в свободе	7	3
118	различие между	2	3
119	того что	7	3
120	для того	2	3
121	что человек	3	3
122	хотя бы	3	3
123	человека его	3	3
124	быть может	7	3
125	и от	2	3
126	могут быть	2	3
127	достоевский был	9	3
128	все что	2	3
129	во имя	10	3
130	человеку надо	3	3
131	он лишь	2	3
132	в бесах	2	3
133	в себе	7	3
134	было бы	10	3
135	глубине человека	2	3
136	когда он	3	3
137	никто не	2	3
138	о том	2	3
139	к гибели	2	3
140	раскольникова ставрогина	2	3
141	с ним	2	3
142	как бы	2	3
143	два четыре	4	3
144	любовь к	2	2
145	о достоевском	7	2
146	в этот	2	2
147	единственно для	2	2
148	от человека	3	2
149	уже в	4	2
150	свобода и	6	2
151	с которой	2	2
152	природы он	2	2
153	и ивана	2	2
154	в страдании	2	2
155	все же	2	2
156	что и	4	2
157	не есть	9	2
158	он в	2	2
159	и для	2	2
160	с тем	9	2
161	диалектика о	3	2
162	и там	4	2
163	дневнике писателя	2	2
164	достоевского нет	5	2
165	в истории	2	2
166	всего в	2	2
167	и хаос	2	2
168	добро и	3	2
169	жизни в	2	2
170	в своем	10	2
171	зла в	4	2
172	для человека	3	2
173	не созерцает	3	2
174	все вращается	4	2
175	иван карамазов	8	2
176	что есть	5	2
177	с разных	2	2
178	те которые	9	2
179	пожелать себе	2	2
180	к черту	2	2
181	не все	2	2
182	романов достоевского	3	2
183	его судьбе	5	2
184	так человек	2	2
185	достоевский открывает	3	2
186	к этому	2	2
187	движение в	2	2
188	человеческую природу	3	2
189	достоевском и	2	2
190	творчество достоевского	13	2
191	свободы и	10	2
192	был еще	4	2
193	человеческая природа	5	2
194	антихристово начало	2	2
195	что ведь	2	2
196	и к	2	2
197	художество достоевского	3	2
198	ко всем	3	2
199	не имеет	3	2
200	должно быть	3	2
201	в дневнике	2	2
202	человека есть	3	2
203	человека а	3	2
204	в ее	3	2
205	его не	3	2
206	в которой	6	2
207	природы в	3	2
208	достоевского к	5	2
209	том что	3	2
210	своя воля	2	2
211	кажется и	2	2
212	черту и	2	2
213	в глубину	5	2
214	человеческой судьбе	3	2
215	и на	6	2
216	достоевского с	2	2
217	человека достоевский	2	2
218	глубине не	2	2
219	идеалом содомским	2	2
220	сказать что	2	2
221	и с	3	2
222	человека к	2	2
223	быть человек	2	2
224	чем в	2	2
225	учение о	3	2
226	тем что	4	2
227	одно из	3	2
228	даже и	2	2
229	него не	2	2
230	что достоевский	4	2
231	и нет	2	2
232	с чего	2	2
233	ведь это	2	2
234	он весь	7	2
235	момент в	2	2
236	все противоречия	3	2
237	до глубины	11	2
238	образ человека	7	2
239	этого мира	3	2
240	открытия о	2	2
241	достоевского но	3	2
242	себе даже	2	2
243	его в	3	2
244	и много	2	2
245	героев достоевского	2	2
246	должен был	4	2
247	в своей	15	2
248	так как	3	2
249	достоевский прежде	2	2
250	для человеческого	3	2
251	за грани	2	2
252	к этой	2	2
253	ничего не	3	2
254	что человеку	2	2
255	которую он	2	2
256	к ней	4	2
257	но в	7	2
258	к достоевскому	8	2
259	и потому	10	2
260	этом он	2	2
261	же можно	2	2
