N	2gram	Losev_Vesc_1	VrazhdaK
1	не только	36	9
2	в этом	4	8
3	и что	15	8
4	и в	21	8
5	но и	18	7
6	что в	9	7
7	то что	27	7
8	и все	5	7
9	в котором	3	6
10	в нем	2	6
11	все же	4	6
12	и даже	6	6
13	как и	8	6
14	но в	5	6
15	и с	8	6
16	то же	6	5
17	и не	29	5
18	у него	2	5
19	об этом	3	5
20	в то	3	5
21	в россии	2	5
22	для нас	2	4
23	как бы	12	4
24	все это	5	4
25	это не	5	4
26	с ним	8	4
27	может быть	16	4
28	о том	6	4
29	в ней	12	4
30	в виду	2	4
31	я не	4	3
32	в своем	6	3
33	что у	5	3
34	и во	3	3
35	что есть	5	3
36	в конце	2	3
37	т е	55	3
38	на то	4	3
39	и у	3	3
40	в том	8	3
41	и его	2	3
42	том что	8	3
43	и как	8	3
44	тем что	2	3
45	в его	2	3
46	его в	2	3
47	но он	2	3
48	и о	3	3
49	в чем	6	3
50	а с	3	2
51	в своей	5	2
52	и а	2	2
53	и это	14	2
54	из них	4	2
55	не менее	3	2
56	никогда не	2	2
57	отнюдь не	5	2
58	его и	2	2
59	как раз	9	2
60	не может	17	2
61	а в	4	2
62	таким образом	8	2
63	но это	10	2
64	о которой	2	2
65	в в	2	2
66	в той	3	2
67	уже не	9	2
68	к себе	4	2
69	с точки	3	2
70	как же	3	2
71	в этой	3	2
72	что я	24	2
73	и то	10	2
74	их в	3	2
75	точки зрения	5	2
76	в свою	4	2
77	и ее	18	2
78	в себе	14	2
79	для него	4	2
80	еще не	8	2
81	на это	4	2
82	при помощи	2	2
83	с нею	18	2
84	одна из	5	2
