N	2gram	Bakhtin_Pr_2	Myshleni
1	в развитии	2	28
2	то что	5	26
3	что он	7	25
4	в этом	20	25
5	потому что	8	21
6	таким образом	11	19
7	в том	8	18
8	не может	24	18
9	точки зрения	19	18
10	что в	6	16
11	и в	45	16
12	того что	3	16
13	так как	5	16
14	не только	16	16
15	так же	5	15
16	том что	7	15
17	в сущности	7	13
18	сказать что	5	13
19	в процессе	2	13
20	отношению к	8	12
21	по отношению	8	12
22	и не	42	12
23	и что	2	12
24	в области	2	12
25	отношение к	8	11
26	в его	22	11
27	но не	6	10
28	было бы	4	10
29	как мы	8	10
30	а не	10	10
31	только в	9	10
32	может быть	18	9
33	с точки	9	9
34	точка зрения	7	8
35	должно быть	4	8
36	о том	3	8
37	как это	2	8
38	в основе	2	8
39	если бы	2	8
40	как и	14	8
41	мы должны	4	8
42	он не	9	8
43	то же	5	8
44	тем самым	2	8
45	же как	4	7
46	друг с	2	7
47	в нем	20	7
48	так и	3	7
49	по себе	8	7
50	с другом	2	7
51	что все	3	6
52	не в	8	6
53	своего развития	2	6
54	и следовательно	7	6
55	но и	15	6
56	и на	7	6
57	как он	4	6
58	но в	6	6
59	у него	6	6
60	в той	3	6
61	этот вопрос	4	6
62	мы можем	4	6
63	должна быть	3	5
64	никогда не	17	5
65	в своем	5	5
66	мы и	3	5
67	что они	3	5
68	для него	9	5
69	как бы	15	5
70	в сфере	2	5
71	не является	3	5
72	хотя бы	5	5
73	этом отношении	2	5
74	не знает	4	5
75	в то	5	5
76	с ним	8	5
77	сравнению с	2	5
78	по сравнению	2	5
79	можно сказать	2	5
80	тот же	2	5
81	как в	4	5
82	мысли и	3	5
83	только что	2	5
84	того как	3	5
85	можно было	2	5
86	тем что	2	5
87	в которой	2	5
88	ничего не	3	5
89	что если	3	4
90	все эти	4	4
91	это не	3	4
92	по самой	2	4
93	сама по	5	4
94	а только	2	4
95	так что	2	4
96	в пределах	4	4
97	при этом	2	4
98	в самом	13	4
99	в целом	5	4
100	друг от	2	4
101	от друга	2	4
102	и их	6	4
103	именно в	3	4
104	не имеет	3	4
105	и по	2	4
106	опирается на	2	4
107	в результате	3	4
108	бы в	5	4
109	точек зрения	3	4
110	мы видим	2	4
111	на пороге	4	4
112	с их	4	4
113	еще не	9	4
114	за пределы	5	4
115	не есть	2	4
116	тому как	2	4
117	могут быть	4	4
118	подобно тому	2	4
119	этой точки	2	4
120	и т.д	3	4
121	не менее	2	3
122	одного и	2	3
123	прежде всего	11	3
124	в смысле	2	3
125	и как	2	3
126	но это	2	3
127	самом деле	4	3
128	но как	2	3
129	до конца	7	3
130	к нему	11	3
131	мы видели	3	3
132	его и	3	3
133	от того	2	3
134	в их	4	3
135	они не	2	3
136	как на	2	3
137	а в	3	3
138	и с	7	3
139	в этих	4	3
140	к этой	2	3
141	и более	2	3
142	в одном	6	3
143	к этому	4	3
144	он может	2	3
145	таким же	2	3
146	все же	4	3
147	одной из	2	3
148	я это	2	3
149	а потому	2	3
150	что и	5	3
151	сих пор	2	3
152	ее в	2	3
153	не на	4	3
154	показать что	2	3
155	из которых	2	3
156	вот почему	3	3
157	что значит	2	3
158	и его	8	3
159	ничего общего	2	3
160	что эта	2	3
161	в чем	2	3
162	до сих	2	3
163	только для	2	2
164	я не	6	2
165	и другие	4	2
166	себя и	2	2
167	что у	4	2
168	и от	3	2
169	но все	4	2
170	на его	5	2
171	одним из	3	2
172	в ней	7	2
173	в виду	2	2
174	в котором	7	2
175	в своей	6	2
176	из них	9	2
177	уже на	2	2
178	что она	4	2
179	все это	5	2
180	эти же	2	2
181	отношения к	2	2
182	те же	2	2
183	которую мы	2	2
184	образом в	2	2
185	но только	2	2
186	свое время	2	2
187	и даже	3	2
188	и другими	2	2
189	что для	2	2
190	на основе	2	2
191	он еще	2	2
192	к ним	3	2
193	в своих	4	2
194	или не	2	2
195	в момент	3	2
196	и здесь	2	2
197	в истории	2	2
198	с которыми	2	2
199	их в	7	2
200	же мы	2	2
201	сознания и	6	2
202	в зависимости	3	2
203	их и	3	2
204	точками зрения	2	2
205	в них	4	2
206	лежит в	2	2
207	в жизни	3	2
208	вовсе не	7	2
209	его в	3	2
210	быть в	2	2
211	и к	2	2
212	у нас	2	2
213	зависимости от	3	2
214	все что	3	2
215	свою внутреннюю	2	2
216	жизни и	15	2
217	в свое	2	2
218	и потому	6	2
219	во всех	4	2
220	находится в	2	2
221	нами в	4	2
222	а с	3	2
223	но с	3	2
224	ни одного	3	2
225	значение для	3	2
226	само по	2	2
227	сознание и	4	2
228	на протяжении	3	2
