N	2gram	Bakhtin_Pr_4	Otkroven
1	у него	5	22
2	у достоевского	16	19
3	и в	46	19
4	но и	12	13
5	и не	27	13
6	в этом	16	12
7	а не	11	11
8	не в	10	11
9	может быть	23	11
10	не только	14	11
11	человека и	3	10
12	и все	9	10
13	вопрос о	2	10
14	в нем	17	10
15	никогда не	6	9
16	не было	2	9
17	в самой	5	9
18	потому что	4	9
19	прежде всего	9	9
20	и он	6	8
21	лишь в	2	7
22	но он	3	7
23	до конца	4	7
24	он не	4	7
25	в его	9	7
26	все это	6	6
27	как и	12	6
28	него в	3	5
29	то что	4	5
30	а в	2	5
31	достоевского и	2	5
32	отношение к	3	5
33	в том	9	5
34	для достоевского	2	5
35	для него	2	5
36	в этой	3	5
37	в самом	9	5
38	с его	5	4
39	и мысли	2	4
40	достоевского все	3	4
41	в преступлении	2	4
42	он сам	2	4
43	только и	2	4
44	все в	2	4
45	и его	6	4
46	все эти	4	4
47	не может	19	4
48	что в	4	4
49	в романах	5	4
50	к нему	5	3
51	достоевского в	8	3
52	не могут	3	3
53	и наказании	2	3
54	в этих	4	3
55	преступлении и	2	3
56	самого достоевского	2	3
57	романах достоевского	7	3
58	мысли и	2	3
59	это не	5	3
60	что он	6	3
61	хотя бы	2	3
62	еще не	7	3
63	могут быть	2	3
64	все что	2	3
65	в себе	7	3
66	было бы	3	3
67	когда он	2	3
68	о том	5	3
69	с ним	2	3
70	как бы	19	3
71	любовь к	4	2
72	уже в	4	2
73	все же	4	2
74	что и	3	2
75	и для	3	2
76	в единстве	3	2
77	так и	4	2
78	в своем	3	2
79	что же	3	2
80	и любовь	2	2
81	романов достоевского	2	2
82	произведений достоевского	6	2
83	творчество достоевского	2	2
84	по себе	7	2
85	и к	9	2
86	должно быть	4	2
87	в других	2	2
88	том что	4	2
89	так что	2	2
90	в другом	2	2
91	ни у	3	2
92	и на	11	2
93	сказать что	2	2
94	и с	7	2
95	тем что	3	2
96	и нет	4	2
97	ведь это	3	2
98	достоевского но	3	2
99	героев достоевского	3	2
100	в своей	3	2
101	так как	5	2
102	и этим	3	2
103	и о	3	2
104	ничего не	2	2
105	не могли	2	2
106	хотя и	6	2
107	которую он	2	2
108	к ней	2	2
109	но в	6	2
110	к достоевскому	2	2
