N	2gram	Trubetskoy_1	Morfolog
1	может быть	10	52
2	таким образом	22	20
3	представляет собой	3	17
4	не может	4	17
5	в этих	4	16
6	и в	26	13
7	в этом	15	13
8	так как	9	12
9	связи с	9	11
10	прежде всего	2	9
11	не всегда	2	9
12	так и	6	9
13	в связи	3	9
14	то же	4	9
15	и не	8	9
16	а не	5	9
17	мы имеем	2	9
18	с другой	8	8
19	по существу	2	8
20	что и	6	8
21	в результате	3	8
22	в качестве	3	7
23	но если	2	7
24	все же	6	7
25	не могут	2	6
26	и здесь	2	6
27	в том	11	6
28	но не	8	6
29	а также	2	6
30	а в	4	6
31	во время	4	6
32	не менее	3	5
33	и другие	3	5
34	в образе	2	5
35	вслед за	2	5
36	во всех	2	5
37	далеко не	4	5
38	как бы	12	5
39	один из	2	5
40	то что	7	5
41	потому что	7	5
42	что в	9	4
43	и как	3	4
44	тем не	3	4
45	отношению к	3	4
46	случае не	3	4
47	несмотря на	6	4
48	не только	10	4
49	так же	5	4
50	на пути	2	4
51	точки зрения	13	4
52	с точки	6	4
53	если в	3	4
54	в других	3	4
55	только что	2	3
56	связана с	2	3
57	если бы	3	3
58	в начале	2	3
59	связывается с	3	3
60	том что	7	3
61	но все	7	3
62	того чтобы	5	3
63	он не	4	3
64	но и	9	3
65	целый ряд	4	3
66	из которых	4	3
67	и по	4	3
68	к нему	7	3
69	и для	5	3
70	можно назвать	2	3
71	мы можем	2	3
72	из них	7	3
73	большей частью	3	3
74	в то	4	3
75	мы должны	6	3
76	с того	2	3
77	но в	7	3
78	с тем	18	2
79	в виде	4	2
80	хотя бы	3	2
81	образом если	2	2
82	точно так	3	2
83	состоит в	2	2
84	к этому	3	2
85	что он	4	2
86	утверждать что	2	2
87	можно сказать	3	2
88	так например	2	2
89	и к	5	2
90	путь к	3	2
91	не с	2	2
92	и при	3	2
93	только в	4	2
94	тем и	2	2
95	для него	3	2
96	одной стороны	7	2
97	одной из	5	2
98	благодаря этому	2	2
99	быть и	2	2
100	или менее	5	2
101	и тогда	4	2
102	и таким	3	2
103	и только	4	2
104	а с	7	2
105	с одной	7	2
106	все эти	6	2
107	и что	4	2
108	того что	3	2
109	для того	5	2
110	уже не	3	2
111	не имеет	5	2
112	друг на	2	2
113	на друга	2	2
114	что мы	2	2
115	или по	2	2
116	о том	6	2
117	что эти	3	2
118	друг за	3	2
119	ясно что	3	2
120	сказать что	2	2
121	более или	5	2
