N	2gram	Vinokur_Vv_1	Formalny
1	т е	38	32
2	и не	13	30
3	вовсе не	6	28
4	и в	27	27
5	может быть	24	25
6	не может	13	24
7	и его	5	19
8	таким образом	19	18
9	в этом	34	18
10	а не	3	17
11	точки зрения	7	16
12	самом деле	6	16
13	в нем	13	15
14	то же	8	15
15	между ними	2	15
16	как и	5	14
17	с точки	2	14
18	не в	8	12
19	если бы	2	12
20	в самом	12	11
21	и т	43	11
22	но и	5	10
23	не могут	5	10
24	так как	13	9
25	не только	21	9
26	так же	3	9
27	что в	11	8
28	при этом	3	8
29	как бы	5	8
30	то что	17	8
31	как раз	4	8
32	входит в	2	8
33	как мы	9	8
34	только в	13	8
35	не менее	8	7
36	в том	31	7
37	же время	5	7
38	все это	6	7
39	потому что	14	7
40	в то	5	7
41	его в	6	7
42	между тем	8	7
43	с тем	6	7
44	в его	10	7
45	истории литературы	3	6
46	с другой	8	6
47	всяком случае	3	6
48	т д	37	6
49	все эти	3	6
50	в своих	2	6
51	но в	10	6
52	что он	4	6
53	еще не	4	6
54	было бы	5	6
55	все же	8	6
56	в своей	4	6
57	хотя бы	5	6
58	и для	4	6
59	в данном	11	6
60	во всяком	3	6
61	и ее	4	6
62	вместе с	6	6
63	независимо от	3	5
64	никогда не	3	5
65	в каждом	4	5
66	что именно	2	5
67	в дальнейшем	2	5
68	совсем не	3	5
69	того чтобы	21	5
70	другой стороны	5	5
71	в ней	3	5
72	в результате	3	5
73	говорит он	2	5
74	в истории	9	5
75	но не	7	5
76	что же	3	5
77	т п	5	5
78	тем что	6	5
79	связи с	3	5
80	если же	2	5
81	уже в	5	4
82	прежде всего	8	4
83	к тому	4	4
84	да и	4	4
85	и как	9	4
86	до конца	3	4
87	для того	21	4
88	мы видели	2	4
89	в целом	5	4
90	жизни и	2	4
91	данном случае	5	4
92	со стороны	12	4
93	в связи	2	4
94	и те	2	4
95	но ведь	4	4
96	о том	15	4
97	как это	5	4
98	мы можем	2	4
99	следует что	2	4
100	тогда когда	3	4
101	по себе	9	4
102	не есть	4	4
103	в ее	11	4
104	том что	26	4
105	только на	3	4
106	мы не	2	4
107	связь между	4	4
108	могут быть	4	4
109	же как	3	3
110	бы и	2	3
111	что это	3	3
112	в этих	3	3
113	тому что	2	3
114	в какой	4	3
115	это не	8	3
116	в конце	3	3
117	можно сказать	3	3
118	литературное произведение	2	3
119	лишь как	2	3
120	должна быть	2	3
121	того что	12	3
122	одним из	5	3
123	она есть	5	3
124	в виду	4	3
125	и тем	5	3
126	этот процесс	3	3
127	по отношению	4	3
128	той же	4	3
129	этом отношении	3	3
130	и что	4	3
131	произведения и	2	3
132	действительности в	2	3
133	в которых	6	3
134	и на	3	3
135	не следует	2	3
136	сказать что	5	3
137	и с	2	3
138	нуждается в	2	3
139	он и	2	3
140	в них	4	3
141	ясно что	9	3
142	у нас	2	3
143	того же	3	3
144	же самое	2	3
145	во всех	2	3
146	отношению к	4	3
147	наука о	3	3
148	время в	2	3
149	дело с	6	3
150	в той	7	3
151	уже не	5	3
152	целое и	2	3
153	в себе	4	3
154	в основу	2	2
155	для этого	3	2
156	в отношении	2	2
157	вообще не	3	2
158	язык как	3	2
159	находятся в	2	2
160	в этой	3	2
161	на этом	3	2
162	как о	4	2
163	смысле слова	7	2
164	как следует	2	2
165	история литературы	2	2
166	в общем	12	2
167	но если	3	2
168	в котором	4	2
169	и др	2	2
170	учение о	2	2
171	какой бы	2	2
172	от других	2	2
173	из них	3	2
174	дело не	3	2
175	от того	3	2
176	что она	3	2
177	в своем	3	2
178	языка или	2	2
179	можно только	2	2
180	как совокупность	2	2
181	именно на	2	2
182	и даже	5	2
183	одной и	2	2
184	научной работы	3	2
185	чем же	3	2
186	из этих	5	2
187	как он	6	2
188	конце концов	2	2
189	свое выражение	3	2
190	в чисто	4	2
191	нисколько не	3	2
192	этом смысле	11	2
193	смысле этого	8	2
194	однако в	3	2
195	это понятие	2	2
196	не как	3	2
197	что собственно	3	2
198	к этому	3	2
199	на тему	2	2
200	стороны и	3	2
201	языка как	2	2
202	что уже	3	2
203	говорить о	3	2
204	так чтобы	3	2
205	одна из	2	2
206	и тогда	3	2
207	одной из	3	2
208	в сущности	3	2
209	ни с	2	2
210	этого слова	2	2
211	на почве	5	2
212	должен быть	4	2
213	что и	3	2
214	тем не	8	2
215	но уже	2	2
216	и именно	12	2
217	в отличие	3	2
218	это только	4	2
219	слова как	2	2
220	от этого	5	2
221	на протяжении	2	2
222	познания и	2	2
223	и это	6	2
224	дело в	3	2
225	здесь не	2	2
226	отличие от	3	2
227	в области	4	2
228	ничего не	2	2
