N	2gram	Voloshinov_1	VrazhdaK
1	не только	4	9
2	в этом	4	8
3	и что	2	8
4	и в	12	8
5	но и	3	7
6	что в	2	7
7	то что	5	7
8	и все	2	7
9	в котором	3	6
10	в нем	6	6
11	все же	4	6
12	как и	5	6
13	но в	5	6
14	и с	3	6
15	то же	5	5
16	и не	10	5
17	между тем	3	5
18	в то	2	5
19	уже в	2	4
20	для нас	7	4
21	как бы	13	4
22	все это	3	4
23	это не	2	4
24	так же	3	4
25	с ним	3	4
26	может быть	14	4
27	при этом	6	4
28	о том	3	4
29	в ней	6	4
30	в виду	5	4
31	и уже	3	3
32	с его	2	3
33	в своем	2	3
34	к этому	2	3
35	в том	6	3
36	и его	13	3
37	том что	5	3
38	в его	2	3
39	его в	4	3
40	в чем	2	3
41	он не	2	3
42	место в	2	2
43	в своей	3	2
44	не менее	3	2
45	никогда не	5	2
46	вместе с	2	2
47	отнюдь не	5	2
48	в них	3	2
49	не может	16	2
50	таким образом	12	2
51	но это	2	2
52	уже не	4	2
53	к автору	4	2
54	с точки	2	2
55	как же	2	2
56	и то	2	2
57	в момент	2	2
58	точки зрения	14	2
59	и ее	3	2
60	в себе	3	2
61	отношение к	4	2
62	для него	3	2
63	еще не	3	2
64	на это	2	2
65	к ним	2	2
