N	2gram	Losev_Vlad_2	NovoeSre
1	а не	7	17
2	не может	9	16
3	и в	30	16
4	совсем не	4	12
5	и не	18	11
6	и есть	2	10
7	что в	12	9
8	жизни и	6	8
9	он не	4	8
10	в том	18	8
11	как и	5	7
12	в этом	20	7
13	может быть	7	7
14	с его	4	6
15	никогда не	7	6
16	не в	9	6
17	но это	4	6
18	ни в	7	6
19	в нем	4	5
20	все это	5	5
21	и к	6	5
22	в ней	4	5
23	не только	12	5
24	не менее	7	4
25	то что	20	4
26	в них	3	4
27	это не	2	4
28	и все	7	4
29	не было	10	4
30	не имеет	2	4
31	и для	3	4
32	должно быть	3	4
33	потому что	9	4
34	по своему	2	4
35	прежде всего	6	4
36	и мы	4	4
37	о том	4	4
38	и потому	2	4
39	но и	8	3
40	не есть	4	3
41	в своей	5	3
42	жизни в	2	3
43	стремится к	2	3
44	во всех	3	3
45	к тому	2	3
46	с тем	2	3
47	конечно не	4	3
48	как в	3	3
49	она не	2	3
50	наряду с	2	3
51	в россии	3	3
52	сказать что	11	3
53	это было	4	3
54	я не	4	2
55	себя в	2	2
56	у него	19	2
57	вместе с	8	2
58	бытия в	2	2
59	так и	5	2
60	мысли и	2	2
61	и от	2	2
62	а в	11	2
63	все эти	5	2
64	быть в	3	2
65	уже не	3	2
66	того чтобы	2	2
67	и даже	10	2
68	хотя бы	3	2
69	но не	3	2
70	так же	4	2
71	по существу	3	2
72	время как	2	2
73	мы не	2	2
74	том что	12	2
75	можно было	2	2
76	в русском	2	2
77	можно назвать	2	2
78	и с	14	2
79	и что	5	2
80	с этим	5	2
81	и на	4	2
82	в себе	6	2
83	в то	9	2
84	не могла	2	2
85	как будто	2	2
86	и это	3	2
87	такого рода	2	2
88	в будущем	2	2
89	когда мы	3	2
90	том чтобы	2	2
91	как это	7	2
92	не могли	3	2
93	хотя и	6	2
94	но в	8	2
95	в новом	2	2
