N	2gram	Losev_Vlad_1	SlovoVZh
1	не может	6	16
2	точки зрения	2	14
3	может быть	6	14
4	и его	7	13
5	таким образом	3	12
6	и в	31	12
7	в нашем	4	11
8	и не	17	10
9	так как	8	9
10	для нас	4	7
11	сказать что	7	7
12	в нем	4	6
13	при этом	2	6
14	в том	11	6
15	только в	9	6
16	в жизни	3	5
17	то что	18	5
18	никогда не	9	5
19	можно сказать	6	5
20	то же	6	5
21	хотя бы	2	5
22	как и	4	5
23	том что	14	5
24	отнюдь не	3	5
25	как в	3	5
26	что мы	2	5
27	но в	12	5
28	и к	6	4
29	все же	3	4
30	отношение к	3	4
31	жизни и	5	4
32	так и	6	4
33	с другой	3	4
34	уже не	3	4
35	не в	5	4
36	в этом	14	4
37	и на	3	4
38	дело в	4	4
39	в самом	2	4
40	к нему	4	4
41	за пределы	3	4
42	не только	24	4
43	в котором	6	3
44	в них	2	3
45	не менее	2	3
46	когда он	5	3
47	в своей	4	3
48	все это	5	3
49	как к	2	3
50	и по	8	3
51	и вообще	4	3
52	все эти	3	3
53	ясно что	2	3
54	но и	19	3
55	того что	2	3
56	тем не	2	3
57	ни в	2	3
58	да и	4	3
59	и с	14	3
60	о том	11	3
61	в каком	2	3
62	в себе	4	3
63	для него	7	3
64	еще не	2	3
65	только на	3	3
66	и для	2	3
67	конечно не	2	3
68	из этого	2	3
69	здесь не	3	3
70	с ним	5	3
71	место в	2	2
72	уже в	7	2
73	но мы	2	2
74	с его	11	2
75	что и	5	2
76	что в	14	2
77	на все	2	2
78	вместе с	3	2
79	и так	3	2
80	а к	22	2
81	на него	3	2
82	в своем	4	2
83	в отношении	3	2
84	другой стороны	3	2
85	и все	4	2
86	в особенности	4	2
87	тому же	2	2
88	к этому	6	2
89	его к	2	2
90	и что	6	2
91	едва ли	3	2
92	но зато	2	2
93	и здесь	3	2
94	как на	2	2
95	и притом	3	2
96	но это	3	2
97	и то	10	2
98	в момент	2	2
99	но не	3	2
100	но что	3	2
101	кроме того	7	2
102	в то	8	2
103	на это	2	2
104	но этот	3	2
105	в чем	2	2
106	как это	7	2
107	ничего не	3	2
108	к его	3	2
109	он не	10	2
110	в его	12	2
111	и потому	6	2
