N	2gram	Propp_Isto_6	VrazhdaK
1	не только	10	9
2	в этом	12	8
3	и что	5	8
4	и в	26	8
5	но и	9	7
6	что в	12	7
7	то что	6	7
8	в нем	8	6
9	все же	8	6
10	как и	5	6
11	но в	7	6
12	и с	6	6
13	то же	5	5
14	не было	3	5
15	и не	10	5
16	у него	7	5
17	в то	5	5
18	для нас	2	4
19	как бы	4	4
20	целый ряд	2	4
21	это не	4	4
22	что он	9	4
23	так же	2	4
24	с ним	8	4
25	в своих	3	4
26	может быть	11	4
27	при этом	3	4
28	о том	7	4
29	в ней	5	4
30	с его	4	3
31	в своем	2	3
32	что у	2	3
33	т е	22	3
34	к этому	3	3
35	человека в	2	3
36	на то	2	3
37	он был	2	3
38	в том	12	3
39	и его	7	3
40	том что	10	3
41	и как	2	3
42	тем что	5	3
43	в его	5	3
44	далеко не	3	3
45	в русской	6	3
46	его в	5	3
47	наряду с	3	3
48	но он	2	3
49	он не	2	3
50	его с	3	2
51	после смерти	2	2
52	а с	2	2
53	могли быть	2	2
54	в своей	3	2
55	и это	8	2
56	после этого	4	2
57	никогда не	13	2
58	вместе с	8	2
59	в них	3	2
60	так в	6	2
61	и далее	2	2
62	не может	6	2
63	а в	3	2
64	тогда как	2	2
65	таким образом	12	2
66	на место	3	2
67	но это	4	2
68	там же	3	2
69	уже не	7	2
70	к себе	2	2
71	на первый	3	2
72	и он	4	2
73	же не	2	2
74	мы знаем	2	2
75	в этой	2	2
76	и то	3	2
77	же как	3	2
78	их в	3	2
79	но как	4	2
80	и ее	3	2
81	в себе	3	2
82	еще не	9	2
83	в это	4	2
84	о чем	2	2
85	при помощи	3	2
86	одна из	2	2
87	в эту	2	2
88	а также	4	2
89	в него	3	2
