N	2gram	Trubetskoy_1	Formalny
1	и в	26	24
2	в его	5	23
3	прежде всего	2	22
4	и не	8	20
5	так и	6	18
6	не может	4	16
7	точки зрения	13	16
8	в этом	15	15
9	в нем	4	14
10	может быть	10	14
11	с точки	6	13
12	таким образом	22	13
13	в своем	3	11
14	не менее	3	11
15	то же	4	10
16	а не	5	10
17	и потому	6	9
18	в процессе	2	9
19	все это	6	9
20	в то	4	9
21	же время	2	8
22	именно в	2	8
23	в свою	2	8
24	то что	7	8
25	лишь в	5	8
26	и на	2	8
27	не в	2	8
28	и с	10	8
29	и от	4	7
30	не только	10	7
31	жизни и	2	7
32	но и	9	7
33	и все	2	6
34	и здесь	2	6
35	в том	11	6
36	в этой	4	6
37	более или	5	6
38	до сих	5	6
39	еще не	2	6
40	как бы	12	6
41	сих пор	5	6
42	или менее	5	6
43	а в	4	6
44	все эти	6	6
45	хотя бы	3	5
46	при этом	3	5
47	не могло	2	5
48	во всех	2	5
49	в самом	4	5
50	того что	3	5
51	с другой	8	5
52	но в	7	5
53	с его	2	4
54	главным образом	8	4
55	никогда не	5	4
56	не как	2	4
57	с другими	4	4
58	и к	5	4
59	в мире	5	4
60	для этого	2	4
61	учение о	4	4
62	на западе	3	4
63	одной стороны	7	4
64	если бы	3	4
65	конечно не	2	4
66	всяком случае	6	4
67	отношению к	3	4
68	при таком	2	4
69	быть и	2	4
70	так же	5	4
71	в связи	3	4
72	что в	9	4
73	с одной	7	4
74	как на	8	4
75	в которой	3	4
76	с этой	3	4
77	во всяком	6	4
78	как о	3	4
79	но не	8	3
80	в отношении	6	3
81	связи с	9	3
82	перестает быть	2	3
83	в них	2	3
84	то ни	2	3
85	бы то	2	3
86	на все	2	3
87	ясно что	3	3
88	что он	4	3
89	к тому	6	3
90	для него	3	3
91	и как	3	3
92	так например	2	3
93	со всеми	2	3
94	в общем	8	3
95	он не	4	3
96	один из	2	3
97	все же	6	3
98	отношение к	5	3
99	когда он	3	3
100	отличается от	2	3
101	в россии	2	3
102	особенно в	2	3
103	не было	2	3
104	культуры и	3	3
105	и наконец	2	3
106	и даже	3	3
107	целый ряд	4	3
108	наконец в	2	3
109	у них	3	3
110	ничем не	4	3
111	в себе	6	3
112	в области	9	3
113	же как	3	2
114	с тем	18	2
115	и особенно	2	2
116	в одном	3	2
117	ни было	2	2
118	в самой	2	2
119	уже не	3	2
120	по существу	2	2
121	мы видели	2	2
122	но все	7	2
123	только в	4	2
124	и если	3	2
125	одной из	5	2
126	и является	2	2
127	только не	2	2
128	не с	2	2
129	что и	6	2
130	вместе с	15	2
131	он в	2	2
132	в создании	2	2
133	не могла	2	2
134	и что	4	2
135	приводит к	2	2
136	его не	2	2
137	и те	3	2
138	из этой	2	2
139	или иначе	3	2
140	в результате	3	2
141	между тем	2	2
142	к которому	2	2
143	и это	2	2
144	на нее	3	2
145	в эту	2	2
