N	2gram	Nazirov_Tv_1	Marksizm
1	может быть	5	26
2	и не	7	26
3	не может	4	24
4	и в	21	19
5	и его	6	19
6	таким образом	5	17
7	в этом	6	16
8	как бы	17	15
9	прежде всего	4	13
10	как и	12	12
11	так и	2	11
12	в самом	3	10
13	в нем	3	10
14	самом деле	2	10
15	для него	6	9
16	только в	5	9
17	при этом	7	8
18	но и	3	8
19	не только	7	8
20	все же	5	8
21	то что	8	8
22	в каждом	3	7
23	в направлении	2	7
24	так же	3	7
25	но в	7	7
26	то же	13	7
27	а не	5	7
28	в том	7	6
29	настоящее время	2	6
30	отнюдь не	5	6
31	того же	2	6
32	в основном	4	6
33	в его	13	6
34	и того	2	6
35	так сказать	2	6
36	с другой	3	5
37	именно в	2	5
38	не в	2	5
39	до конца	2	5
40	и все	6	5
41	к этому	2	5
42	вовсе не	5	5
43	по преимуществу	2	5
44	в отличие	2	5
45	хотя бы	5	5
46	отличие от	2	5
47	самого начала	3	4
48	что в	12	4
49	не менее	6	4
50	с самого	3	4
51	в ней	2	4
52	этой проблемы	2	4
53	здесь мы	2	4
54	не столько	2	4
55	а в	6	4
56	и на	7	4
57	тот же	2	4
58	сказать что	2	4
59	жизни в	6	4
60	не будет	2	4
61	как в	8	4
62	мысли и	4	4
63	только на	2	4
64	в данном	2	4
65	далеко не	3	4
66	место в	3	3
67	и от	4	3
68	одного из	2	3
69	а как	2	3
70	можно сказать	2	3
71	и как	4	3
72	в дальнейшем	3	3
73	же время	12	3
74	не имеют	4	3
75	в котором	6	3
76	из них	2	3
77	все это	10	3
78	того что	3	3
79	xix века	6	3
80	в то	15	3
81	не существует	3	3
82	том что	11	3
83	действительности и	2	3
84	одной из	4	3
85	он не	8	3
86	в первом	2	3
87	в своей	4	3
88	это и	3	3
89	на самом	3	3
90	каких бы	2	3
91	в которой	3	3
92	зависит от	2	2
93	в частности	2	2
94	никогда не	3	2
95	в своем	4	2
96	что все	3	2
97	и диалектика	2	2
98	тем не	2	2
99	иными словами	2	2
100	в свою	7	2
101	первой части	3	2
102	он ни	3	2
103	одним из	4	2
104	но если	3	2
105	в виду	2	2
106	с ее	3	2
107	жизни и	3	2
108	в первой	2	2
109	как к	2	2
110	и других	3	2
111	действительности в	2	2
112	и даже	3	2
113	в своих	5	2
114	в одной	2	2
115	же и	2	2
116	о том	6	2
117	так как	3	2
118	нет ни	2	2
119	и с	3	2
120	в основе	2	2
121	и та	2	2
122	в литературе	2	2
123	что он	6	2
124	вот в	2	2
125	в себе	2	2
126	в романе	10	2
127	то в	2	2
128	одна из	2	2
129	в качестве	2	2
130	к тому	2	2
131	что и	2	2
132	вся история	2	2
133	в двух	2	2
134	человека в	6	2
135	что не	2	2
136	и он	2	2
137	на смену	2	2
138	является одним	2	2
139	той же	3	2
140	или в	2	2
141	могут быть	2	2
142	ту же	3	2
143	не знает	2	2
144	в русской	5	2
145	в чем	2	2
