N	3gram	Vygotskiy__1	Problema
1	с точки зрения	18	11
2	в том что	15	8
3	сам по себе	3	6
4	то же самое	3	6
5	с другой стороны	9	6
6	в данном случае	2	5
7	в какой мере	2	4
8	можно было бы	3	4
9	ни в какой	2	4
10	во всяком случае	3	4
11	о том что	6	3
12	в зависимости от	2	3
13	вместе с тем	5	3
14	и в частности	2	2
15	что перед нами	2	2
16	в то время	5	2
17	в то же	2	2
18	в настоящей работе	2	2
19	мы хотели бы	2	2
20	в том чтобы	3	2
21	то время как	4	2
22	заключается в том	6	2
23	для того чтобы	15	2
