N	2gram	Bakhtin_fo_2	Otkroven
1	у него	9	22
2	человеческой природы	2	20
3	и в	46	19
4	но и	9	13
5	и не	9	13
6	в этом	22	12
7	а не	4	11
8	не в	9	11
9	человека в	6	11
10	может быть	7	11
11	не только	11	11
12	человека и	4	10
13	и все	6	10
14	в нем	5	10
15	никогда не	6	9
16	не было	3	9
17	в самой	2	9
18	потому что	8	9
19	прежде всего	14	9
20	и он	4	8
21	он был	2	8
22	лишь в	2	7
23	человек не	2	7
24	но он	2	7
25	до конца	2	7
26	он не	5	7
27	в его	8	7
28	все это	6	6
29	как и	8	6
30	то что	7	5
31	а в	3	5
32	отношение к	3	5
33	о его	2	5
34	в том	10	5
35	для него	3	5
36	в этой	2	5
37	на земле	2	4
38	того чтобы	8	4
39	все в	2	4
40	и его	12	4
41	все эти	5	4
42	не может	2	4
43	что в	5	4
44	него и	2	4
45	в этих	3	3
46	и есть	2	3
47	это не	2	3
48	и вот	2	3
49	что он	3	3
50	того что	3	3
51	для того	8	3
52	еще не	6	3
53	и от	2	3
54	могут быть	2	3
55	все что	2	3
56	в себе	4	3
57	было бы	2	3
58	о том	4	3
59	с ним	4	3
60	как бы	10	3
61	в этот	3	2
62	уже в	4	2
63	все же	6	2
64	что и	3	2
65	ее в	3	2
66	и для	9	2
67	с тем	2	2
68	в истории	4	2
69	всего в	3	2
70	так и	7	2
71	жизни в	4	2
72	в своем	5	2
73	что все	2	2
74	к этому	3	2
75	по себе	2	2
76	и к	2	2
77	должно быть	5	2
78	их не	2	2
79	том что	4	2
80	так что	4	2
81	своей жизни	2	2
82	в другом	3	2
83	и на	7	2
84	что они	4	2
85	и с	6	2
86	совсем не	2	2
87	тем что	3	2
88	образ человека	2	2
89	этого мира	2	2
90	его в	6	2
91	так как	6	2
92	этом мире	6	2
93	и о	2	2
94	не могли	3	2
95	хотя и	3	2
96	но в	10	2
97	и потому	2	2
98	в уста	2	2
