N	2gram	Medvedev_V_1	Komedia
1	и в	26	22
2	и не	19	21
3	т е	18	16
4	том что	8	13
5	в том	15	12
6	таким образом	31	12
7	в самом	4	9
8	вместе с	7	9
9	если бы	3	8
10	в своем	8	8
11	что он	4	8
12	в его	14	8
13	что и	3	8
14	в этом	26	8
15	о том	10	8
16	его в	3	8
17	о чем	2	7
18	об этом	9	7
19	то же	10	7
20	не по	2	7
21	только что	4	7
22	а в	3	7
23	в конце	3	7
24	во время	3	6
25	к этому	9	6
26	еще не	2	6
27	для того	3	6
28	к тому	4	6
29	может быть	22	6
30	как раз	3	6
31	того чтобы	3	6
32	и его	6	6
33	в то	6	6
34	не менее	2	5
35	связи с	4	5
36	что в	10	5
37	же время	5	5
38	прежде всего	13	5
39	то это	2	5
40	что его	2	5
41	как это	12	5
42	хотя и	2	5
43	не только	25	5
44	в своей	4	5
45	из них	9	5
46	все это	10	5
47	по отношению	7	5
48	он не	2	5
49	в которых	3	5
50	но в	2	5
51	с тем	3	4
52	у него	6	4
53	отнюдь не	3	4
54	с другой	11	4
55	вовсе не	3	4
56	нет и	3	4
57	все же	5	4
58	не в	6	4
59	в ней	2	4
60	и т	23	4
61	то что	6	4
62	когда он	3	4
63	но и	10	4
64	что она	2	4
65	т п	9	4
66	до нас	2	4
67	а не	7	4
68	и для	2	4
69	так же	3	4
70	точки зрения	3	4
71	в себе	6	4
72	в связи	3	4
73	бы в	3	4
74	так и	5	4
75	не является	5	4
76	хотя бы	19	4
77	что ни	2	3
78	с его	3	3
79	в частности	11	3
80	никогда не	4	3
81	в них	4	3
82	с этим	3	3
83	в нем	6	3
84	далеко не	2	3
85	и к	3	3
86	в ее	4	3
87	как и	7	3
88	в этой	4	3
89	одной стороны	2	3
90	было бы	7	3
91	как бы	5	3
92	из себя	2	3
93	один из	5	3
94	отношению к	7	3
95	в целом	4	3
96	даже не	2	3
97	приводит к	5	3
98	не может	17	3
99	с одной	2	3
100	в течение	2	3
101	что не	3	3
102	и даже	2	3
103	их в	6	3
104	не о	2	3
105	говорить о	2	3
106	же самое	2	3
107	на это	2	3
108	как он	2	3
109	в которой	2	3
110	том как	3	3
111	на вопрос	2	2
112	а о	2	2
113	как видим	8	2
114	конечном счете	5	2
115	в качестве	11	2
116	это не	7	2
117	равно как	4	2
118	в одном	4	2
119	человека и	3	2
120	в образе	2	2
121	не могут	7	2
122	нет никаких	2	2
123	стороны и	2	2
124	а как	2	2
125	о его	2	2
126	мы знаем	3	2
127	его от	2	2
128	а затем	2	2
129	по существу	3	2
130	из его	3	2
131	в силу	11	2
132	что они	3	2
133	она не	3	2
134	в пределах	5	2
135	при всей	2	2
136	он говорит	5	2
137	одним из	5	2
138	от того	2	2
139	в конечном	7	2
140	конце концов	2	2
141	и он	2	2
142	между ними	3	2
143	в котором	3	2
144	должен быть	4	2
145	после этого	2	2
146	во всех	6	2
147	на основании	8	2
148	в их	5	2
149	другой стороны	8	2
150	при всем	3	2
151	вплоть до	2	2
152	его не	3	2
153	бы не	2	2
154	не было	7	2
155	этом отношении	13	2
156	человека в	2	2
157	не приходится	2	2
158	из которых	2	2
159	что для	3	2
160	роль в	4	2
161	с другими	2	2
162	можно было	2	2
163	в своих	2	2
164	ли не	2	2
165	в результате	5	2
166	тому что	6	2
167	между тем	5	2
168	он и	2	2
169	и ее	4	2
170	нет ни	2	2
171	в другом	2	2
172	что мы	2	2
173	е в	2	2
174	всего лишь	3	2
175	который по	2	2
176	в области	2	2
177	в виду	4	2
