N	2gram	Kanaev_Sov_1	Komedia
1	и в	7	26
2	и не	6	14
3	в том	4	11
4	может быть	12	11
5	в этом	7	10
6	что в	2	9
7	вместе с	4	9
8	ясно что	3	8
9	было бы	3	8
10	из них	4	7
11	не только	4	7
12	еще не	3	6
13	в нем	3	6
14	таким образом	11	6
15	в которой	2	5
16	с этим	2	5
17	уже в	3	4
18	не менее	2	4
19	у него	2	4
20	прежде всего	5	4
21	из этих	2	4
22	как мы	2	4
23	как и	6	4
24	в целом	4	4
25	в его	2	4
26	все же	3	4
27	в самом	2	4
28	точки зрения	12	4
29	что это	2	4
30	так как	4	4
31	на этот	2	4
32	в каждом	8	3
33	вопрос о	4	3
34	мы знаем	2	3
35	жизни и	4	3
36	но все	2	3
37	для нас	3	3
38	из которых	2	3
39	все это	3	3
40	той же	2	3
41	то же	3	3
42	а в	4	3
43	не может	17	3
44	как он	3	3
45	в этой	3	3
46	но в	3	3
47	мы можем	6	3
48	и есть	2	2
49	отнюдь не	3	2
50	в нашем	2	2
51	то ни	2	2
52	так называемых	3	2
53	это не	4	2
54	в конце	3	2
55	в одном	3	2
56	нет и	4	2
57	и к	3	2
58	не в	3	2
59	одна из	3	2
60	тот же	2	2
61	на этом	2	2
62	а на	2	2
63	как известно	2	2
64	ни одна	2	2
65	друг с	2	2
66	как бы	4	2
67	всяком случае	2	2
68	в развитии	4	2
69	что она	3	2
70	в отличие	2	2
71	с одной	2	2
72	еще более	2	2
73	и что	2	2
74	с самого	3	2
75	отличие от	2	2
76	роль в	2	2
77	мы не	9	2
78	из четырех	2	2
79	во всяком	2	2
80	и во	2	2
81	говорить о	2	2
82	с другом	2	2
83	в один	2	2
84	и все	3	2
85	в первом	3	2
