N	2gram	Vygotskiy__4	Literetu
1	и не	13	22
2	и в	33	16
3	в мире	3	16
4	при этом	2	15
5	не только	7	14
6	но и	3	14
7	в этом	28	14
8	а не	6	12
9	то что	44	12
10	может быть	22	12
11	в том	21	12
12	в частности	4	11
13	не в	2	10
14	то же	9	9
15	так и	3	9
16	того что	4	9
17	в то	3	9
18	в жизни	4	8
19	том что	22	8
20	не может	10	8
21	в этой	9	8
22	как бы	25	8
23	в своей	4	7
24	же время	2	7
25	себя в	4	7
26	со стороны	2	7
27	тем самым	3	7
28	точки зрения	6	7
29	только в	4	7
30	с его	2	6
31	с другой	2	6
32	к тому	12	6
33	в его	10	6
34	и его	5	6
35	в себе	6	6
36	о том	20	6
37	это не	6	5
38	что он	20	5
39	в ее	2	5
40	тому же	3	5
41	как и	5	5
42	в целом	5	5
43	вместе с	8	5
44	как в	3	5
45	а в	4	5
46	именно в	2	5
47	в основе	3	5
48	то есть	13	5
49	место в	2	4
50	но не	3	4
51	никогда не	5	4
52	даже в	2	4
53	по существу	2	4
54	до конца	7	4
55	одной стороны	3	4
56	и если	9	4
57	и для	3	4
58	из них	4	4
59	с одной	3	4
60	должно быть	3	4
61	одно из	2	4
62	как будто	8	4
63	в одном	3	4
64	все время	24	3
65	взгляд на	2	3
66	прежде всего	2	3
67	и как	5	3
68	совершенно не	4	3
69	например в	3	3
70	и к	2	3
71	в самом	12	3
72	в сторону	3	3
73	вслед за	3	3
74	однако не	2	3
75	с ее	3	3
76	жизни и	4	3
77	бы и	2	3
78	в словах	2	3
79	самом деле	12	3
80	и наконец	2	3
81	с точки	4	3
82	как на	6	3
83	той же	4	3
84	тому как	2	3
85	потому что	24	3
86	едва ли	2	3
87	как это	14	3
88	но в	2	3
89	не надо	2	2
90	что в	21	2
91	если бы	10	2
92	действительную жизнь	2	2
93	все они	2	2
94	что у	4	2
95	с этой	4	2
96	он все	3	2
97	в конце	8	2
98	я не	4	2
99	к этому	4	2
100	вопрос о	2	2
101	по себе	9	2
102	со всей	2	2
103	на то	10	2
104	в нем	7	2
105	и ее	2	2
106	раз в	7	2
107	у нас	4	2
108	всякий раз	6	2
109	связи с	2	2
110	так чтобы	2	2
111	знает что	2	2
112	что ему	2	2
113	а на	2	2
114	можно сказать	2	2
115	было бы	12	2
116	что не	4	2
117	во всех	2	2
118	том чтобы	4	2
119	о нем	4	2
120	один из	2	2
121	то это	3	2
122	что и	3	2
123	все же	5	2
124	бы то	2	2
125	когда он	7	2
126	как мы	4	2
127	во всей	3	2
128	внимание на	2	2
129	так же	13	2
130	как раз	9	2
131	и только	7	2
132	быть не	2	2
133	и вот	6	2
134	того чтобы	22	2
135	для того	23	2
136	другой стороны	2	2
137	в своих	3	2
138	и на	5	2
139	и с	2	2
140	тем что	3	2
141	эти слова	3	2
142	далеко не	3	2
143	еще раз	3	2
144	представляет собой	2	2
145	чтобы он	2	2
146	же самое	6	2
147	могли бы	2	2
148	его в	3	2
149	и потому	2	2
150	ее в	4	2
