N	2gram	Propp_Morf_1	Sovremen
1	не может	14	17
2	точки зрения	2	12
3	может быть	52	12
4	таким образом	21	11
5	мы не	8	9
6	в этом	14	7
7	и в	13	7
8	и не	12	6
9	как и	3	6
10	в результате	7	6
11	мы можем	2	6
12	ничего не	4	6
13	что же	2	5
14	прежде всего	9	5
15	все эти	2	5
16	с точки	2	5
17	как бы	3	4
18	если мы	5	4
19	в целом	3	4
20	это не	6	4
21	а в	7	4
22	вопрос о	7	4
23	не только	4	4
24	в том	6	4
25	из них	3	4
26	мы должны	3	4
27	так как	16	4
28	но мы	3	3
29	все же	7	3
30	он может	2	3
31	между собой	4	3
32	то же	7	3
33	ясно что	5	3
34	мы получаем	2	3
35	а не	11	3
36	и к	4	3
37	из двух	2	3
38	для нас	2	3
39	у нас	2	3
40	не в	3	3
41	в этой	2	3
42	одна из	4	3
43	так называемых	2	3
44	еще не	3	3
45	было бы	3	3
46	в первом	3	3
47	следующим образом	3	3
48	что она	2	3
49	но в	2	3
50	в настоящее	3	2
51	пойти в	2	2
52	не могут	4	2
53	не менее	5	2
54	и есть	2	2
55	в виде	2	2
56	в некоторых	3	2
57	не будем	4	2
58	можно назвать	3	2
59	быть и	2	2
60	в нашем	3	2
61	вторая половина	2	2
62	на котором	3	2
63	приводит к	2	2
64	или же	6	2
65	как мы	6	2
66	уже не	2	2
67	самом деле	4	2
68	и что	2	2
69	что при	2	2
70	и пр	37	2
71	из которых	3	2
72	что такое	3	2
73	к чему	3	2
74	и по	2	2
75	тем не	5	2
76	он должен	2	2
77	то ни	3	2
78	мы видим	13	2
79	но все	3	2
80	во всяком	2	2
81	он приводит	2	2
82	на этом	3	2
83	а на	3	2
84	могут быть	16	2
85	с этим	11	2
86	что в	8	2
87	настоящее время	3	2
88	говорить о	3	2
89	в один	3	2
90	если же	5	2
91	на его	4	2
92	форма в	3	2
93	ни одна	4	2
94	в которой	3	2
95	всяком случае	2	2
