N	2gram	Losev_Prob_5	EvropaiC
1	таким образом	13	32
2	в том	12	31
3	и в	30	24
4	том что	17	20
5	все эти	2	19
6	не может	5	18
7	то что	18	17
8	может быть	7	15
9	все же	9	15
10	точки зрения	10	13
11	в своем	11	12
12	до сих	2	12
13	сих пор	2	12
14	самом деле	2	12
15	в этом	17	12
16	между тем	2	11
17	отношению к	2	10
18	как бы	6	10
19	по отношению	2	10
20	все что	2	10
21	так и	7	10
22	на то	2	9
23	при этом	4	9
24	в результате	7	9
25	как и	7	9
26	того же	4	9
27	что в	5	9
28	не в	7	8
29	в самом	5	8
30	так же	5	8
31	и все	9	8
32	ясно что	4	8
33	с точки	8	8
34	не менее	5	7
35	к тому	2	7
36	но и	13	7
37	и не	12	7
38	и что	6	7
39	по своей	2	7
40	о котором	3	7
41	о том	12	7
42	что он	7	7
43	по существу	2	7
44	в силу	5	7
45	того чтобы	2	7
46	для того	3	7
47	из этого	4	7
48	с другой	6	6
49	так что	11	6
50	в этой	10	6
51	несмотря на	6	6
52	того что	3	6
53	и на	6	6
54	что касается	3	6
55	так как	6	6
56	с ним	3	6
57	еще не	3	6
58	что и	6	6
59	мы можем	5	6
60	в европе	2	6
61	только в	9	6
62	вместе с	7	6
63	именно в	3	5
64	и без	2	5
65	у него	11	5
66	и их	5	5
67	другой стороны	6	5
68	и с	5	5
69	потому что	13	5
70	его в	6	5
71	но в	9	5
72	к этому	2	5
73	и к	4	5
74	из всех	2	5
75	в то	4	5
76	в его	12	5
77	не только	18	5
78	не будет	2	5
79	и для	6	5
80	но все	4	5
81	в себе	4	5
82	как будто	3	5
83	далеко не	4	5
84	в которой	5	5
85	не могут	2	4
86	никогда не	7	4
87	в конце	8	4
88	тем не	5	4
89	что его	3	4
90	в дальнейшем	7	4
91	хотя и	8	4
92	отношение к	2	4
93	из них	2	4
94	факт что	2	4
95	не так	4	4
96	и то	5	4
97	связи с	7	4
98	он не	3	4
99	конце концов	6	4
100	оказывается что	4	4
101	то же	2	4
102	а с	4	4
103	и сейчас	2	4
104	и у	5	4
105	хотя бы	2	4
106	в таком	2	4
107	в виде	10	4
108	в области	2	4
109	мы будем	2	3
110	с одной	3	3
111	но даже	4	3
112	представление о	2	3
113	для нас	10	3
114	уже и	2	3
115	за ними	2	3
116	в настоящее	3	3
117	в нем	6	3
118	данном случае	2	3
119	то ни	2	3
120	а в	6	3
121	это не	2	3
122	что только	2	3
123	в начале	3	3
124	настоящее время	3	3
125	при помощи	6	3
126	с тем	5	3
127	прежде всего	6	3
128	у нас	7	3
129	тот же	3	3
130	конечно не	2	3
131	гораздо больше	2	3
132	на земле	9	3
133	жизнь и	3	3
134	в данном	2	3
135	в связи	7	3
136	и вообще	9	3
137	не то	2	3
138	же не	4	3
139	в частности	4	2
140	что у	5	2
141	с этой	2	2
142	он все	2	2
143	как мы	2	2
144	все в	3	2
145	мы и	2	2
146	что они	3	2
147	в свою	2	2
148	одной стороны	3	2
149	и сам	4	2
150	он считает	2	2
151	к нему	3	2
152	образом как	2	2
153	но для	2	2
154	в ней	3	2
155	в виду	3	2
156	всяком случае	2	2
157	в котором	2	2
158	бы то	2	2
159	по его	2	2
160	и до	2	2
161	то и	2	2
162	в самой	3	2
163	они не	2	2
164	во втором	2	2
165	доказать что	2	2
166	что такой	2	2
167	также и	12	2
168	это конечно	2	2
169	во всяком	2	2
170	то есть	21	2
171	борьбы с	2	2
172	и более	2	2
173	представляет собою	2	2
174	отнюдь не	4	2
175	в них	2	2
176	гораздо более	4	2
177	тогда когда	4	2
178	на месте	2	2
179	если он	2	2
180	вовсе не	8	2
181	только тогда	3	2
182	но не	7	2
183	было бы	4	2
184	жизни и	2	2
185	тем как	2	2
186	на него	2	2
187	в другом	3	2
188	есть в	2	2
189	и только	2	2
