N	2gram	Vinokur_Vv_1	Problema
1	и не	13	28
2	не только	21	24
3	только в	13	23
4	в виде	4	22
5	вовсе не	6	21
6	в том	31	20
7	и в	27	20
8	не просто	4	16
9	все эти	3	16
10	смысле слова	7	15
11	то что	17	15
12	потому что	14	15
13	у нас	2	14
14	было бы	5	14
15	но и	5	14
16	точки зрения	7	14
17	не в	8	13
18	также и	16	13
19	даже и	3	13
20	не есть	4	12
21	в себе	4	12
22	том что	26	12
23	прежде всего	8	11
24	по себе	9	11
25	с точки	2	11
26	как будто	3	11
27	не менее	8	10
28	тем не	8	10
29	в качестве	7	10
30	и его	5	10
31	при помощи	2	10
32	может быть	24	9
33	все это	6	9
34	и даже	5	9
35	в этом	34	9
36	если бы	2	8
37	что он	4	8
38	таким образом	19	8
39	в той	7	8
40	в результате	3	8
41	во всяком	3	8
42	но в	10	8
43	с другой	8	7
44	это не	8	7
45	ясно что	9	7
46	еще не	4	7
47	такого рода	2	7
48	мы не	2	7
49	и тем	5	7
50	то же	8	7
51	именно в	8	7
52	а не	3	7
53	сказать что	5	7
54	и с	2	7
55	в ней	3	7
56	здесь не	2	7
57	хотя бы	5	7
58	об этом	5	6
59	и без	2	6
60	по крайней	4	6
61	а только	8	6
62	так что	5	6
63	а также	3	6
64	как и	5	6
65	есть не	3	6
66	что здесь	2	6
67	по своему	5	6
68	при этом	3	6
69	крайней мере	4	6
70	но если	3	6
71	в виду	4	6
72	другой стороны	5	6
73	в данном	11	6
74	и вообще	3	6
75	же самое	2	6
76	мы имеем	3	6
77	не существует	2	5
78	но не	7	5
79	хотя и	3	5
80	в нем	13	5
81	можно сказать	3	5
82	в ее	11	5
83	да и	4	5
84	жизни и	2	5
85	вместе с	6	5
86	данном случае	5	5
87	так же	3	5
88	не может	13	5
89	в них	4	5
90	так как	13	5
91	уже не	5	5
92	когда мы	2	5
93	в этих	3	5
94	о том	15	5
95	уже в	5	4
96	времени и	4	4
97	с тем	6	4
98	и есть	3	4
99	в отношении	2	4
100	в какой	4	4
101	и для	4	4
102	в одном	4	4
103	и ее	4	4
104	в этой	3	4
105	одной из	3	4
106	несмотря на	2	4
107	в своей	4	4
108	отчет в	3	4
109	что она	3	4
110	тех или	3	4
111	как бы	5	4
112	всяком случае	3	4
113	однако не	4	4
114	тем более	2	4
115	не имеет	4	4
116	и т	43	4
117	во всех	2	4
118	ни с	2	4
119	с этим	2	4
120	в разных	5	4
121	а в	5	4
122	что не	5	4
123	можно было	7	4
124	как раз	4	4
125	в то	5	4
126	в связи	2	3
127	к тому	4	3
128	казалось бы	2	3
129	уже и	7	3
130	независимо от	3	3
131	вообще не	3	3
132	само собой	2	3
133	точно так	2	3
134	этом смысле	11	3
135	как мы	9	3
136	и как	9	3
137	но все	3	3
138	это есть	2	3
139	в начале	3	3
140	связи с	3	3
141	в истории	9	3
142	учение о	2	3
143	себе и	2	3
144	в его	10	3
145	здесь нет	4	3
146	то это	3	3
147	что и	3	3
148	что в	11	3
149	не говоря	2	3
150	дело не	3	3
151	бы и	2	3
152	в своем	3	3
153	т д	37	3
154	еще и	3	3
155	самом деле	6	3
156	для того	21	3
157	из которых	2	3
158	что мы	2	3
159	к нему	2	3
160	и на	3	3
161	то более	3	3
162	тем что	6	3
163	из них	3	3
164	или иных	3	3
165	чем же	3	3
166	но как	2	3
167	в другом	3	3
168	нечто целое	2	3
169	в каждой	2	3
170	а если	2	3
171	как это	5	3
172	в области	4	3
173	как о	4	3
174	мы можем	2	3
175	в известном	3	2
176	за собой	3	2
177	этого не	2	2
178	до того	2	2
179	в частности	3	2
180	по этому	2	2
181	однако в	3	2
182	для этого	3	2
183	другое дело	3	2
184	в конце	3	2
185	представить себе	5	2
186	стороны и	3	2
187	что именно	2	2
188	сама по	3	2
189	о которых	2	2
190	что каждая	2	2
191	находятся в	2	2
192	так чтобы	3	2
193	заключается в	4	2
194	так называемая	2	2
195	том виде	3	2
196	что чем	2	2
197	не что	4	2
198	что это	3	2
199	в самом	12	2
200	ни одна	2	2
201	том чтобы	6	2
202	в обоих	2	2
203	действительность в	3	2
204	не вполне	4	2
205	в котором	4	2
206	не могли	2	2
207	говоря уже	2	2
208	все же	8	2
209	на этой	3	2
210	себя в	2	2
211	не к	2	2
212	каждой из	3	2
213	смотреть на	4	2
214	с ней	2	2
215	был в	2	2
216	говорит о	3	2
217	а именно	6	2
218	только на	3	2
219	и тогда	3	2
220	дело с	6	2
221	этого понятия	5	2
222	можно только	2	2
223	и что	4	2
224	того чтобы	21	2
225	только что	4	2
226	есть только	2	2
227	ни к	2	2
228	только так	2	2
229	в значительной	2	2
230	что иное	4	2
231	говорить о	3	2
232	и то	5	2
233	во всем	2	2
234	смысле как	3	2
235	и совершенно	2	2
236	будто бы	2	2
237	его в	6	2
238	и это	6	2
239	дело в	3	2
240	в чем	4	2
241	того же	3	2
242	идет речь	2	2
243	которое в	2	2
244	иное как	5	2
245	по содержанию	2	2
