N	3gram	Potebnia_M_1	KulturaY
1	и т п	2	41
2	с точки зрения	3	16
3	для того чтобы	2	11
4	тем не менее	6	9
5	в том что	13	8
6	и т д	4	8
7	и в этом	6	4
8	с одной стороны	3	4
9	только тогда когда	4	4
10	с другой стороны	5	3
11	так и в	3	3
12	не только в	3	3
13	не может быть	9	3
14	потому что как	2	3
15	и того же	2	2
16	сама по себе	3	2
17	только в том	6	2
18	не в том	4	2
19	в таком случае	2	2
20	потому что в	4	2
21	не могут быть	2	2
22	по отношению к	13	2
23	если бы не	2	2
24	одного и того	2	2
25	что и в	3	2
