N	2gram	Vygotskiy__2	Dialekti
1	и не	7	27
2	а не	3	26
3	точки зрения	26	25
4	и в	15	24
5	не только	15	23
6	есть нечто	2	23
7	по себе	7	20
8	не может	9	19
9	ничего не	3	17
10	и есть	2	16
11	и что	8	15
12	что все	4	14
13	то что	20	14
14	с точки	18	14
15	может быть	9	13
16	таким образом	14	13
17	и даже	5	13
18	что он	12	13
19	вовсе не	6	13
20	что это	6	12
21	того что	17	12
22	не имеет	4	11
23	что же	2	11
24	отнюдь не	2	10
25	не существует	3	10
26	в сущности	9	10
27	ни в	2	9
28	но и	10	9
29	что она	3	9
30	стало быть	2	9
31	прежде всего	4	8
32	и как	2	8
33	это есть	2	8
34	что мы	9	8
35	том что	27	8
36	в этом	19	8
37	что в	14	7
38	никогда не	8	7
39	но что	2	7
40	в самом	11	7
41	что оно	4	7
42	потому что	7	7
43	в виду	6	7
44	как и	6	7
45	как раз	4	7
46	ничем не	3	7
47	но если	2	6
48	все это	4	6
49	и только	3	6
50	и с	4	6
51	о том	9	6
52	так как	4	6
53	если бы	8	6
54	и все	3	6
55	об этом	3	6
56	что и	2	6
57	то же	5	6
58	самом деле	6	6
59	с этой	2	5
60	в том	33	5
61	что его	4	5
62	точка зрения	3	5
63	и его	4	5
64	что для	3	5
65	как это	6	5
66	само по	2	5
67	в них	4	5
68	вопрос о	5	5
69	тогда когда	5	5
70	и к	6	5
71	есть ли	2	5
72	было бы	10	5
73	он не	7	5
74	так и	8	5
75	и тогда	2	5
76	мы не	10	5
77	только в	4	5
78	с другой	6	4
79	это не	5	4
80	не могут	2	4
81	или иной	2	4
82	сама по	2	4
83	к тому	7	4
84	хотя бы	4	4
85	так же	4	4
86	сказать что	6	4
87	нет и	2	4
88	говорить о	2	4
89	в истории	6	4
90	от того	2	4
91	только что	3	4
92	тому как	2	4
93	подобно тому	2	4
94	и это	3	4
95	для него	3	4
96	перед нами	2	3
97	быть может	2	3
98	все же	4	3
99	все время	3	3
100	вопрос об	2	3
101	за пределы	2	3
102	в ущерб	2	3
103	в своем	9	3
104	что именно	3	3
105	мы знаем	7	3
106	не в	8	3
107	одной стороны	7	3
108	случае не	2	3
109	в основе	3	3
110	из двух	3	3
111	тем более	3	3
112	из них	3	3
113	с одной	7	3
114	все эти	3	3
115	должно быть	2	3
116	друг друга	5	3
117	с этим	3	3
118	мы уже	6	3
119	во всем	2	3
120	при помощи	4	3
121	не надо	3	3
122	тем что	2	3
123	уже и	2	3
124	он должен	2	3
125	мира и	2	3
126	только тогда	2	3
127	в силу	2	3
128	на то	6	3
129	зависимости от	6	3
130	утверждает что	3	3
131	все что	5	3
132	как бы	7	3
133	тем самым	3	3
134	для того	10	3
135	из которых	3	3
136	той же	2	3
137	это же	3	3
138	и ее	3	3
139	но на	3	2
140	же как	2	2
141	что если	2	2
142	в частности	6	2
143	что у	3	2
144	из этих	4	2
145	его внутренней	2	2
146	из того	4	2
147	и можно	2	2
148	для нас	4	2
149	не можем	3	2
150	при этом	3	2
151	несмотря на	4	2
152	нас к	2	2
153	но для	2	2
154	той или	2	2
155	социальная среда	3	2
156	всяком случае	6	2
157	и тем	2	2
158	целый ряд	2	2
159	для этого	3	2
160	как например	2	2
161	именно в	2	2
162	они не	3	2
163	и по	3	2
164	а в	4	2
165	достаточно было	2	2
166	нет никаких	2	2
167	также и	2	2
168	их в	4	2
169	для себя	3	2
170	от его	4	2
171	к этой	3	2
172	но в	6	2
173	с которой	2	2
174	с его	4	2
175	у него	2	2
176	в зависимости	6	2
177	как чистое	2	2
178	в их	2	2
179	что можно	3	2
180	по существу	5	2
181	но не	3	2
182	со стороны	3	2
183	к признанию	2	2
184	ее в	2	2
185	все равно	2	2
186	или к	2	2
187	как мы	6	2
188	и для	2	2
189	или в	3	2
190	нас в	2	2
191	в данном	3	2
192	во всяком	7	2
193	могут быть	2	2
194	в себе	2	2
195	и вообще	2	2
196	учения о	2	2
197	в его	2	2
