N	2gram	Bakhtin_Fr_3	OGranits
1	и в	40	13
2	и его	17	12
3	прежде всего	16	9
4	не может	3	8
5	и не	13	8
6	может быть	9	8
7	и т.п	10	7
8	точки зрения	2	7
9	в его	13	7
10	таким образом	10	6
11	не только	13	6
12	то что	5	6
13	только в	3	6
14	как бы	3	6
15	все же	2	5
16	но ведь	3	5
17	хотя бы	2	5
18	и наконец	3	5
19	то же	7	4
20	в своей	6	4
21	все это	4	4
22	еще и	2	4
23	лишь в	2	4
24	мы не	2	4
25	было бы	4	4
26	но в	8	4
27	связана с	2	3
28	отношению к	2	3
29	что в	12	3
30	но и	11	3
31	так и	3	3
32	в их	4	3
33	по отношению	3	3
34	при анализе	2	3
35	и все	9	3
36	в одном	7	3
37	здесь мы	2	3
38	самом деле	3	3
39	в ее	3	3
40	как и	11	3
41	в которой	2	3
42	в себе	3	3
43	с этим	2	3
44	и для	5	3
45	так как	4	3
46	слово в	3	3
47	еще в	3	2
48	и этот	2	2
49	не исчерпывается	2	2
50	не менее	2	2
51	и др	7	2
52	уже в	2	2
53	в нем	5	2
54	во всей	3	2
55	в целом	2	2
56	своего рода	2	2
57	данном случае	2	2
58	а не	5	2
59	в этот	2	2
60	думать что	2	2
61	с другой	2	2
62	в языке	2	2
63	в них	9	2
64	в связи	5	2
65	а в	3	2
66	в течение	2	2
67	все эти	8	2
68	вовсе не	12	2
69	те же	5	2
70	роль в	4	2
71	в книге	2	2
72	и к	3	2
73	как в	3	2
74	если бы	3	2
75	громадную роль	2	2
76	в том	8	2
77	том что	4	2
78	мы видим	5	2
79	с помощью	2	2
80	в своих	5	2
81	в данном	4	2
82	в этом	15	2
83	тем что	3	2
84	между тем	3	2
85	и следовательно	3	2
86	при этом	3	2
87	нуждается в	3	2
88	смысле слова	4	2
89	связанные с	3	2
90	и ее	2	2
91	для него	5	2
92	в другом	3	2
93	во всем	3	2
94	мы уже	13	2
95	слова и	2	2
96	в области	4	2
97	в самом	6	2
98	там где	3	2
99	в ней	4	2
100	а также	4	2
101	и стиль	2	2
