N	2gram	Losev_Dial_3	Tragedij
1	и в	24	18
2	в этом	8	9
3	не только	23	8
4	и не	27	7
5	и на	3	7
6	и с	6	7
7	может быть	13	7
8	как бы	3	7
9	что он	13	6
10	и его	5	6
11	же время	3	6
12	у него	2	6
13	но в	2	6
14	все же	3	5
15	что это	12	5
16	так и	5	5
17	это не	4	5
18	не может	19	5
19	то же	6	5
20	а я	2	5
21	как и	7	5
22	в то	5	5
23	несмотря на	2	5
24	но и	9	4
25	то что	14	4
26	что в	7	4
27	все это	6	4
28	я не	6	4
29	прежде всего	8	4
30	и все	6	4
31	в нем	3	4
32	и даже	13	4
33	так же	4	4
34	том что	8	4
35	но это	5	4
36	и что	15	4
37	в себе	2	4
38	еще не	2	4
39	об этом	6	4
40	отнюдь не	10	3
41	в своем	3	3
42	никто не	2	3
43	все эти	3	3
44	тем самым	3	3
45	жизнь и	4	3
46	и он	2	3
47	и как	8	3
48	к нему	3	3
49	должно быть	3	3
50	в его	2	3
51	для него	4	3
52	при этом	2	3
53	как это	5	3
54	из самых	3	2
55	не имеет	11	2
56	перед нами	3	2
57	от всего	6	2
58	не могут	4	2
59	но они	2	2
60	что и	6	2
61	только к	2	2
62	а что	4	2
63	она должна	2	2
64	как же	5	2
65	раз и	3	2
66	в частности	2	2
67	то и	3	2
68	даже если	2	2
69	что все	14	2
70	и я	3	2
71	вопрос о	5	2
72	не просто	18	2
73	уже не	5	2
74	с его	2	2
75	к тому	4	2
76	и здесь	2	2
77	ни в	9	2
78	в том	5	2
79	друг друга	3	2
80	говорит о	4	2
81	так что	8	2
82	в таком	14	2
83	не в	3	2
84	что этот	2	2
85	точно так	2	2
86	в данном	2	2
87	и то	4	2
88	одна из	3	2
89	потому что	7	2
90	ничем не	7	2
91	в первом	2	2
92	тем что	3	2
93	личности и	5	2
94	в виде	8	2
95	только о	3	2
96	он и	3	2
97	и ее	3	2
98	о том	6	2
99	и это	4	2
100	в самом	7	2
101	ничего не	17	2
102	он не	5	2
103	что она	9	2
104	отца и	2	2
105	никогда не	7	2
