N	2gram	Potebnia_M_4	FransuaR
1	и в	23	65
2	то есть	34	45
3	и др	2	24
4	как бы	5	22
5	и не	18	22
6	вовсе не	7	18
7	в сущности	2	16
8	в том	23	16
9	в этом	23	15
10	но в	8	14
11	в нем	7	13
12	мы уже	3	12
13	и на	3	11
14	и его	2	10
15	и потому	10	10
16	не только	10	10
17	но и	11	10
18	так и	6	10
19	все эти	3	10
20	в его	5	9
21	все это	5	9
22	по своему	2	8
23	в своем	8	8
24	и даже	2	8
25	его в	4	7
26	в области	2	7
27	влияние на	2	7
28	точки зрения	4	7
29	только в	15	7
30	никогда не	3	6
31	том что	12	6
32	как мы	2	6
33	еще не	3	6
34	при этом	15	6
35	может быть	26	6
36	в ней	2	6
37	на самом	3	6
38	и у	2	6
39	тела и	2	6
40	сказать что	8	6
41	так как	14	6
42	в одном	4	5
43	еще более	2	5
44	в них	3	5
45	превращается в	2	5
46	потому что	33	5
47	есть в	5	5
48	для него	5	5
49	как в	7	5
50	как и	14	5
51	в той	4	5
52	в своих	2	5
53	между тем	9	5
54	и все	4	5
55	связи с	3	4
56	и к	6	4
57	не в	11	4
58	можно только	2	4
59	отношение к	2	4
60	в самом	3	4
61	и до	3	4
62	сих пор	4	4
63	до сих	4	4
64	мысли и	7	4
65	для нас	14	4
66	между ними	4	4
67	во время	2	4
68	так сказать	5	4
69	не могут	2	3
70	что в	17	3
71	на котором	4	3
72	в состоянии	2	3
73	это не	7	3
74	что он	4	3
75	в ее	2	3
76	но это	3	3
77	мы и	2	3
78	в самой	2	3
79	самом деле	3	3
80	не были	2	3
81	в ряду	6	3
82	даже в	2	3
83	к нему	5	3
84	с точки	3	3
85	то что	29	3
86	и их	3	3
87	и прежде	2	3
88	не может	11	3
89	и других	3	3
90	уже не	3	3
91	с другой	2	3
92	друг друга	2	3
93	в других	2	3
94	в более	2	3
95	даже и	3	3
96	в себе	14	3
97	в искусстве	3	3
98	и вообще	2	3
99	нет ничего	3	3
100	и здесь	2	3
101	с ним	5	3
102	и с	4	3
103	в виду	3	3
104	ни к	2	2
105	и многие	2	2
106	к тому	3	2
107	и без	2	2
108	из этих	2	2
109	во многих	2	2
110	значение и	2	2
111	его к	2	2
112	бы ни	2	2
113	можно сказать	4	2
114	и так	3	2
115	нам кажется	2	2
116	да и	4	2
117	мы видим	2	2
118	от него	2	2
119	кроме того	3	2
120	в это	2	2
121	например в	3	2
122	на его	3	2
123	значительной степени	2	2
124	между прочим	3	2
125	от того	4	2
126	хотя и	5	2
127	он не	2	2
128	не вполне	2	2
129	в таких	2	2
130	и для	2	2
131	в большинстве	2	2
132	в процессе	3	2
133	только на	4	2
134	но эта	2	2
135	того что	14	2
136	что не	6	2
137	что мы	10	2
138	на этот	2	2
139	с образами	2	2
140	и по	3	2
141	есть только	5	2
142	в таком	4	2
143	образом в	5	2
144	этот вопрос	3	2
145	их в	3	2
146	которое в	3	2
147	в этих	3	2
148	могут быть	7	2
149	связанная с	3	2
150	это можно	2	2
151	о том	8	2
152	из тех	2	2
153	и это	2	2
154	большинстве случаев	2	2
155	это было	2	2
