N	2gram	Vinokur_Ku_2	VLabPisa
1	таким образом	5	27
2	в этом	18	26
3	и в	23	25
4	и т	39	24
5	не только	20	22
6	может быть	15	21
7	хотя бы	9	20
8	и не	16	19
9	т е	22	17
10	не может	9	17
11	в его	5	15
12	т д	14	15
13	в процессе	3	14
14	прежде всего	8	13
15	в том	19	13
16	этом отношении	3	13
17	в частности	2	12
18	все это	5	12
19	как это	5	12
20	с другой	8	11
21	в силу	7	11
22	не могут	5	10
23	в качестве	8	10
24	к этому	4	9
25	об этом	5	9
26	что в	10	9
27	но и	7	9
28	то же	6	9
29	т п	24	9
30	по словам	2	8
31	все эти	12	8
32	в своем	2	8
33	другой стороны	7	8
34	могут быть	4	8
35	не следует	5	8
36	в году	2	7
37	же в	3	7
38	как и	2	7
39	том что	11	7
40	было бы	15	7
41	в конечном	2	7
42	вместе с	5	7
43	не было	4	7
44	а не	10	7
45	у него	3	6
46	это не	6	6
47	это и	3	6
48	то что	9	6
49	главным образом	3	6
50	в нем	4	6
51	в зависимости	4	6
52	так и	4	6
53	бы и	4	6
54	и его	3	6
55	между тем	6	6
56	в то	4	6
57	в результате	4	5
58	же время	3	5
59	конечном счете	2	5
60	все же	7	5
61	зависимости от	5	5
62	очевидно что	2	5
63	в пределах	4	5
64	связи с	3	5
65	и есть	2	5
66	как бы	4	5
67	один из	5	5
68	в их	2	5
69	приводит к	5	5
70	сказать что	4	5
71	только в	5	5
72	не в	8	5
73	к тому	4	4
74	никогда не	2	4
75	перед нами	4	4
76	что все	5	4
77	что он	5	4
78	можно сказать	4	4
79	в своей	2	4
80	в нашей	4	4
81	в самом	12	4
82	должен быть	5	4
83	как раз	3	4
84	в них	4	4
85	в связи	4	4
86	в статье	3	4
87	вот почему	3	4
88	с ними	2	4
89	в этой	6	4
90	это только	2	4
91	утверждать что	2	4
92	всех этих	3	3
93	с тем	2	3
94	даже и	2	3
95	и от	2	3
96	или меньшей	3	3
97	в конце	4	3
98	п в	3	3
99	мы знаем	4	3
100	у нас	12	3
101	по существу	5	3
102	мы видели	2	3
103	что они	2	3
104	большей или	3	3
105	или в	4	3
106	по поводу	2	3
107	с этим	3	3
108	что не	6	3
109	в виду	3	3
110	что и	3	3
111	например что	2	3
112	именно в	3	3
113	образом в	2	3
114	этот вопрос	6	3
115	этой области	4	3
116	сводится к	3	3
117	того что	3	3
118	и по	3	3
119	так же	4	3
120	с работой	2	3
121	в которых	2	3
122	никак не	3	3
123	точки зрения	14	3
124	она не	2	3
125	всего лишь	3	3
126	не менее	7	2
127	никаких оснований	2	2
128	можно ли	4	2
129	но даже	2	2
130	отличается от	3	2
131	по крайней	6	2
132	не всегда	2	2
133	вовсе не	9	2
134	роль в	2	2
135	по себе	10	2
136	только о	2	2
137	в целях	2	2
138	крайней мере	6	2
139	ли не	2	2
140	ли это	2	2
141	и потому	2	2
142	но не	6	2
143	но для	3	2
144	как у	2	2
145	смысле слова	2	2
146	еще не	5	2
147	в большей	3	2
148	для того	9	2
149	он и	2	2
150	если бы	12	2
151	мы имеем	5	2
152	меньшей степени	3	2
153	в ней	3	2
154	что она	3	2
155	конце концов	3	2
156	и даже	2	2
157	всяком случае	5	2
158	отнюдь не	4	2
159	что для	2	2
160	так называемые	2	2
161	слова не	3	2
162	все они	2	2
163	от того	4	2
164	между прочим	2	2
165	вообще и	2	2
166	а в	3	2
167	в особенности	4	2
168	еще и	2	2
169	с одной	2	2
170	что оно	3	2
171	достоевского и	2	2
172	этой точки	2	2
173	чтобы не	2	2
174	заключается в	2	2
175	эта не	4	2
176	того чтобы	11	2
177	из которых	3	2
178	должны быть	2	2
179	что такое	3	2
180	и для	2	2
181	можно было	9	2
182	в своих	2	2
183	также и	5	2
184	во всяком	5	2
185	также что	2	2
186	хотя и	4	2
187	лишь в	5	2
188	знаем что	3	2
189	он не	3	2
190	говорить о	4	2
191	в другом	2	2
192	ту же	6	2
193	что мы	6	2
194	того или	2	2
195	на это	3	2
196	будто бы	2	2
197	в области	11	2
198	же как	2	2
199	но в	11	2
