N	2gram	Vinokur_Ku_1	VrazhdaK
1	не только	10	9
2	в этом	14	8
3	и что	5	8
4	и в	24	8
5	но и	6	7
6	что в	17	7
7	то что	9	7
8	и все	2	7
9	в котором	3	6
10	в нем	4	6
11	все же	12	6
12	и даже	3	6
13	как и	2	6
14	но в	2	6
15	и с	5	6
16	о нем	2	6
17	то же	8	5
18	не было	3	5
19	и не	12	5
20	между тем	5	5
21	в то	2	5
22	же время	2	5
23	уже в	3	4
24	для нас	2	4
25	как бы	7	4
26	все это	6	4
27	целый ряд	5	4
28	это не	7	4
29	что он	6	4
30	так же	4	4
31	с ним	5	4
32	может быть	13	4
33	при этом	6	4
34	в истории	3	4
35	несмотря на	3	4
36	о том	9	4
37	в ней	6	4
38	в виду	5	4
39	речь идет	2	3
40	я не	2	3
41	с его	4	3
42	связи с	7	3
43	в своем	3	3
44	в связи	3	3
45	т е	38	3
46	на то	4	3
47	в том	30	3
48	и его	5	3
49	том что	21	3
50	и как	2	3
51	тем что	8	3
52	в его	12	3
53	одним из	2	3
54	он не	2	3
55	а с	3	2
56	в своей	2	2
57	и а	2	2
58	из них	4	2
59	не менее	7	2
60	никогда не	2	2
61	вместе с	7	2
62	в них	7	2
63	как раз	8	2
64	не может	7	2
65	а в	5	2
66	тогда как	2	2
67	таким образом	12	2
68	рядом с	5	2
69	в той	5	2
70	уже не	8	2
71	к себе	4	2
72	не мог	2	2
73	и он	3	2
74	с точки	9	2
75	же в	4	2
76	тем более	2	2
77	в этой	3	2
78	что я	2	2
79	и то	3	2
80	точки зрения	14	2
81	в свою	3	2
82	в себе	3	2
83	еще не	5	2
84	в это	2	2
85	о чем	2	2
86	том же	2	2
