N	2gram	Voloshinov_1	Tragedij
1	и в	16	18
2	в этом	9	9
3	не только	7	8
4	и не	4	7
5	и на	4	7
6	и с	8	7
7	может быть	17	7
8	как бы	5	7
9	что он	2	6
10	и его	8	6
11	у него	2	6
12	но в	4	6
13	что это	2	5
14	так и	4	5
15	не может	8	5
16	то же	2	5
17	как и	2	5
18	но и	4	4
19	то что	3	4
20	что в	3	4
21	все это	4	4
22	прежде всего	9	4
23	и все	4	4
24	в нем	4	4
25	и даже	4	4
26	так же	2	4
27	том что	3	4
28	но это	2	4
29	в этой	4	4
30	еще не	5	4
31	один из	2	3
32	с ее	4	3
33	отнюдь не	4	3
34	все эти	5	3
35	и как	3	3
36	в основном	3	3
37	в его	4	3
38	для него	6	3
39	при этом	6	3
40	как это	3	3
41	с ним	2	3
42	не могут	2	2
43	что и	2	2
44	в душе	2	2
45	в частности	2	2
46	ненависть к	2	2
47	если б	3	2
48	с его	7	2
49	отношение к	5	2
50	ни в	5	2
51	ребенка и	3	2
52	в том	3	2
53	и ее	4	2
54	о том	2	2
55	его в	4	2
56	и это	6	2
57	в самом	2	2
58	во сне	2	2
59	он не	2	2
60	в одном	3	2
61	никогда не	2	2
