N	2gram	Bakhtin_Pr_1	VLabPisa
1	таким образом	10	27
2	в этом	15	26
3	и в	38	25
4	и т	14	24
5	не только	9	22
6	может быть	26	21
7	хотя бы	4	20
8	и не	42	19
9	художественного творчества	12	18
10	не может	27	17
11	в его	43	15
12	прежде всего	13	13
13	в том	8	13
14	этом отношении	2	13
15	в частности	2	12
16	все это	3	12
17	как это	2	12
18	с другой	7	11
19	не могут	2	10
20	о том	4	10
21	в художественном	20	10
22	к этому	2	9
23	что в	7	9
24	и др	8	9
25	но и	9	9
26	то же	5	9
27	т п	13	9
28	все эти	5	8
29	в своем	5	8
30	другой стороны	4	8
31	могут быть	5	8
32	не следует	2	8
33	произведения в	5	7
34	как и	7	7
35	том что	3	7
36	было бы	8	7
37	в конечном	4	7
38	отношению к	19	7
39	во всех	11	7
40	творчества в	3	7
41	по отношению	21	7
42	не было	2	7
43	произведения и	2	7
44	а не	5	7
45	это не	5	6
46	художественного произведения	11	6
47	в себе	4	6
48	то что	8	6
49	художественное творчество	7	6
50	том же	2	6
51	в нем	15	6
52	так и	5	6
53	и его	16	6
54	между тем	7	6
55	в то	4	6
56	художественном творчестве	10	6
57	же время	3	5
58	конечном счете	4	5
59	все же	6	5
60	и при	2	5
61	в пределах	6	5
62	связи с	2	5
63	и есть	2	5
64	действительности и	3	5
65	в искусстве	12	5
66	как бы	22	5
67	художника и	5	5
68	в их	10	5
69	приводит к	3	5
70	на основе	6	5
71	сказать что	4	5
72	только в	13	5
73	не в	7	5
74	не является	3	5
75	в плане	7	5
76	произведения как	8	5
77	в единстве	12	4
78	никогда не	5	4
79	их и	2	4
80	в целом	3	4
81	что все	2	4
82	что он	2	4
83	с его	2	4
84	можно сказать	2	4
85	художественном произведении	5	4
86	в ее	4	4
87	в романе	4	4
88	одна из	2	4
89	в своей	7	4
90	в нашей	2	4
91	в самом	7	4
92	должен быть	2	4
93	художественное произведение	8	4
94	в них	5	4
95	в связи	2	4
96	с ними	4	4
97	познания и	30	4
98	и к	3	3
99	и ее	2	3
100	и как	8	3
101	и художественное	2	3
102	и мир	2	3
103	и от	3	3
104	у нас	2	3
105	по существу	2	3
106	но как	2	3
107	или в	2	3
108	по поводу	2	3
109	что не	4	3
110	например в	3	3
111	далеко не	5	3
112	и он	2	3
113	в виду	4	3
114	в котором	2	3
115	нет и	3	3
116	его в	9	3
117	что и	2	3
118	этой области	2	3
119	в значительной	2	3
120	и отдельных	2	3
121	того что	2	3
122	его не	2	3
123	в слове	3	3
124	точки зрения	8	3
125	она не	2	3
126	и художественного	3	3
127	др в	2	3
128	не обходится	2	3
129	том как	2	3
130	не менее	4	2
131	в каждом	2	2
132	отличается от	2	2
133	формы и	5	2
134	не всегда	6	2
135	вовсе не	2	2
136	а как	3	2
137	или иной	2	2
138	от них	2	2
139	и весь	2	2
140	и потому	4	2
141	но не	12	2
142	художественную форму	4	2
143	всех его	4	2
144	смысле слова	2	2
145	еще не	7	2
146	одной стороны	3	2
147	же самое	2	2
148	для того	2	2
149	одной из	3	2
150	если бы	3	2
151	мы имеем	2	2
152	ни одна	2	2
153	ни с	2	2
154	в ней	4	2
155	относится к	4	2
156	и даже	3	2
157	не вполне	2	2
158	и напряжения	2	2
159	отнюдь не	19	2
160	лица и	2	2
161	он может	2	2
162	слова не	3	2
163	все они	5	2
164	искусства не	3	2
165	бы не	2	2
166	а в	6	2
167	в особенности	2	2
168	с одной	3	2
169	что оно	2	2
170	но с	3	2
171	человека в	2	2
172	в словесном	2	2
173	того чтобы	2	2
174	из которых	2	2
175	должны быть	4	2
176	между ними	4	2
177	и для	11	2
178	отметить что	7	2
179	можно было	4	2
180	с другими	3	2
181	в своих	2	2
182	также и	3	2
183	хотя и	3	2
184	лишь в	2	2
185	он не	3	2
186	они не	3	2
187	к его	2	2
188	говорить о	3	2
189	в другом	2	2
190	того или	2	2
191	в чем	2	2
192	в области	11	2
193	но в	4	2
