N	2gram	Losev_Dial_2	FransuaR
1	и в	19	40
2	и его	5	17
3	прежде всего	8	16
4	в этом	8	15
5	мы уже	8	13
6	не только	19	13
7	и не	30	13
8	что в	7	12
9	вовсе не	13	12
10	как и	10	11
11	но и	12	11
12	таким образом	4	10
13	как мы	3	10
14	и все	12	9
15	в сущности	2	9
16	может быть	20	9
17	он не	4	9
18	во время	2	8
19	в том	14	8
20	все эти	2	8
21	и с	5	8
22	но в	2	8
23	в своем	4	7
24	в одном	4	7
25	то же	12	7
26	культуры и	2	7
27	в виду	5	7
28	в этих	3	6
29	же время	5	6
30	в самом	5	6
31	во всех	2	6
32	в своей	8	6
33	в той	3	6
34	связи с	4	6
35	в то	6	6
36	мы видим	2	5
37	как раз	5	5
38	в нем	10	5
39	то что	14	5
40	в связи	4	5
41	не было	3	5
42	а не	16	5
43	в своих	2	5
44	вы не	2	4
45	том что	10	4
46	до сих	2	4
47	было бы	3	4
48	в ней	2	4
49	из них	3	4
50	и потому	5	4
51	даже в	3	4
52	ни в	10	4
53	в мире	2	4
54	жизни и	6	4
55	сих пор	2	4
56	в их	2	4
57	все это	4	4
58	о том	5	4
59	в данном	3	4
60	и даже	14	4
61	также и	2	4
62	в истории	2	4
63	так как	14	4
64	в области	2	4
65	всех этих	3	3
66	в частности	2	3
67	и от	3	3
68	и к	7	3
69	об этом	3	3
70	в ее	4	3
71	но это	7	3
72	в этой	3	3
73	кроме того	3	3
74	еще не	4	3
75	и есть	4	3
76	и следовательно	5	3
77	как бы	14	3
78	что и	5	3
79	вместе с	2	3
80	дело не	2	3
81	во все	2	3
82	так и	10	3
83	как в	2	3
84	и прежде	2	3
85	не может	9	3
86	а в	4	3
87	на самом	2	3
88	мы находим	3	3
89	жизнь в	2	3
90	самом деле	4	3
91	и как	10	3
92	но все	2	3
93	сказать что	10	3
94	между тем	2	3
95	тем что	2	3
96	при этом	4	3
97	же и	9	3
98	одно из	4	3
99	нуждается в	3	3
100	они не	3	3
101	в себе	15	3
102	в другом	4	3
103	только в	5	3
104	но ведь	2	3
105	в конце	2	3
106	их в	2	3
107	не менее	3	2
108	связана с	2	2
109	есть и	6	2
110	уже в	4	2
111	времени и	9	2
112	о чем	3	2
113	в состоянии	2	2
114	хотя бы	4	2
115	с другой	5	2
116	это не	10	2
117	с нею	3	2
118	быть в	4	2
119	что он	6	2
120	и вот	4	2
121	можно сказать	5	2
122	момент в	2	2
123	все же	4	2
124	это и	3	2
125	это есть	8	2
126	даны в	3	2
127	на этом	2	2
128	но не	6	2
129	как известно	2	2
130	конечно не	6	2
131	и если	4	2
132	тут же	4	2
133	например в	2	2
134	на его	2	2
135	к нему	4	2
136	той или	4	2
137	раз в	2	2
138	данном случае	2	2
139	жизни с	2	2
140	как нечто	4	2
141	не раз	2	2
142	в разных	3	2
143	именно в	2	2
144	хотя в	2	2
145	и они	2	2
146	в системе	2	2
147	это вовсе	2	2
148	должны быть	3	2
149	тем же	2	2
150	со всем	2	2
151	потому что	14	2
152	с этим	3	2
153	но он	4	2
154	точки зрения	12	2
155	но как	5	2
156	в один	3	2
157	как он	4	2
158	и это	5	2
159	в которой	2	2
160	такие образы	2	2
