N	2gram	Propp_Isto_2	Psycholo
1	и в	15	38
2	то что	12	35
3	в том	6	25
4	самом деле	2	21
5	что в	12	20
6	может быть	17	19
7	и что	6	18
8	на то	3	16
9	что она	5	16
10	в ней	4	15
11	том что	7	14
12	как бы	6	14
13	и т	19	14
14	потому что	9	14
15	в этой	4	13
16	совершенно ясно	2	13
17	в этом	11	13
18	мы видим	8	12
19	было бы	5	12
20	не только	18	12
21	мы увидим	8	12
22	таким образом	7	12
23	не в	7	12
24	что он	24	11
25	что это	6	10
26	в сущности	2	10
27	то же	10	10
28	и не	11	10
29	того чтобы	2	9
30	увидим что	3	9
31	все же	9	8
32	с тем	9	8
33	перед нами	2	8
34	с этим	5	8
35	в одном	5	8
36	для нас	4	8
37	как и	2	8
38	так что	6	8
39	говорит что	3	8
40	видим что	5	8
41	и то	2	8
42	и это	3	8
43	с другой	2	7
44	а не	5	7
45	мы можем	8	7
46	не может	5	7
47	показать что	2	7
48	что у	2	7
49	а в	12	7
50	мы уже	6	7
51	из них	2	6
52	и здесь	9	6
53	к тому	5	6
54	мы видели	2	6
55	с самого	2	6
56	до сих	6	6
57	она не	5	6
58	один из	8	6
59	и если	2	6
60	в котором	5	6
61	он не	8	6
62	с одной	4	6
63	так как	14	6
64	к чему	2	6
65	как это	3	6
66	и его	3	6
67	и на	4	6
68	в которых	2	6
69	самого начала	2	6
70	о том	3	6
71	я не	2	5
72	одной стороны	3	5
73	вместе с	7	5
74	но и	14	5
75	сих пор	7	5
76	другой стороны	2	5
77	и когда	2	5
78	или в	2	5
79	мы не	3	5
80	в другом	9	5
81	в его	6	5
82	так сказать	2	5
83	в которой	2	5
84	никогда не	15	4
85	что эта	2	4
86	мы могли	2	4
87	в тех	2	4
88	из него	2	4
89	что они	10	4
90	при этом	4	4
91	когда он	3	4
92	и для	2	4
93	во всех	2	4
94	но если	3	4
95	не мог	3	4
96	в нем	7	4
97	что и	6	4
98	ее в	2	4
99	как в	5	4
100	т д	18	4
101	все эти	4	4
102	при помощи	2	4
103	здесь мы	3	4
104	того что	3	4
105	что этот	3	4
106	сказать что	2	4
107	у него	4	4
108	только в	6	4
109	что эти	4	4
110	как будто	3	4
111	одна из	2	4
112	в себе	4	4
113	в виду	2	4
114	дано в	2	3
115	что под	2	3
116	из этих	3	3
117	главным образом	2	3
118	в сборнике	2	3
119	ни в	2	3
120	он был	3	3
121	но это	4	3
122	интересно что	2	3
123	когда она	3	3
124	наряду с	6	3
125	был бы	2	3
126	все это	3	3
127	это только	2	3
128	и только	2	3
129	того как	4	3
130	тем что	4	3
131	состоит в	2	3
132	могла бы	2	3
133	его в	10	3
134	здесь не	2	3
135	но в	6	3
136	но они	4	2
137	он видит	2	2
138	всех этих	3	2
139	и более	2	2
140	видели что	3	2
141	и другие	4	2
142	в этих	11	2
143	смысле этого	2	2
144	в глаза	2	2
145	хотя бы	2	2
146	на самом	2	2
147	этот случай	4	2
148	и вместе	2	2
149	показывает что	4	2
150	и ее	2	2
151	очень часто	4	2
152	и эти	2	2
153	увидим ниже	4	2
154	по существу	2	2
155	в нее	2	2
156	в силу	2	2
157	такой же	2	2
158	что здесь	4	2
159	не могла	2	2
160	здесь в	2	2
161	и может	2	2
162	и часто	2	2
163	они не	4	2
164	мы в	2	2
165	например в	2	2
166	должен был	3	2
167	но он	4	2
168	и дает	2	2
169	к ней	2	2
170	говорит если	2	2
171	то это	6	2
172	с ее	2	2
173	дело не	4	2
174	так же	13	2
175	в одной	4	2
176	а с	2	2
177	должны были	8	2
178	не просто	2	2
179	мы рассмотрим	2	2
180	и наконец	5	2
181	и по	2	2
182	той же	2	2
183	ясно и	2	2
184	в качестве	3	2
185	их в	2	2
186	он в	3	2
187	одно из	2	2
188	эти слова	3	2
189	к себе	2	2
190	и ничего	2	2
191	представляет собой	5	2
192	в русской	5	2
193	представляют собой	3	2
194	когда мы	2	2
195	заметить что	2	2
196	к этой	4	2
197	ничего не	7	2
198	в эту	2	2
