N	2gram	Bakhtin_Pr_3	Poddanst
1	не только	10	17
2	и в	34	14
3	и не	29	12
4	в отношении	9	10
5	в этом	16	10
6	то же	14	9
7	в том	3	9
8	но в	16	9
9	хотя бы	5	8
10	в пределах	6	8
11	же время	12	7
12	в то	12	7
13	только в	6	7
14	но и	12	6
15	в ней	3	6
16	было бы	2	6
17	с другой	4	5
18	а я	10	5
19	не в	9	5
20	в которых	2	5
21	отношении к	7	5
22	может быть	19	5
23	в котором	3	4
24	то что	11	4
25	что в	7	4
26	если бы	4	4
27	в своем	2	4
28	не может	19	4
29	по себе	3	4
30	и к	12	4
31	а в	5	4
32	том что	3	4
33	мы должны	5	4
34	и если	2	4
35	как бы	27	4
36	и потому	2	4
37	в нем	19	3
38	и т	8	3
39	с тем	5	3
40	и без	2	3
41	столь же	2	3
42	это не	5	3
43	т е	12	3
44	прежде всего	15	3
45	с точки	4	3
46	сводится к	3	3
47	и как	3	3
48	с ними	6	3
49	между тем	3	3
50	но не	4	3
51	точки зрения	8	3
52	в себе	6	3
53	тот же	2	3
54	потому что	12	3
55	хотя и	3	3
56	я и	2	3
57	не менее	3	2
58	т а	2	2
59	в мире	4	2
60	во всех	2	2
61	отнюдь не	2	2
62	друг другу	4	2
63	в них	2	2
64	все это	16	2
65	как раз	4	2
66	с этим	2	2
67	в жизни	2	2
68	еще более	2	2
69	и вот	5	2
70	было в	2	2
71	а не	9	2
72	того что	5	2
73	к чему	2	2
74	точек зрения	2	2
75	должно быть	3	2
76	в ее	3	2
77	как на	2	2
78	говорить о	3	2
79	и пусть	2	2
80	в виде	4	2
81	не было	2	2
82	в начале	4	2
83	из них	5	2
84	в общем	4	2
85	например в	2	2
86	и это	4	2
87	да и	4	2
88	не о	4	2
89	в его	22	2
90	и с	15	2
