N	2gram	Vinokur_Ku_1	KFilosof
1	может быть	13	43
2	в его	12	39
3	в нем	4	31
4	не может	7	27
5	и не	12	26
6	по отношению	8	25
7	и в	24	22
8	в котором	3	21
9	отношению к	9	21
10	в себе	3	21
11	не есть	4	19
12	а не	8	17
13	и его	5	17
14	только в	11	16
15	точки зрения	14	13
16	в этом	14	13
17	ни в	2	12
18	но не	5	12
19	все эти	6	11
20	в своей	2	11
21	не в	11	11
22	в своем	3	10
23	это не	7	10
24	все это	6	10
25	от себя	2	10
26	с точки	9	10
27	и есть	2	9
28	в целом	4	9
29	но и	6	9
30	в их	3	9
31	как бы	7	9
32	и все	2	9
33	и для	2	9
34	не было	3	8
35	лишь в	2	8
36	если бы	9	8
37	было бы	15	8
38	со стороны	4	8
39	и здесь	3	7
40	вовсе не	10	7
41	конечно не	2	7
42	должен быть	4	7
43	что и	4	7
44	то что	9	7
45	я не	2	6
46	в смысле	2	6
47	в том	30	6
48	смысл и	2	6
49	он не	2	6
50	уже не	8	6
51	никогда не	2	5
52	хотя бы	10	5
53	то же	8	5
54	но все	2	5
55	в контексте	2	5
56	именно в	6	5
57	не имеет	2	5
58	должно быть	3	5
59	но ведь	2	5
60	с ним	5	5
61	но в	2	5
62	как и	2	5
63	что я	2	5
64	есть лишь	3	5
65	не только	10	5
66	все же	12	5
67	мы имеем	6	5
68	там где	4	5
69	что в	17	4
70	для нас	2	4
71	при этом	6	4
72	с ними	4	4
73	между тем	5	4
74	в одном	3	4
75	нисколько не	3	4
76	быть в	2	4
77	том что	21	4
78	о нем	2	4
79	а в	5	4
80	тем самым	4	4
81	в каком	2	4
82	бы и	2	3
83	должна быть	3	3
84	что это	5	3
85	не менее	7	3
86	в каждом	2	3
87	смысл в	2	3
88	целом и	2	3
89	лишь как	2	3
90	в свою	3	3
91	до конца	2	3
92	и пр	15	3
93	на язык	4	3
94	в виду	5	3
95	себе и	2	3
96	был бы	2	3
97	и тем	2	3
98	меня и	3	3
99	того что	9	3
100	рядом с	5	3
101	и на	4	3
102	в ней	6	3
103	в то	2	3
104	того или	4	3
105	о том	9	3
106	тогда когда	6	3
107	этом смысле	3	3
108	ясно что	3	3
109	или иного	3	3
110	еще не	5	3
111	в современной	2	3
112	на самом	2	3
113	самом деле	9	3
114	для того	16	3
115	что не	5	3
116	тем что	8	3
117	здесь не	3	3
118	ничего не	2	3
119	а с	3	2
120	можно ли	2	2
121	чтобы дать	2	2
122	прежде всего	9	2
123	вопрос о	2	2
124	содержание и	5	2
125	его к	3	2
126	или иной	3	2
127	тем не	4	2
128	и как	2	2
129	это есть	2	2
130	соответствии с	3	2
131	же время	2	2
132	и мы	2	2
133	другое дело	2	2
134	по себе	2	2
135	тому что	3	2
136	для этого	3	2
137	потому что	23	2
138	может иметь	2	2
139	к себе	4	2
140	и под	2	2
141	а это	3	2
142	были бы	2	2
143	с его	4	2
144	и то	3	2
145	с тем	5	2
146	отсюда следует	2	2
147	что он	6	2
148	и того	2	2
149	в соответствии	3	2
150	в качестве	7	2
151	ли это	2	2
152	тот же	2	2
153	и может	3	2
154	в это	2	2
155	и потому	4	2
156	этого слова	3	2
157	и эти	3	2
158	дело не	2	2
159	оно не	3	2
160	и именно	2	2
161	так и	7	2
162	как в	4	2
163	это только	3	2
164	если не	3	2
165	это и	4	2
166	сводится к	3	2
167	того чтобы	17	2
168	в данном	4	2
169	от этого	2	2
170	чтобы быть	2	2
171	в этой	3	2
172	не потому	5	2
173	в области	7	2
