N	2gram	Vinokur_Vv_1	Narrotol
1	не только	21	26
2	а не	3	17
3	представляет собой	12	16
4	но и	5	15
5	тогда как	2	15
6	в том	31	14
7	при этом	3	14
8	в качестве	7	14
9	и не	13	14
10	том что	26	13
11	и в	27	13
12	в этом	34	13
13	состоит в	2	12
14	такого рода	2	12
15	в частности	3	11
16	только в	13	11
17	может быть	24	10
18	в данном	11	10
19	своего рода	3	9
20	к тому	4	9
21	а в	5	9
22	то что	17	8
23	в себе	4	8
24	в тексте	4	8
25	не может	13	8
26	не в	8	8
27	никогда не	3	6
28	в своем	3	6
29	прежде всего	8	6
30	можно сказать	3	6
31	того что	12	6
32	в его	10	6
33	данном случае	5	6
34	со стороны	12	6
35	все же	8	6
36	как бы	5	6
37	а также	3	6
38	ничего не	2	6
39	но в	10	6
40	точки зрения	7	5
41	не столько	2	5
42	тем не	8	5
43	что он	4	5
44	одной стороны	4	5
45	хотя и	3	5
46	в котором	4	5
47	и тем	5	5
48	в нем	13	5
49	отношению к	4	5
50	в форме	2	5
51	по отношению	4	5
52	в отличие	3	5
53	таким образом	19	5
54	с одной	4	5
55	в той	7	5
56	с другой	8	5
57	на протяжении	2	5
58	отличие от	3	5
59	в то	5	5
60	о том	15	5
61	ответ на	3	5
62	что это	3	4
63	не менее	8	4
64	если бы	2	4
65	в конце	3	4
66	об этом	5	4
67	как и	5	4
68	времени и	4	4
69	что в	11	4
70	и уже	3	4
71	не к	2	4
72	жизни и	2	4
73	в своей	4	4
74	в ее	11	4
75	то же	8	4
76	в какой	4	4
77	уже не	5	4
78	истории в	2	4
79	в силу	3	4
80	в другом	3	4
81	в этой	3	4
82	и т.д	4	4
83	как это	5	4
84	в известном	3	3
85	а как	3	3
86	тому что	2	3
87	мы имеем	3	3
88	это не	8	3
89	представить себе	5	3
90	большей части	2	3
91	о которой	2	3
92	да и	4	3
93	и того	2	3
94	в соответствии	2	3
95	соответствии с	2	3
96	одна из	2	3
97	о котором	8	3
98	но не	7	3
99	же время	5	3
100	и сам	2	3
101	известном смысле	3	3
102	как раз	4	3
103	один из	6	3
104	в целом	5	3
105	на том	3	3
106	внимание на	4	3
107	все эти	3	3
108	самом деле	6	3
109	того чтобы	21	3
110	и даже	5	3
111	и для	4	3
112	и его	5	3
113	с этой	4	3
114	этом отношении	3	3
115	не следует	2	3
116	сказать что	5	3
117	между тем	8	3
118	дело с	6	2
119	в принципе	2	2
120	он сам	3	2
121	зависит от	3	2
122	же как	3	2
123	о чем	4	2
124	должен был	4	2
125	одно из	5	2
126	однако в	3	2
127	о них	2	2
128	может оказаться	3	2
129	хотя бы	5	2
130	из этих	5	2
131	точно так	2	2
132	но также	14	2
133	как уже	2	2
134	вовсе не	6	2
135	из наиболее	4	2
136	той мере	4	2
137	в строгом	3	2
138	говорит о	3	2
139	только по	3	2
140	и т	43	2
141	в начале	3	2
142	тем более	2	2
143	по своему	5	2
144	как о	4	2
145	должна быть	2	2
146	что с	3	2
147	еще не	4	2
148	было бы	5	2
149	во второй	3	2
150	себе и	2	2
151	своей природе	3	2
152	в самом	12	2
153	несмотря на	2	2
154	в центре	4	2
155	может служить	3	2
156	текста и	3	2
157	в обоих	2	2
158	что она	3	2
159	не вполне	4	2
160	однако не	4	2
161	но зато	2	2
162	что и	3	2
163	себя в	2	2
164	xix в	12	2
165	только на	3	2
166	именно в	8	2
167	у нас	2	2
168	в течение	5	2
169	и что	4	2
170	только что	4	2
171	с точки	2	2
172	не имеет	4	2
173	по его	2	2
174	так же	3	2
175	как на	11	2
176	той же	4	2
177	мы не	2	2
178	можно было	7	2
179	или иначе	4	2
180	в чем	4	2
181	в результате	3	2
182	в ней	3	2
183	в виде	4	2
184	мере в	4	2
185	в своих	2	2
186	т п	5	2
187	говорить о	3	2
188	представляют собой	6	2
189	как он	6	2
190	здесь не	2	2
191	в каждой	2	2
192	потому что	14	2
193	в области	4	2
194	видит в	4	2
