N	2gram	Bakhtin_fo_1	Problemy
1	и в	50	43
2	и не	14	29
3	может быть	11	23
4	как бы	2	22
5	не может	6	18
6	в пределах	5	16
7	но и	8	14
8	как и	8	14
9	и т	8	13
10	точки зрения	5	13
11	в этом	25	13
12	в нем	24	12
13	в одном	3	12
14	слова и	2	12
15	не в	5	11
16	по себе	2	11
17	не только	9	11
18	прежде всего	15	10
19	и на	8	10
20	но в	10	10
21	в его	13	10
22	как мы	14	10
23	никогда не	2	9
24	еще не	5	9
25	в сущности	3	9
26	он не	5	9
27	т п	8	9
28	с самим	5	8
29	для него	2	8
30	лишь в	6	8
31	то же	11	8
32	с точки	2	8
33	и его	16	8
34	или в	3	8
35	до сих	3	7
36	в самом	8	7
37	к себе	4	7
38	в то	9	7
39	то что	6	7
40	сих пор	3	7
41	а не	3	7
42	в этих	3	6
43	в том	9	6
44	при этом	3	6
45	в котором	4	6
46	и все	6	6
47	у него	6	6
48	не как	2	6
49	здесь не	4	6
50	так сказать	7	6
51	да и	3	5
52	же время	9	5
53	хотя и	3	5
54	все это	4	5
55	по отношению	3	5
56	таким образом	11	5
57	все эти	9	5
58	а в	3	5
59	рядом с	2	5
60	и с	4	5
61	самим собою	3	5
62	к другому	2	5
63	на фоне	3	5
64	вовсе не	13	5
65	но не	5	5
66	было бы	2	5
67	отношению к	5	5
68	в той	4	5
69	в себе	3	5
70	героя и	7	5
71	не могут	3	4
72	что в	5	4
73	в своем	4	4
74	с другой	2	4
75	к тому	3	4
76	в самой	2	4
77	до конца	4	4
78	и нет	2	4
79	себе и	3	4
80	в результате	6	4
81	их в	3	4
82	же и	2	4
83	но он	2	4
84	человека в	17	4
85	так как	6	4
86	то есть	33	4
87	или как	4	4
88	а как	3	4
89	с его	9	4
90	в них	4	4
91	более того	3	4
92	совершенно не	2	4
93	в своей	2	4
94	том же	2	4
95	и до	5	4
96	во всех	6	4
97	в отличие	2	4
98	себе самому	4	4
99	там где	2	4
100	между ними	3	4
101	мы не	3	4
102	как раз	13	4
103	только в	4	4
104	далеко не	2	4
105	и это	4	4
106	отличие от	2	4
107	мы будем	2	3
108	себя и	3	3
109	в отношении	3	3
110	это не	6	3
111	или иной	2	3
112	тому же	2	3
113	есть в	2	3
114	о своей	2	3
115	кроме того	4	3
116	но для	2	3
117	и следовательно	4	3
118	той или	2	3
119	в виду	3	3
120	здесь нет	3	3
121	уже говорили	3	3
122	и их	8	3
123	в их	6	3
124	того и	2	3
125	в одно	3	3
126	и даже	2	3
127	самим собой	2	3
128	во всем	2	3
129	его в	3	3
130	с ним	2	3
131	в жизни	6	3
132	в романах	2	3
133	если бы	5	3
134	не знает	3	3
135	стороны и	2	3
136	в различных	2	3
137	и к	2	3
138	в романе	32	3
139	по существу	12	3
140	того же	8	3
141	здесь в	2	3
142	со всеми	3	3
143	мы уже	11	3
144	что и	3	3
145	все же	6	3
146	так и	12	3
147	только на	3	3
148	уже не	2	3
149	также и	2	3
150	и для	4	3
151	той же	2	3
152	ничего не	9	3
153	тем что	2	3
154	могут быть	5	3
155	и ее	3	3
156	например у	3	2
157	уже в	2	2
158	но на	4	2
159	его и	2	2
160	в конце	9	2
161	человека и	11	2
162	в образе	5	2
163	была бы	2	2
164	вопрос о	2	2
165	как человек	4	2
166	нет но	2	2
167	для нас	2	2
168	ни в	8	2
169	как если	2	2
170	и как	10	2
171	своей жизни	4	2
172	но все	5	2
173	мы и	4	2
174	лишь как	2	2
175	времени и	10	2
176	в глаза	2	2
177	например в	6	2
178	европейского романа	4	2
179	и является	2	2
180	ту же	2	2
181	время как	5	2
182	и др	9	2
183	романа но	4	2
184	в целом	2	2
185	отношение к	2	2
186	значение в	5	2
187	в форме	3	2
188	отношения к	3	2
189	но эта	3	2
190	образ человека	6	2
191	того что	2	2
192	так же	6	2
193	всего этого	2	2
194	не входит	2	2
195	друг на	2	2
196	в которых	2	2
197	сказать что	3	2
198	именно как	4	2
199	и еще	2	2
200	на друга	2	2
201	как он	2	2
202	во всяком	3	2
203	человек и	2	2
204	имеется и	2	2
205	вне его	2	2
206	друг к	2	2
207	между собой	4	2
208	в стороне	2	2
209	с этим	6	2
210	раз и	2	2
211	что было	3	2
212	об этом	2	2
213	но конечно	2	2
214	его жизни	8	2
215	авантюрный роман	2	2
216	одна из	2	2
217	то время	4	2
218	одно и	3	2
219	с их	2	2
220	не входят	2	2
221	конечно не	4	2
222	не место	2	2
223	на себя	2	2
224	на материале	2	2
225	на почве	2	2
226	для себя	7	2
227	он только	2	2
228	дело в	2	2
229	к другу	2	2
230	в процессе	4	2
231	быть и	2	2
232	ее в	2	2
233	момент его	2	2
234	как в	6	2
235	всем этим	3	2
236	входит в	3	2
237	еще более	3	2
238	если мы	2	2
239	том что	4	2
240	что не	3	2
241	и эта	2	2
242	хотя бы	2	2
243	авантюрного романа	3	2
244	в таком	3	2
245	и то	4	2
246	автора и	2	2
247	все его	3	2
