N	3gram	Bakhtin_Pr_2	Marksizm
1	с точки зрения	8	20
2	не может быть	4	13
3	в самом деле	4	9
4	и не может	4	9
5	до сих пор	7	8
6	в настоящее время	2	6
7	в отличие от	4	5
8	с другой стороны	3	5
9	в отношении к	2	4
10	в большинстве случаев	8	3
11	может быть и	2	3
12	в то же	5	3
13	на этот вопрос	2	3
14	то же время	5	3
15	в конце концов	2	3
16	но все же	2	3
17	в узком смысле	2	2
18	но при этом	2	2
19	в пределах одного	9	2
20	можно было бы	3	2
21	тем не менее	2	2
22	как если бы	2	2
23	сама по себе	4	2
24	но в то	3	2
25	в этом смысле	2	2
26	к одному знаменателю	2	2
27	по отношению к	5	2
28	как и все	4	2
