N	3gram	Bakhtin_Pr_2	Myshleni
1	по отношению к	8	12
2	в том что	4	11
3	с точки зрения	9	9
4	так же как	3	7
5	друг с другом	2	7
6	по сравнению с	2	5
7	можно сказать что	2	5
8	в этом отношении	2	5
9	о том что	3	4
10	друг от друга	2	4
11	сама по себе	5	4
12	этой точки зрения	2	4
13	подобно тому как	2	4
14	до сих пор	2	3
15	не может быть	6	3
16	в свое время	2	2
17	в самом деле	3	2
18	и не может	2	2
19	само по себе	2	2
20	в зависимости от	3	2
21	как мы видели	3	2
22	таким образом в	2	2
23	но все же	2	2
