N	2gram	Losev_Vesc_1	Komedia
1	и в	21	26
2	и не	29	14
3	к тому	3	12
4	так и	3	12
5	и его	2	12
6	в том	8	11
7	может быть	16	11
8	но и	18	10
9	в этом	4	10
10	что в	9	9
11	том что	8	9
12	если бы	5	9
13	ясно что	8	8
14	было бы	14	8
15	из них	4	7
16	не только	36	7
17	что и	3	7
18	в своем	6	6
19	то что	27	6
20	еще не	8	6
21	в нем	2	6
22	того чтобы	3	6
23	потому что	16	6
24	и здесь	4	6
25	в то	3	6
26	о том	6	6
27	таким образом	8	6
28	с тем	5	5
29	независимо от	5	5
30	а затем	2	5
31	один из	3	5
32	с этим	3	5
33	для того	2	5
34	так что	5	5
35	и с	8	5
36	не менее	3	4
37	и новой	2	4
38	у него	2	4
39	больше того	4	4
40	тому что	2	4
41	что у	5	4
42	и от	3	4
43	прежде всего	9	4
44	как мы	4	4
45	как и	8	4
46	хотя и	4	4
47	в его	2	4
48	все же	4	4
49	в самом	9	4
50	в последние	2	4
51	и для	9	4
52	в в	2	4
53	по имени	6	4
54	можно было	2	4
55	точки зрения	5	4
56	только в	14	4
57	что это	13	4
58	так как	7	4
59	как это	2	4
60	его в	2	4
61	так или	4	3
62	с этой	4	3
63	что на	2	3
64	но если	8	3
65	жизни и	2	3
66	но не	5	3
67	того же	5	3
68	во всех	2	3
69	для нас	2	3
70	да и	3	3
71	в ней	12	3
72	в котором	3	3
73	себя в	10	3
74	в своей	5	3
75	и их	7	3
76	даже не	7	3
77	все это	5	3
78	той же	2	3
79	то же	6	3
80	в самой	2	3
81	а в	4	3
82	или в	2	3
83	или иначе	4	3
84	тем что	2	3
85	не может	17	3
86	в этой	3	3
87	могла бы	3	3
88	но в	5	3
89	мы можем	4	3
90	ни было	4	2
91	из самых	2	2
92	и есть	26	2
93	отнюдь не	5	2
94	то ни	4	2
95	с другой	6	2
96	это не	5	2
97	в конце	2	2
98	в одном	2	2
99	затем и	2	2
100	с собой	2	2
101	вовсе не	10	2
102	то это	3	2
103	об этом	3	2
104	в ее	7	2
105	не в	5	2
106	из его	2	2
107	в силу	3	2
108	одна из	5	2
109	тот же	3	2
110	на этом	2	2
111	бы то	4	2
112	одной стороны	3	2
113	в действительности	7	2
114	и если	2	2
115	каждой из	2	2
116	от того	3	2
117	что из	2	2
118	как бы	12	2
119	от ее	6	2
120	не вполне	2	2
121	всяком случае	2	2
122	хотя бы	6	2
123	и т	19	2
124	и это	14	2
125	со стороны	5	2
126	что она	15	2
127	если не	3	2
128	с одной	3	2
129	еще более	2	2
130	мы находим	2	2
131	в той	3	2
132	и что	15	2
133	от всех	4	2
134	и у	3	2
135	бы и	5	2
136	мы не	6	2
137	с ними	3	2
138	тут же	2	2
139	в философии	5	2
140	во всяком	3	2
141	от этого	2	2
142	и во	3	2
143	и ее	18	2
144	и еще	2	2
145	говорить о	6	2
146	на это	4	2
147	и все	5	2
148	в первом	2	2
149	бы в	5	2
150	мы имеем	7	2
151	в виду	2	2
