N	2gram	Savitsky_P_1	Dialekti
1	и не	12	30
2	по себе	4	25
3	т е	3	25
4	и т	3	21
5	и в	14	18
6	может быть	5	17
7	точки зрения	3	17
8	в нем	3	16
9	и есть	2	16
10	а не	2	14
11	потому что	3	14
12	что в	4	13
13	то что	4	13
14	не только	17	13
15	если бы	4	12
16	было бы	6	12
17	с точки	3	12
18	в этом	10	12
19	не может	4	12
20	как бы	4	11
21	все это	2	11
22	в себе	3	11
23	прежде всего	3	10
24	есть нечто	2	10
25	то же	9	10
26	отнюдь не	2	9
27	это не	3	9
28	в том	9	9
29	том что	4	9
30	и как	3	7
31	но и	6	7
32	с другой	5	6
33	да и	2	6
34	хотя бы	8	6
35	никак не	2	6
36	не было	2	6
37	и вот	2	6
38	не в	5	6
39	в то	7	6
40	но в	9	6
41	в своем	4	5
42	и мы	2	5
43	и пр	5	5
44	она есть	3	5
45	в отношении	10	5
46	а в	4	5
47	и с	2	5
48	говорить о	2	5
49	мы должны	4	5
50	быть может	6	4
51	но не	3	4
52	же время	7	4
53	хотя и	3	4
54	не о	2	4
55	в котором	4	4
56	как раз	2	4
57	может и	2	4
58	в них	2	3
59	думать что	2	3
60	стороны и	2	3
61	есть не	2	3
62	точек зрения	2	3
63	отношении к	5	3
64	и о	5	3
65	в его	2	3
66	и потому	4	3
67	если в	2	3
68	друг другу	2	3
69	отношения к	2	3
70	еще более	2	3
71	должно быть	2	3
72	в ней	6	3
73	могут быть	3	3
74	только в	7	3
75	не менее	2	2
76	того что	2	2
77	именно в	2	2
78	тех кто	4	2
79	в виде	2	2
80	в частности	2	2
81	в качестве	9	2
82	в мире	2	2
83	но к	2	2
84	не нужно	2	2
85	одной стороны	3	2
86	для того	3	2
87	вслед за	3	2
88	по сравнению	2	2
89	как факт	2	2
90	помнить что	2	2
91	тем более	2	2
92	реальность и	2	2
93	из них	2	2
94	которое в	2	2
95	со стороны	2	2
96	она ни	2	2
97	с этим	2	2
98	с одной	3	2
99	с ними	3	2
100	именно как	2	2
101	в которых	5	2
102	и это	2	2
103	в полной	2	2
