N	2gram	Tiupa_Hudo_2	Stilisti
1	и в	28	42
2	как бы	5	27
3	не только	11	27
4	прежде всего	3	22
5	и т.д	2	20
6	хотя бы	2	17
7	но и	9	15
8	то же	6	15
9	и не	18	14
10	может быть	8	12
11	не может	4	12
12	точки зрения	2	11
13	как и	11	11
14	мы уже	3	11
15	отнюдь не	2	10
16	как мы	2	10
17	в этом	13	10
18	при этом	11	9
19	в то	6	9
20	то что	6	9
21	для того	4	9
22	все же	2	8
23	в ней	3	8
24	что же	2	8
25	тем самым	2	8
26	в себе	9	8
27	и это	3	8
28	никогда не	5	7
29	и от	2	7
30	же время	4	7
31	и на	3	7
32	потому что	2	7
33	с его	5	7
34	было бы	3	7
35	а не	14	7
36	того чтобы	4	7
37	и его	5	7
38	только в	4	7
39	ничего не	5	7
40	или иной	2	6
41	не в	13	6
42	в этой	5	6
43	точкой зрения	2	6
44	в нем	3	6
45	так и	8	6
46	в нашем	2	5
47	тому что	4	5
48	своей жизни	4	5
49	не является	2	5
50	те же	2	5
51	а в	6	5
52	и с	6	5
53	же самое	3	5
54	того или	2	5
55	как это	7	5
56	или иного	2	5
57	в его	11	5
58	вместе с	2	5
59	с точки	2	5
60	той же	2	5
61	у которого	2	5
62	все время	3	4
63	что это	5	4
64	можно сказать	6	4
65	к тому	7	4
66	в качестве	4	4
67	в самом	5	4
68	один из	2	4
69	все это	3	4
70	так же	3	4
71	о том	12	4
72	его в	2	4
73	но в	2	4
74	если бы	6	4
75	и к	2	4
76	себя в	8	4
77	на него	3	4
78	а с	3	4
79	уже не	10	4
80	самом деле	3	4
81	можно было	3	4
82	и то	2	4
83	как только	3	3
84	его и	2	3
85	что у	3	3
86	перед нами	11	3
87	это не	6	3
88	для нас	3	3
89	и эта	2	3
90	в котором	6	3
91	и уже	4	3
92	из них	2	3
93	жизни и	6	3
94	во второй	2	3
95	лишь в	2	3
96	нуждается в	2	3
97	сказать что	2	3
98	та же	2	3
99	теперь в	2	3
100	что было	3	3
101	и все	7	3
102	в одном	3	3
103	но при	3	3
104	об этом	7	3
105	в ее	18	3
106	том что	19	3
107	еще не	3	3
108	о своем	4	3
109	что и	4	3
110	не будет	2	3
111	да и	5	3
112	только на	5	3
113	между ними	2	3
114	и для	2	3
115	роль в	2	3
116	внутренней жизни	4	3
117	и внешней	2	3
118	ответ на	2	3
119	в голову	2	2
120	место в	2	2
121	в душе	8	2
122	бы и	4	2
123	в частности	7	2
124	человека и	3	2
125	человека в	4	2
126	как уже	2	2
127	в мире	7	2
128	в том	15	2
129	тому же	2	2
130	для него	5	2
131	и сам	5	2
132	несмотря на	3	2
133	не с	2	2
134	внутри себя	2	2
135	в этих	3	2
136	отношение к	2	2
137	о них	3	2
138	не было	6	2
139	еще и	2	2
140	теперь же	3	2
141	нет ничего	2	2
142	я и	6	2
143	в жизни	8	2
144	в основе	2	2
145	однако в	2	2
146	себе в	2	2
147	с собой	2	2
148	что он	8	2
149	ли он	2	2
150	но не	4	2
151	одной из	3	2
152	гораздо более	2	2
153	зрения на	2	2
154	в своей	6	2
155	сих пор	2	2
156	как в	5	2
157	здесь не	2	2
158	бы не	3	2
159	на наш	4	2
160	и он	3	2
161	к нему	3	2
162	с ним	7	2
163	или в	3	2
164	тем что	6	2
165	ни слова	3	2
