N	2gram	Berdyaev_N_1	Tragedij
1	и в	16	18
2	в этом	7	9
3	не только	5	8
4	и не	11	7
5	и на	2	7
6	и с	2	7
7	может быть	7	7
8	у него	2	6
9	но в	2	6
10	к жизни	3	5
11	так и	2	5
12	это не	4	5
13	не может	16	5
14	как и	7	5
15	в то	2	5
16	но и	3	4
17	то что	4	4
18	что в	9	4
19	все это	5	4
20	я не	2	4
21	прежде всего	4	4
22	и все	4	4
23	в нем	5	4
24	и даже	2	4
25	так же	2	4
26	том что	2	4
27	но это	6	4
28	и что	2	4
29	в себе	2	4
30	еще не	3	4
31	с ее	5	3
32	как в	3	3
33	все эти	2	3
34	должно быть	4	3
35	как будто	2	3
36	в мире	3	3
37	как это	2	3
38	не имеет	4	2
39	права на	2	2
40	который в	2	2
41	что все	2	2
42	вопрос о	3	2
43	уже не	2	2
44	с его	6	2
45	не человек	2	2
46	к тому	3	2
47	времени в	2	2
48	ни в	6	2
49	в ее	3	2
50	в том	8	2
51	не в	6	2
52	в русском	2	2
53	одна из	2	2
54	потому что	4	2
55	с тем	3	2
56	о том	4	2
57	и это	2	2
58	он не	8	2
59	что она	2	2
60	никогда не	6	2
