N	2gram	Bakhtin_KF_1	Literetu
1	и не	26	22
2	и в	24	16
3	в мире	6	16
4	при этом	4	15
5	не только	5	14
6	но и	9	14
7	в этом	14	14
8	а не	17	12
9	то что	7	12
10	может быть	45	12
11	в том	6	12
12	не в	12	10
13	я и	2	10
14	то же	5	9
15	так и	2	9
16	того что	3	9
17	в то	3	9
18	в жизни	2	8
19	том что	4	8
20	не может	27	8
21	к себе	2	8
22	в этой	2	8
23	как бы	9	8
24	в своей	10	7
25	же время	2	7
26	себя в	8	7
27	со стороны	7	7
28	тем самым	4	7
29	точки зрения	12	7
30	только в	16	7
31	еще не	4	6
32	в его	40	6
33	и его	17	6
34	в себе	21	6
35	в другом	3	6
36	о том	3	6
37	в качестве	2	5
38	это не	10	5
39	что он	2	5
40	в ее	16	5
41	как и	5	5
42	соответствии с	2	5
43	лишь в	8	5
44	в целом	10	5
45	как в	2	5
46	а в	4	5
47	именно в	5	5
48	в основе	5	5
49	что я	5	5
50	место в	5	4
51	но не	12	4
52	никогда не	5	4
53	до конца	3	4
54	и для	9	4
55	отношению к	22	4
56	по отношению	26	4
57	жизни в	5	4
58	входит в	3	4
59	должно быть	6	4
60	в данном	2	4
61	в одном	4	4
62	ни к	2	3
63	в единстве	7	3
64	отнюдь не	6	3
65	прежде всего	2	3
66	в соответствии	2	3
67	и как	2	3
68	мира в	6	3
69	совершенно не	6	3
70	и тем	3	3
71	для которого	3	3
72	с ее	2	3
73	жизни и	8	3
74	бы и	3	3
75	уже не	7	3
76	самом деле	3	3
77	с точки	9	3
78	потому что	2	3
79	и жизни	4	3
80	там где	5	3
81	едва ли	2	3
82	в области	2	3
83	но в	5	3
84	между тем	4	3
85	а лишь	3	2
86	ни было	4	2
87	сознания и	3	2
88	что в	4	2
89	не менее	3	2
90	если бы	8	2
91	то ни	2	2
92	оно не	2	2
93	не как	4	2
94	я не	6	2
95	к этому	2	2
96	вследствие этого	2	2
97	вопрос о	2	2
98	по себе	2	2
99	или иной	2	2
100	в нем	28	2
101	и ее	2	2
102	не я	3	2
103	а по	2	2
104	в свою	3	2
105	для него	8	2
106	было бы	8	2
107	со всеми	2	2
108	что не	3	2
109	во всех	11	2
110	не могу	3	2
111	от себя	10	2
112	той или	3	2
113	о нем	4	2
114	себя и	2	2
115	для себя	5	2
116	один из	2	2
117	что и	7	2
118	все же	5	2
119	бы то	2	2
120	отношение к	5	2
121	бытия в	5	2
122	в ту	2	2
123	во всей	4	2
124	и только	6	2
125	быть не	2	2
126	если не	2	2
127	целом и	3	2
128	того чтобы	2	2
129	для того	3	2
130	действительности в	2	2
131	в принципе	2	2
132	жизни как	5	2
133	с ними	3	2
134	в своих	3	2
135	и на	3	2
136	быть только	8	2
137	тем что	3	2
138	он и	2	2
139	не знает	5	2
140	ответственность за	2	2
141	его в	5	2
142	и потому	2	2
143	здесь не	3	2
144	мира и	4	2
145	жизнь как	6	2
146	для меня	20	2
