N	2gram	Potebnia_M_3	SlovoVZh
1	не может	6	16
2	точки зрения	2	14
3	может быть	28	14
4	и его	4	13
5	как бы	3	13
6	таким образом	14	12
7	и в	30	12
8	отношению к	5	11
9	по отношению	5	11
10	и не	15	10
11	если бы	12	9
12	так как	13	9
13	прежде всего	3	8
14	художественного произведения	5	7
15	для нас	20	7
16	сказать что	5	7
17	в нем	9	6
18	при этом	3	6
19	в том	32	6
20	только в	21	6
21	слова и	5	6
22	к содержанию	3	6
23	в ней	8	6
24	то что	18	5
25	а не	15	5
26	можно сказать	3	5
27	то же	23	5
28	как и	10	5
29	том что	18	5
30	как в	10	5
31	что мы	8	5
32	и следовательно	3	5
33	все же	2	4
34	отношение к	2	4
35	жизни и	2	4
36	так и	11	4
37	от того	8	4
38	с другой	7	4
39	уже не	6	4
40	что не	8	4
41	не в	15	4
42	в этом	10	4
43	и на	3	4
44	его в	3	4
45	в самом	8	4
46	к нему	3	4
47	за пределы	2	4
48	не только	21	4
49	в котором	4	3
50	в них	5	3
51	отношении к	2	3
52	не к	4	3
53	не менее	5	3
54	в своей	2	3
55	бы мы	2	3
56	сих пор	3	3
57	художественное произведение	6	3
58	все это	4	3
59	и по	4	3
60	и вообще	3	3
61	по себе	16	3
62	слово в	4	3
63	но и	19	3
64	того что	18	3
65	и наконец	2	3
66	художественном произведении	3	3
67	и проч	16	3
68	тем не	3	3
69	ни в	2	3
70	поэтического произведения	2	3
71	так же	3	3
72	самом деле	2	3
73	мы не	9	3
74	и с	2	3
75	о том	2	3
76	слово так	2	3
77	в каком	5	3
78	в себе	16	3
79	для него	9	3
80	до сих	3	3
81	еще не	5	3
82	только на	3	3
83	с ним	6	3
84	между тем	9	3
85	место в	3	2
86	перестает быть	4	2
87	уже в	5	2
88	с этой	2	2
89	зависит от	6	2
90	но мы	2	2
91	что и	13	2
92	в душе	10	2
93	независимо от	5	2
94	но все	2	2
95	что в	17	2
96	на все	2	2
97	вместе с	12	2
98	себя и	4	2
99	а к	3	2
100	на него	3	2
101	в форме	2	2
102	в своем	5	2
103	в какой	2	2
104	другой стороны	4	2
105	что слово	7	2
106	и все	3	2
107	бы не	4	2
108	тогда когда	9	2
109	с одной	7	2
110	была бы	4	2
111	к этому	3	2
112	связь с	3	2
113	что поэт	2	2
114	находит в	2	2
115	те же	6	2
116	слово это	2	2
117	его к	2	2
118	и слово	6	2
119	и что	10	2
120	искусства и	3	2
121	ко всем	2	2
122	этой стороны	2	2
123	слова но	2	2
124	не есть	17	2
125	словом и	5	2
126	сливается с	2	2
127	как на	5	2
128	форма в	4	2
129	и притом	2	2
130	с другими	5	2
131	но это	6	2
132	и то	8	2
133	самое слово	2	2
134	мы можем	3	2
135	но не	7	2
136	быть только	4	2
137	могут быть	3	2
138	но тем	2	2
139	но что	2	2
140	одно и	5	2
141	еще раз	2	2
142	есть уже	11	2
143	со словом	4	2
144	она не	2	2
145	в то	10	2
146	одной стороны	3	2
147	может стать	2	2
148	на это	4	2
149	но этот	2	2
150	к слову	2	2
151	и самое	2	2
152	и та	2	2
153	эта последняя	2	2
154	там где	3	2
155	оно не	4	2
156	в чем	3	2
157	он не	4	2
158	в его	4	2
159	и потому	4	2
160	относится к	4	2
161	из него	2	2
