N	2gram	Tiupa_Teor_1	KulturaY
1	потому что	3	25
2	и в	18	23
3	не только	16	20
4	в том	16	19
5	в этом	8	18
6	и не	13	16
7	ни к	3	15
8	может быть	17	15
9	точки зрения	9	14
10	если бы	3	12
11	у нас	2	12
12	в самом	4	12
13	все эти	2	12
14	том что	9	11
15	в области	4	11
16	но в	9	11
17	что в	9	10
18	а не	9	10
19	вовсе не	3	9
20	то что	3	9
21	не может	4	9
22	с другой	7	8
23	прежде всего	2	8
24	не в	7	8
25	в качестве	24	8
26	уже не	4	8
27	и что	3	8
28	с точки	3	8
29	не менее	4	7
30	в нашем	4	7
31	но и	9	7
32	другой стороны	5	7
33	слова в	2	6
34	это не	2	6
35	в этой	3	6
36	но не	9	6
37	тем не	3	6
38	то же	7	6
39	между тем	5	6
40	я не	2	5
41	не могут	2	5
42	этом смысле	2	5
43	об этом	2	5
44	еще не	4	5
45	в его	6	5
46	этого слова	3	5
47	один из	2	5
48	и тем	3	5
49	вместе с	2	5
50	приводит к	5	5
51	все это	2	5
52	таким образом	3	5
53	и вот	3	5
54	лишь в	6	5
55	как это	8	5
56	и то	2	5
57	не следует	4	5
58	речи и	2	5
59	и здесь	2	5
60	только в	6	5
61	мы имеем	7	5
62	в узком	3	4
63	была бы	3	4
64	отнюдь не	3	4
65	в них	2	4
66	перед нами	2	4
67	если мы	2	4
68	можно сказать	3	4
69	к тому	2	4
70	ни в	2	4
71	в пределах	5	4
72	своего рода	7	4
73	или в	3	4
74	хотя и	3	4
75	как бы	5	4
76	в нем	4	4
77	со стороны	2	4
78	так же	2	4
79	и о	4	4
80	в данном	8	4
81	сказать что	3	4
82	могут быть	4	4
83	говорить о	3	4
84	в то	6	4
85	в конце	2	4
86	так и	10	4
87	казалось бы	2	3
88	на фоне	2	3
89	же время	5	3
90	а только	3	3
91	а также	6	3
92	данный момент	2	3
93	в соответствии	3	3
94	того же	3	3
95	он не	3	3
96	что и	2	3
97	не все	3	3
98	речи а	2	3
99	что она	2	3
100	как в	5	3
101	отличается от	2	3
102	как раз	2	3
103	так в	4	3
104	в форме	2	3
105	не знает	3	3
106	именно в	3	3
107	сводится к	5	3
108	того что	4	3
109	и по	2	3
110	или иначе	5	3
111	а в	13	3
112	и его	8	3
113	слова как	3	3
114	языка в	4	3
115	что можно	3	3
116	и это	2	3
117	есть в	2	3
118	всего лишь	6	3
119	в виду	5	3
120	в отношении	3	2
121	в частности	16	2
122	никогда не	4	2
123	состоит в	17	2
124	или иного	3	2
125	таких случаях	2	2
126	конечном счете	6	2
127	в самой	2	2
128	в другом	3	2
129	и потому	2	2
130	с одной	2	2
131	свою очередь	2	2
132	а на	3	2
133	в свою	3	2
134	как будто	2	2
135	при этом	12	2
136	мы в	2	2
137	может служить	2	2
138	по преимуществу	4	2
139	того или	3	2
140	в конечном	6	2
141	и даже	2	2
142	так или	4	2
143	превращается в	2	2
144	в своей	6	2
145	дело не	2	2
146	данном случае	5	2
147	а именно	2	2
148	в их	2	2
149	в своем	4	2
150	не на	2	2
151	в отличие	6	2
152	и для	2	2
153	как и	4	2
154	в той	2	2
155	тем самым	4	2
156	роль в	2	2
157	соответствии с	2	2
158	могла бы	2	2
159	могли бы	2	2
160	заключается в	2	2
161	отличие от	6	2
162	отношения к	2	2
