N	2gram	Losev_Vlad_2	Formalny
1	и в	30	24
2	в его	11	23
3	прежде всего	6	22
4	и не	18	20
5	так и	5	18
6	не может	9	16
7	точки зрения	7	16
8	в этом	20	15
9	в нем	4	14
10	может быть	7	14
11	с точки	3	13
12	таким образом	3	13
13	в своем	8	11
14	не менее	7	11
15	как и	5	11
16	должно быть	3	11
17	в своей	5	11
18	в их	2	11
19	вовсе не	4	10
20	в настоящее	2	10
21	то же	4	10
22	в ней	4	10
23	а не	7	10
24	и его	6	10
25	настоящее время	2	10
26	и потому	2	9
27	все это	5	9
28	в то	9	9
29	же время	3	8
30	именно в	4	8
31	в свою	3	8
32	то что	20	8
33	как в	3	8
34	и на	4	8
35	не в	9	8
36	и с	14	8
37	и от	2	7
38	до конца	7	7
39	не только	12	7
40	жизни и	6	7
41	но и	8	7
42	и все	7	6
43	было бы	9	6
44	в том	18	6
45	в этой	4	6
46	более или	3	6
47	свою очередь	2	6
48	она не	2	6
49	как бы	5	6
50	в целом	4	6
51	или менее	3	6
52	а в	11	6
53	отношения к	3	6
54	все эти	5	6
55	как это	7	6
56	хотя бы	3	5
57	по себе	5	5
58	у нас	6	5
59	при этом	5	5
60	во всех	3	5
61	в самом	2	5
62	и до	2	5
63	со стороны	4	5
64	как мы	11	5
65	того что	5	5
66	но в	8	5
67	с его	4	4
68	в частности	2	4
69	никогда не	7	4
70	и к	6	4
71	учение о	3	4
72	и может	2	4
73	конечно не	4	4
74	исходить из	2	4
75	всяком случае	6	4
76	так же	4	4
77	в связи	8	4
78	что в	12	4
79	только и	3	4
80	друг друга	2	4
81	в которой	4	4
82	с этой	4	4
83	во всяком	6	4
84	к этой	2	4
85	но не	3	3
86	в отношении	3	3
87	всех этих	3	3
88	связи с	8	3
89	борьба с	2	3
90	в них	3	3
91	на все	2	3
92	что он	13	3
93	к тому	2	3
94	для него	9	3
95	и как	3	3
96	но это	4	3
97	а н	14	3
98	в общем	2	3
99	не о	2	3
100	он не	4	3
101	в основном	5	3
102	все же	9	3
103	же в	2	3
104	отношение к	4	3
105	время в	4	3
106	бытия в	2	3
107	в россии	3	3
108	не было	10	3
109	мы не	2	3
110	и наконец	4	3
111	и даже	10	3
112	его в	4	3
113	наконец в	3	3
114	в себе	6	3
115	как к	2	3
116	человек не	2	3
117	здесь не	4	3
118	в области	3	3
119	под влиянием	3	2
120	нисколько не	2	2
121	с тем	2	2
122	и всякая	2	2
123	учения о	3	2
124	его и	2	2
125	жизни в	2	2
126	единство и	2	2
127	это не	2	2
128	и особенно	3	2
129	с этим	5	2
130	с начала	2	2
131	в году	24	2
132	же они	2	2
133	том чтобы	2	2
134	здесь в	2	2
135	ни в	7	2
136	уже не	3	2
137	по существу	3	2
138	мы видели	2	2
139	но все	2	2
140	только в	6	2
141	и если	4	2
142	к ней	3	2
143	еще в	2	2
144	что и	3	2
145	не есть	4	2
146	начала и	2	2
147	вместе с	8	2
148	не на	2	2
149	не могла	2	2
150	и вот	3	2
151	от всякой	2	2
152	и что	5	2
153	раз и	2	2
154	его не	2	2
155	или иначе	3	2
156	в работе	2	2
157	в результате	5	2
158	даже и	3	2
159	в своих	2	2
160	на его	4	2
161	ничего не	2	2
162	и это	3	2
163	с ним	5	2
