N	2gram	Tiupa_Anal_1	PoTuStor
1	может быть	29	17
2	и в	18	16
3	прежде всего	6	9
4	таким образом	3	9
5	в этом	13	9
6	в психике	2	8
7	и его	5	8
8	и с	2	8
9	точки зрения	6	8
10	не может	22	8
11	с его	3	7
12	не только	15	7
13	и к	3	6
14	с точки	4	6
15	самом деле	2	6
16	для него	2	6
17	при этом	12	6
18	я и	6	6
19	только для	2	5
20	отношение к	2	5
21	все эти	2	5
22	ни в	4	5
23	нуждается в	8	5
24	еще не	3	5
25	как бы	5	5
26	в нем	3	4
27	отнюдь не	15	4
28	но и	17	4
29	так и	4	4
30	хотя бы	3	4
31	и все	3	4
32	так как	2	4
33	и не	21	4
34	на самом	2	4
35	как мы	2	4
36	можно сказать	2	4
37	и на	5	4
38	в этой	5	4
39	художественного творчества	2	4
40	только в	6	4
41	но в	8	4
42	в его	13	4
43	что в	5	3
44	и есть	3	3
45	могут быть	4	3
46	вместе с	4	3
47	отношения к	2	3
48	в том	27	3
49	а в	9	3
50	том что	12	3
51	и как	5	3
52	с другими	4	3
53	то что	6	3
54	в основе	6	3
55	на этом	2	3
56	реальности и	2	3
57	едва ли	2	3
58	в области	4	3
59	в конечном	4	3
60	и потому	2	3
61	нет и	2	2
62	может иметь	2	2
63	один из	2	2
64	не могут	3	2
65	что и	3	2
66	не есть	8	2
67	ни было	4	2
68	не будет	3	2
69	конечном счете	4	2
70	в частности	19	2
71	никогда не	2	2
72	что не	3	2
73	между собой	2	2
74	для этого	2	2
75	того же	4	2
76	из этих	2	2
77	в свое	2	2
78	то же	9	2
79	быть может	2	2
80	является по	2	2
81	сводится к	5	2
82	что он	3	2
83	и т.п	5	2
84	что мы	3	2
85	и по	2	2
86	как и	13	2
87	на основе	2	2
88	он не	3	2
89	при всей	2	2
90	в начале	2	2
91	в пределах	2	2
92	было бы	2	2
93	о том	5	2
94	в самом	6	2
95	за пределы	2	2
96	в своей	6	2
97	и о	2	2
98	с ним	4	2
99	себя и	4	2
