N	2gram	Bakhtin_Fr_4	Problema
1	и не	16	28
2	то есть	21	27
3	не только	10	24
4	только в	2	23
5	вовсе не	9	21
6	в том	7	20
7	и в	29	20
8	ни в	2	17
9	все эти	9	16
10	то что	4	15
11	но и	9	14
12	точки зрения	4	14
13	перед нами	4	13
14	также и	4	13
15	даже и	2	13
16	в нашем	4	12
17	в себе	3	12
18	том что	3	12
19	прежде всего	8	11
20	подобного рода	2	11
21	с точки	2	11
22	как будто	2	11
23	в качестве	3	10
24	так и	11	10
25	и его	8	10
26	может быть	2	9
27	все это	4	9
28	и даже	3	9
29	в этом	11	9
30	что он	4	8
31	таким образом	20	8
32	в той	2	8
33	в результате	4	8
34	и все	13	8
35	но в	12	8
36	с другой	4	7
37	это не	5	7
38	есть в	2	7
39	еще не	4	7
40	то же	10	7
41	именно в	2	7
42	сказать что	5	7
43	и с	9	7
44	в ней	3	7
45	здесь не	3	7
46	всех этих	3	6
47	а также	2	6
48	как и	12	6
49	но это	4	6
50	что здесь	3	6
51	по своему	4	6
52	при этом	3	6
53	в виду	2	6
54	другой стороны	3	6
55	но не	2	5
56	на самом	4	5
57	хотя и	2	5
58	в нем	5	5
59	здесь в	6	5
60	в ее	3	5
61	да и	2	5
62	и о	5	5
63	жизни и	4	5
64	как в	2	5
65	так же	7	5
66	не может	2	5
67	в них	7	5
68	так как	7	5
69	уже не	2	5
70	и вполне	3	5
71	или в	2	5
72	в этих	2	5
73	о том	2	5
74	уже в	2	4
75	времени и	2	4
76	и есть	4	4
77	и для	2	4
78	уже давно	2	4
79	это и	5	4
80	в этой	13	4
81	кроме того	2	4
82	одной из	2	4
83	в своей	5	4
84	как бы	8	4
85	ни с	2	4
86	в разных	3	4
87	и наконец	2	4
88	жизнь и	4	4
89	как раз	2	4
90	в то	10	4
91	с ним	2	4
92	к тому	2	3
93	уже и	2	3
94	все они	5	3
95	в жизни	2	3
96	и к	2	3
97	как мы	10	3
98	все в	2	3
99	он был	2	3
100	и как	3	3
101	связи с	2	3
102	конечно не	4	3
103	между прочим	2	3
104	же и	3	3
105	в его	8	3
106	но она	2	3
107	только для	4	3
108	другими словами	2	3
109	в своем	3	3
110	еще и	7	3
111	всякого рода	2	3
112	для того	3	3
113	к нему	3	3
114	и на	11	3
115	тем что	4	3
116	из них	6	3
117	но как	3	3
118	нет ничего	2	3
119	из этого	2	3
120	мы можем	3	3
121	эти образы	3	2
122	но они	4	2
123	все время	3	2
124	в частности	3	2
125	то он	2	2
126	в конце	9	2
127	в литературе	4	2
128	с его	4	2
129	новое и	2	2
130	что каждая	2	2
131	то в	3	2
132	что они	2	2
133	то время	2	2
134	тот же	3	2
135	же деле	2	2
136	весь этот	2	2
137	что это	5	2
138	на его	2	2
139	по преимуществу	3	2
140	он не	3	2
141	в котором	2	2
142	все же	3	2
143	с ее	3	2
144	на этой	2	2
145	себя в	2	2
146	или менее	3	2
147	но только	2	2
148	жизни в	2	2
149	там же	3	2
150	мы здесь	2	2
151	того чтобы	3	2
152	и по	5	2
153	друг друга	2	2
154	в других	2	2
155	с ними	3	2
156	у меня	2	2
157	и то	2	2
158	далеко не	5	2
159	но этот	2	2
160	его в	9	2
161	и это	2	2
162	дело в	2	2
163	этих образов	2	2
164	весь мир	5	2
165	в чем	3	2
166	в которой	4	2
167	того же	5	2
168	более или	3	2
169	учения о	2	2
170	самом же	2	2
