N	2gram	Medvedev_V_1	Analitik
1	не только	25	22
2	и в	26	18
3	как и	7	14
4	так и	5	14
5	в этом	26	14
6	но и	10	13
7	и его	6	13
8	в частности	11	12
9	том что	8	12
10	в качестве	11	12
11	и не	19	12
12	а в	3	10
13	как бы	5	10
14	может быть	22	9
15	что в	10	9
16	а не	7	9
17	в том	15	9
18	с его	3	8
19	и даже	2	8
20	всего лишь	3	8
21	с другой	11	7
22	но не	2	7
23	в его	14	7
24	отношению к	7	7
25	как раз	3	7
26	по отношению	7	7
27	к тому	4	6
28	не в	6	6
29	для него	8	6
30	еще не	2	6
31	в этой	4	6
32	он не	2	6
33	в их	5	6
34	о том	10	6
35	никогда не	4	5
36	не является	5	5
37	в конце	3	5
38	прежде всего	13	5
39	или иной	2	5
40	в самом	4	5
41	что и	3	5
42	другой стороны	8	5
43	лишь в	2	5
44	в слове	3	5
45	в результате	5	5
46	между тем	5	5
47	мы имеем	3	5
48	не менее	2	4
49	перед нами	4	4
50	о чем	2	4
51	отнюдь не	3	4
52	в своем	8	4
53	по крайней	2	4
54	в одном	4	4
55	по себе	2	4
56	что он	4	4
57	можно сказать	4	4
58	и к	3	4
59	и как	3	4
60	в пределах	5	4
61	крайней мере	2	4
62	все же	5	4
63	приводит к	5	4
64	ли не	2	4
65	таким образом	31	4
66	далеко не	2	4
67	в каждом	2	3
68	не столько	2	3
69	из этих	7	3
70	у пушкина	2	3
71	говорит и	8	3
72	к этому	9	3
73	в ее	4	3
74	а всего	3	3
75	что они	3	3
76	было бы	7	3
77	же время	5	3
78	только не	2	3
79	по поводу	2	3
80	мысль о	2	3
81	во сне	21	3
82	если в	2	3
83	как говорит	5	3
84	в целом	4	3
85	все это	10	3
86	то же	10	3
87	не было	7	3
88	этом отношении	13	3
89	еще и	2	3
90	именно в	2	3
91	в году	6	3
92	что не	3	3
93	по его	2	3
94	его не	3	3
95	роль в	4	3
96	пока еще	2	3
97	с этим	3	3
98	точки зрения	3	3
99	подобно тому	2	3
100	он и	2	3
101	но как	3	3
102	говорить о	2	3
103	в то	6	3
104	его в	3	3
105	в особенности	2	3
106	как это	12	3
107	в противоположность	3	2
108	бы и	6	2
109	могут быть	5	2
110	все эти	6	2
111	конечном счете	5	2
112	все они	2	2
113	в них	4	2
114	а вот	2	2
115	это не	7	2
116	и от	3	2
117	в жизни	2	2
118	с нею	2	2
119	в нем	6	2
120	и ее	4	2
121	произведения и	7	2
122	о его	2	2
123	же в	6	2
124	говорит о	7	2
125	в романе	4	2
126	вплоть до	2	2
127	одна из	4	2
128	с тем	3	2
129	мира и	3	2
130	очевидно что	7	2
131	одной стороны	2	2
132	это и	6	2
133	о своем	2	2
134	в общем	2	2
135	например в	3	2
136	видеть в	2	2
137	хотя и	2	2
138	в ней	2	2
139	об этом	9	2
140	в конечном	7	2
141	от его	2	2
142	и потому	2	2
143	даже в	5	2
144	один из	5	2
145	то что	6	2
146	когда он	3	2
147	во всех	6	2
148	вместе с	7	2
149	что она	2	2
150	в форме	3	2
151	уже по	2	2
152	не может	17	2
153	с одной	2	2
154	но с	2	2
155	сводится к	3	2
156	в значительной	3	2
157	и он	2	2
158	и по	3	2
159	и для	2	2
160	тому как	2	2
161	сказать что	5	2
162	в себе	6	2
163	в искусстве	6	2
164	что мы	2	2
165	только в	7	2
166	так сказать	2	2
167	но в	2	2
168	а для	2	2
169	произведения как	5	2
