N	2gram	Medvedev_U_1	Tragedij
1	и в	14	18
2	в этом	7	9
3	не только	10	8
4	и не	8	7
5	и с	2	7
6	может быть	6	7
7	что он	2	6
8	же время	3	6
9	но в	3	6
10	все же	3	5
11	это не	3	5
12	не может	7	5
13	то же	5	5
14	как и	3	5
15	в то	3	5
16	но и	4	4
17	то что	7	4
18	все это	5	4
19	прежде всего	8	4
20	том что	2	4
21	но это	2	4
22	в этой	4	4
23	в себе	2	4
24	о чем	2	3
25	в конце	2	3
26	в его	2	3
27	для него	3	3
28	не могут	2	2
29	что и	2	2
30	только к	3	2
31	в частности	3	2
32	что все	2	2
33	а как	2	2
34	бы и	2	2
35	с его	2	2
36	в том	2	2
37	не в	2	2
38	вряд ли	3	2
39	и то	3	2
40	не случайно	2	2
41	тем что	2	2
42	к области	2	2
43	в самом	2	2
44	это уже	2	2
45	ничего не	2	2
46	что она	2	2
